id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4633916420657187,KeejU2KXN,好久没发自拍了，新发型打个卡 ,,https://wx4.sinaimg.cn/large/64509b9agy1gq8v1pq6dqj21ez2ioe81.jpg,,,2021-05-06,iPhone客户端,0,0,0,,
4633188427105021,KdVnItOl7,豆瓣分感觉有点给高了……“这是一部适合穿着睡裤看的电影” ,,https://wx3.sinaimg.cn/large/64509b9agy1gq6jfj4dupj20n01dsb29.jpg,,,2021-05-04,iPhone客户端,0,1,0,,
4628194356891469,KbPsLsUMJ,自中午11:57手机死机，到17:53解除死机状态。期间一直停在一个画面，关机没反应，然后借同事手机（画个重点：安卓手机两个）上网搜索怎么强制重启，搜索内容为“iPhone xr 死机怎么强制重启”，百度解为“1，长按电源键+home键（我：？？？）；2，长按电源键+音量加键”试过2解无果，结果出现图一内容（当时死机状态无法察觉。然后尝试待其没电自动关机后解决，叫同事一直打我电话耗电（加上屏幕一直长亮），结果xr大电板太耐操了...最后无奈尝试用另外一个同事的xs使用Safari搜索同样内容，结果搜索栏显示如图二。遂按图步骤操作复活。总结：1、果然只有iPhone才能救iPhone；            2、百度问题还是浏览器问题？,,"https://wx2.sinaimg.cn/large/64509b9agy1gpqlgr0ns0j20n01dsb29.jpg,https://wx2.sinaimg.cn/large/64509b9agy1gpqlpsrk2sj20n01dskjl.jpg",,,2021-04-20,iPhone客户端,0,0,0,,
4617572030611943,K7n7Z2zc3,自律、从花呗调额开始。 ,,https://wx4.sinaimg.cn/large/64509b9aly1gospxdcvlrj20n01dswj7.jpg,,,2021-03-22,iPhone客户端,1,0,0,,
4614418501208772,K635E54sk,“爸爸，你看，奥特曼！”“不是，那个叫蜘蛛侠，知道吗？” ,,"https://wx4.sinaimg.cn/large/64509b9aly1goinmcr6boj22c03407wi.jpg,https://wx2.sinaimg.cn/large/64509b9aly1goinmfyfkpj22c0340e81.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinmhte02j20qw1bsnc5.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinmirvilj22c0340qqs.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinml6dmcj22c0340qv5.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinmolk51j22c0340npe.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinmrumy5j22c0340x6p.jpg,https://wx4.sinaimg.cn/large/64509b9aly1goinmxvl6zj22c0340x6r.jpg,https://wx3.sinaimg.cn/large/64509b9aly1goinm9hcc1j22c0340x6q.jpg",,,2021-03-13,iPhone客户端,1,3,0,,
4608569050399746,K3AV31FZw,趁着公司体检去完成人生首次献血，到晚上了咋还没感觉？说好的会头晕呢？ ,,"https://wx4.sinaimg.cn/large/64509b9aly1gnzzwuqenrj22c0340b29.jpg,https://wx1.sinaimg.cn/large/64509b9aly1gnzzwtbh36j22c0340hdw.jpg",,,2021-02-25,iPhone客户端,1,0,0,,
4604584247174499,K1VfWu6pJ,复联4之后的第一次去影院，也是第一个春节档去看电影 - -刺杀小说家。剧情设定还是蛮有趣的，类似虚拟世界的结局影响现实生活的设定，可是总有一种很熟悉的感觉，感觉男主的笔记本有点像“死亡笔记”，然后虚拟世界中的陆空文身上的独眼铠甲又有“毒液”的味道。不过特效还是蛮过眼瘾的。作为一部春节期间的爆米花电影，还是及格以上的。最后扯扯这个电影院：20元/杯的可乐不好喝；电影院里面的荧幕左下角明显未拉平整的褶皱感总有出戏的感觉；观影期间空调温度太高，看个电影都有上班的感觉- -累。,,https://wx3.sinaimg.cn/large/64509b9aly1gnn9q8e9mrj20n01dswnm.jpg,,,2021-02-14,iPhone客户端,0,0,0,,
4603438651941022,K1rsd88WO,新年快乐～过完今天就不再是三岁小孩了哦～ ,,"https://wx4.sinaimg.cn/large/64509b9aly1gnjmpl4qtyj22c0340x6p.jpg,https://wx4.sinaimg.cn/large/64509b9aly1gnjmpo5ao0j22c03401ky.jpg,https://wx3.sinaimg.cn/large/64509b9aly1gnjmpi2au4j22c0340kjl.jpg",,,2021-02-11,iPhone客户端,1,1,0,,
4590831820089605,JC6WW0njf,这尼玛鬼天气可太费雨刮器了！ ,,"https://wx3.sinaimg.cn/large/64509b9aly1gmfesg67clj22c0340qv5.jpg,https://wx1.sinaimg.cn/large/64509b9aly1gmfesj8jc6j22c0340npd.jpg",,,2021-01-07,iPhone XR(白色),0,1,0,,
4588657941943652,JBcoG89De,hello、21年第一天、希望今年的自己会比20年过得更好、家人平安健康、女儿快乐成长、加油！ ,,https://wx2.sinaimg.cn/large/64509b9aly1gm8h1xds5aj20yi22oqc5.jpg,,,2021-01-01,iPhone XR(白色),0,1,0,,
