id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4629953323470801,KczdOeyUF,最近爷爷病了，奶奶状态好差。全家都是热锅上的蚂蚁，神经都一直紧绷。我也总因为紧张过头出现一些突发事件，例如急性荨麻疹。 最近事情真的好多，难免有时候会没那么细微的关怀你。还无法陪你去演唱会害你把票都闲鱼了。但是事情多不代表没有记挂你哦。不要乱想知道八？祝我们认识一周年快乐希望我们和家人朋友都好好的。改天等我们都有空了，去摘豆子吧不要钱的！,,"https://wx2.sinaimg.cn/large/97507916gy1gpw7s6t7rxj22c0340b29.jpg,https://wx1.sinaimg.cn/large/97507916gy1gpw7s4s72aj22c0340tyc.jpg",,,2021-04-25,iPhone客户端,0,2,0,,
4629519883045685,KcnWIcMjX,我特么发现了 ，社会上还是垃圾多。别人比你善良你就骂别人死菩萨，别人比你有本事你就骂别人来路不正，别人比你能明是非你就坐地上耍赖。毁灭吧赶紧的，想着以后社会上大多都是这种垃圾就觉得真特么操蛋。 ,,,,,2021-04-24,iPhone客户端,0,0,0,,
4627350803975230,KbtwcgG8C,生活的琐碎就是这样，说出来矫情，吞下去又跟刀子划似的。 ,,https://wx4.sinaimg.cn/large/97507916gy1gpnwzv86zej20u01hcakm.jpg,,,2021-04-18,iPhone客户端,0,0,0,,
4627119387182530,KbnuWu8vg,您的癌症…我为什么早点没发觉。 ,,,,,2021-04-17,iPhone客户端,0,2,0,,
4621559446377893,K92RiqLbf,#台铁列车脱轨事故已35人无生命迹象#想到了那年的7.23.....那次之后内地的高铁动车就从未发生过事故，因为是血的教训。发展的路上总有意外和代价，可怜了那些无辜的生命.... 武汉·武汉市中心医院(武汉市第二医院)北院 ,,,,武汉·武汉市中心医院(武汉市第二医院)北院,2021-04-02,iPhone客户端,6,0,0,,
4620163452764575,K8sxHbBbV,谢谢老板@Leooome 武汉 ,,"https://wx2.sinaimg.cn/large/97507916gy1gp0zja7hn0j20v91vonph.jpg,https://wx4.sinaimg.cn/large/97507916gy1gp0zjhb3c6j20v91voe86.jpg,https://wx2.sinaimg.cn/large/97507916gy1gp0zjypuckj20v91voqv9.jpg",,武汉,2021-03-29,iPhone客户端,0,4,0,,Leooome
4619409756259187,K88W3qgiD,还没到四月，扫墓的人就已经熙熙攘攘了。我是去晚了，刚下地铁还没走出去，就看见成群结队已经扫完墓的人们涌进地铁站，身上带着浓烈的焚烧纸钱香烛的味道。一路上听见沿路小贩的叫卖声，看到了好几个卖茶叶蛋的婆婆，停下来买了两个。想起来小时候爷爷奶奶每年带我去扫墓，从下公交的地方走好远才能到陵园，中间要徒步穿过一片荒地，有着一大片装得下满眼的油菜花。所有人手上都拿着祭奠逝者的物品，嘴上聊笑着，面上难掩难过。而每次烧完纸钱香烛，爷爷奶奶都会原地坐一会儿，拿出前一晚准备的野餐食物。我最喜欢的是用面包夹着奶奶自己卤制和凉拌好的卤牛肉。我当时还真的以为只是留在那里吃点东西再走。一般返程的路上，再次经过荒地，爷爷总会眼尖的找到路旁的野生泥蒿，采回家用奶奶年前腌制的腊肉炒上一盘，这是我记忆中清明的味道。回过神来看见来来往往的人，虽然现在公交地铁出租车都能到陵园门口，但是由于清明高峰已经开始交通管制。人们还是不得不从地铁步行过去。中老年人依然带着食物的小包，依然聊笑，依然有人表情漠然，有人面露哀伤。仿佛见到了那些年的同一群人。到了墓园，愣神找了半天没找到记忆里的先人墓碑。还是打电话给奶奶，才按指点找到。她在电话里语气责怪又疼爱，数落我不该一个人去，要带上她。我笑说车子不好开过来，又怕她太劳累。一边烧着纸钱，一边对着太爷爷太奶奶说家里的事。爷爷无法走路，无法说话，无法自理。奶奶身体早不如从前，但靠着照顾爷爷的一口气强行撑着自己。姑妈心疼奶奶劳累，给爷爷看了个养老院，我担心爷爷一不在身边，奶奶的精神信念就垮了。爸爸还是不能自由，但保持每周去钓鱼一次。昕昕在我眼里一直还是小孩子，但我也清楚她长大了，很多烦恼她不会说，但是她也有她辛苦的很多。我还是那么没出息，这么多年还在钻父母的牛角尖。工作上也彷徨，只能木纳的每天提醒自己该往前继续走。申请了遗体捐赠。从现在开始保持健康的身体，因为我死了之后要给有需要的人用。想对自己好一点，想好好对待的人一定万分珍惜，想吃的餐厅不纠结立马去吃，想买的衣服鞋子立马就买，想去旅游的地方立马就去。再不去想着自己值不值得拥有这些。毕竟如果以后生命到了尽头，想做什么都没有了时间了。可能生命的意义就是尽量健康快乐的活着吧。祭拜完了之后，我坐在旁边的长椅上，拿出了卤鸡蛋剥开吃起来。坐了一会儿才离开。回来的地铁口，看到了一个阿姨在卖她最近一直挂在嘴边的野芹菜。二话不说买下来，挺想当时就地铁坐回去等她晚上一起吃饭的。可我真的太累了，明天吧，明天。 武汉,,https://wx3.sinaimg.cn/large/97507916gy1goykzqrqdqj20u01hc122.jpg,,武汉,2021-03-27,iPhone客户端,4,3,0,,
4618763695821350,K7S81oqoK,补上了去年就说了要坐的两江游轮@Leooome 认识快一年咯 武汉 ,,"https://wx3.sinaimg.cn/large/97507916ly1gowirvh668j20u01407ju.jpg,https://wx1.sinaimg.cn/large/97507916ly1gowirw8589j20u01404bw.jpg,https://wx3.sinaimg.cn/large/97507916ly1gowirx030mj21400u0h1l.jpg,https://wx1.sinaimg.cn/large/97507916ly1gowirxkdraj20u0140n7m.jpg,https://wx4.sinaimg.cn/large/97507916ly1gowiruv1jaj20u00u0dqz.jpg,https://wx2.sinaimg.cn/large/97507916ly1gowirych0hj20u00u0wn9.jpg",,武汉,2021-03-25,iPhone客户端,1,5,0,,Leooome
4617932892540312,K7ww1aEQM,下次再欺负我，我就把502屎拉你枕头上 武汉 ,,,,武汉,2021-03-23,iPhone客户端,0,2,0,,
4613558236614892,K5GI7rKPO,鸭梨山大，想出去走走想透透气。每天都在死循环，我也知道自己有问题。有点迷茫没有方向。感觉都没有合适的地方让我好好想想，继续盲目的笃定自己没有走错方向？年轻的时候挺能干的啊，中年危机来了……？ 武汉 ,,https://wx2.sinaimg.cn/large/97507916gy1gofwv3jxq5j20os0o0drg.jpg,,武汉,2021-03-11,iPhone客户端,0,6,0,,
