id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634681238620469,KeydtAazP,#李佳航发文呼吁互相理解#站在既得利者的角度劝别人大度，有信服力吗，理解个屁，女人被辱的时候你死了? ,,,,,2021-05-08,Android,0,1,0,李佳航发文呼吁互相理解,
4634645700807422,Kexia3o2W,#第二只豹子已被狗咬死#金钱豹多么珍贵啊，全世界就那么几只，人全世界几十亿，一万条底层人命也比不过一级保护动物的命，一个物种的生命影响整条食物链，物以稀为贵!!为了几条人命牺牲金钱豹看似人道，实则...... ,,,,,2021-05-08,Android,0,1,0,第二只豹子已被狗咬死,
4633952080105348,Keffq0rpa,对不起各位，本人账号被盗发布很多三观不正言论，现号已找回感谢大家关心 ,,,,,2021-05-06,Android,5,6,0,,
4631386381877716,Kdavc7StK,#天价片酬是否影响学生的职业观#影响不了，这个讲天分不是努力就行的。普通人再羡慕再也当不了的。 ,,,,,2021-04-29,Android,1,1,0,天价片酬是否影响学生的职业观,
4631380133415151,Kdal7ekr5,张恒活不了多久了，后果和崔永元一样人死化空气，他牵扯到大多数权贵利益，他本来只是想对付郑爽的，现在惹了半个娱乐圈的艺人，她们背后都是势力团体，会杀一儆百，蠢是原罪 ,,,,,2021-04-29,Android,1,1,0,,
4631377862987333,Kdahscx8N,郑爽事件所有人关注点是明星天价片酬，不是她逃税漏水，中国普通人生活很悲惨，仇富心理容易被挑起阶级对立，不过好在中国人老实容易被奴役管理，翻不出什么浪花，一般情况不敢革命，等风头过了或者性别对立转移下矛盾就行 ,,,,,2021-04-29,Android,0,1,0,,
4630231958946383,KcGtdBxmv,#任豪老板道歉#饭圈女孩和帝吧屌丝又开始嫉妒了 ,,,,,2021-04-26,Android,0,0,0,任豪老板道歉,
4630141214395669,KcE6RirvT,雌性比雄性高贵，雄性出产量多，寿命短!首先我们明确一下，是否生男孩的概率等于生女孩的概率呢？从生物学的概念来讲，男孩第23条染色体为XY，而女孩第23染色体为XX，进行随机组合会导致生男孩还是女孩的概率相等；而从统计学的角度来讲，男孩和女孩出生比例应该为103：100 ,,,,,2021-04-26,Android,0,1,0,,
4629116735719500,KcdstnZU0,#赵丽颖冯绍峰离婚#我一直认为婚姻是反人类的，说实话我和父母朋友一直住一起都感到厌烦，把两个人强行捆绑一起肯定不会有好下场....我相信亲情这种东西，比如母亲会舍身救孩，但爱人不会，本能大于一切 ,,,,,2021-04-23,Android,0,1,0,赵丽颖冯绍峰离婚,
4629115304417132,Kcdqaix64,网上贱畜怎么那么多喷女拳?只拒绝进入婚姻怎么极端了，是杀人还是放火了，天赋人权就算人类灭亡不生也是人权，那些喷女拳极端的只有一种可能性没把女人当人，也没有人权和平等这个概念，认为生育是女人的义务，这是很恐怖的事 ,,,,,2021-04-23,Android,0,0,0,,
4627465131006224,KbwuB4dLq,发现自己不太会做人 ,,,,,2021-04-18,Android,0,0,0,,
4627262647829662,Kbre0wQQS,我相信自己，我爱自己 ,,,,,2021-04-18,Android,0,0,0,,
4627022922385458,KbkZma0z8,今天老师讲，你们知道迪士尼动画为什么总有个坏人，为什么过上幸福快乐的生活就没有然后了，没有坏人根本就没法继续幸福，统一战线是建立在共同仇敌的前提 ,,,,,2021-04-17,Android,0,0,0,,
4626638703428421,KbaZEenT7,#张哲瀚 给这颗痘痘三天的考察期#三天考察期是啥 ,,,,,2021-04-16,Android,0,0,0,张哲瀚 给这颗痘痘三天的考察期,
4623481772446196,K9QRPagmM,#安徽商场失火致4死原因#生活就是这样，永远不知道下一刻会发生什么。不要悲伤，珍惜当下 ,,,,,2021-04-07,Android,0,0,0,安徽商场失火致4死原因,
4623474021107307,K9QFk4E3N,#房产税#少生孩子房间自然就跌了，人口越少房价越低，忍住不生孩子就好 ,,,,,2021-04-07,Android,0,1,0,房产税,
4622964505444507,K9DpwmQmD,#假如用一亿换你的一分钟#普通人的时间不值钱，一个小时几千块封顶了!! ,,,,,2021-04-06,Android,0,0,0,假如用一亿换你的一分钟,
4622961863033932,K9DlgcJgo,听见一个乐观的女孩说:我很想跳楼自杀，活着好累，腰疼产后抑郁，但是我还有老公小宝宝，他们是支撑我前进的动力，能坚持一天是一天......可悲啊，为自己的家人活着，人首先是为了自己，如果连自己都不爱惜，那就是个畜生，动物还有思想呢，你完全为了别人活已经失去了自我，和机器有什么两样，人生有什么价值，为无数这样的男人和女人感到悲哀。,,,,,2021-04-06,Android,0,0,0,,
4622960641971016,K9Dji8gKA,#董明珠拒绝帮哥哥走后门被踢出族谱#好多男人结婚的理由是父母想要个孙子，自己活着一点主见也没有，为了家人意愿祸害无辜女孩骗婚!被亲情道德捆绑，就是软蛋。有什么资格和包丞、董明珠这种大义无私，公正廉洁的人相比 ,,,,,2021-04-06,Android,0,0,0,董明珠拒绝帮哥哥走后门被踢出族谱,
4622947521925968,K9CY88520,#Rihanna参加反歧视亚裔活动#种族歧视至今还是全球性难题，这是动物天性不知道和平还能持续多长时间 ,,,,,2021-04-06,Android,0,0,0,Rihanna参加反歧视亚裔活动,
