id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634723592966130,KezjNcrCO,#印度议员示范喝牛尿预防新冠#我是来看评论的 ,,,,,2021-05-08,荣耀V10 我AI的快,0,0,0,印度议员示范喝牛尿预防新冠,
4632929937130147,KdOENtUSn,#买榴莲就像在赌石#真真儿是切身体验啊 ,,,,,2021-05-04,荣耀V10 我AI的快,0,0,0,买榴莲就像在赌石,
4632753264137471,KdK3Qhmlp,#张国立 发了就还会着骂#张国立老师的经典作品你们看过吗？张嘴就骂！怎么不去好好伺候那些没品的流量？ ,,,,,2021-05-03,荣耀V10 我AI的快,3,3,0,张国立 发了就还会着骂,
4629026213986502,Kcb6tgJ4q,#一万年前的水母湖是怎么形成的#最后还是中国人在努力守护地球 ,,,,,2021-04-23,荣耀V10 我AI的快,0,0,0,一万年前的水母湖是怎么形成的,
4625943584311038,KaSUui5uS,#美国禁止日本食品进入#2021年最大的笑话 ,,,,,2021-04-14,荣耀V10 我AI的快,0,0,0,美国禁止日本食品进入,
4623231904908033,K9KmOkANP,#学校应建立对欺凌的零容忍机制#为什么只注意表面问题而不去深究欺凌背后的原因，从根源解决问题！从小多锻炼孩子的意志品质抗压抗挫折能力，学会如何保护自己。 ,,,,,2021-04-07,荣耀V10 我AI的快,3,3,0,学校应建立对欺凌的零容忍机制,
4621652777768582,K95hPwAXI,#HM官网涉问题地图被约谈#最让我感动的是，那天去李宁买东西，一大哥说，唉以前都穿阿迪耐克，现在必须支持国货，还得多买点！现在身穿李宁，安踏，361满满的自豪感 ,,,,,2021-04-02,荣耀V10 我AI的快,0,0,0,HM官网涉问题地图被约谈,
4620013623313402,K8oE2dTXY,#nike#本来最近打算给娃继续入耐克春款夏款鞋子，但是现在已经转入李宁和安踏了 ,,,,,2021-03-29,荣耀V10 我AI的快,1,0,0,nike,
4618535281624934,K7MbC6OIC,#淘宝下架HM商品#请淘宝也下架耐克等产品 ,,,,,2021-03-25,荣耀V10 我AI的快,0,0,0,淘宝下架HM商品,
4618534607128265,K7MawtUo1,#耐克#谁抵制我们我们就不买谁的产品，很简单的事情 ,,,,,2021-03-25,荣耀V10 我AI的快,0,1,0,耐克,
4617931579200315,K7wtTCBqb,#加拿大跟随英美制裁中国#臭不要Face ,,,,,2021-03-23,荣耀V10 我AI的快,0,0,0,加拿大跟随英美制裁中国,
4617514346874443,K7lCWsQm7,#校外培训乱象#为啥不让分层教学了？ ,,,,,2021-03-22,荣耀V10 我AI的快,0,0,0,校外培训乱象,
4614173243736598,K5WI4fG3I,#每次看到微信功能更新#微信什么时候不大量占手机内存了吧我才真的服你 连云港 ,,,,连云港,2021-03-13,荣耀V10 我AI的快,20,0,0,每次看到微信功能更新,
4613283225538957,K5zyyneW1,#二胎奖补能提高生育率吗#生二胎给套房 连云港 ,,,,连云港,2021-03-10,荣耀V10 我AI的快,0,0,0,二胎奖补能提高生育率吗,
4612827391725662,K5nHl7eVg,#建议教师工资免税#凭什么光给教师免税！！！！应该建议年收入50万以内的免税！！！！ 连云港 ,,,,连云港,2021-03-09,荣耀V10 我AI的快,0,0,0,建议教师工资免税,
4606443791844676,K2HDd7JSQ,#新华社评东北放开生育限制#想生不敢生，怕把自己累死，怕把老大饿死 连云港 ,,,,连云港,2021-02-19,荣耀V10 我AI的快,4,0,0,,
