id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634887887523302,KeDAMvz9A,#乐山身边事# 5月9号上午，乐山市中心城区国道348线往五通桥区方向，一小轿车突发事故起火，目前火灾已扑灭，具体情况正在进一步调查中，事故的具体地点在国道348线乐山城区往五通桥方向，截止到目前，现场仍在处置当中，请过往车辆注意避让事故路段减速慢行@新闻天天报 乐山全接触的微博视频 ,,,"https://f.video.weibocdn.com/003rZUtqgx07MwaBa0Bq010412001V1R0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620547269&ssig=pVlqkkJyQO&KID=unistore,video",,2021-05-09,微博视频号,0,1,0,乐山身边事,新闻天天报
4634782585586294,KeAQWnrfw,保留相关证据，该博主涉嫌造谣诽谤童可可 ,,"https://wx4.sinaimg.cn/large/006MCfZmgy1gqbmja0bjvj30u07h37wj.jpg,https://wx3.sinaimg.cn/large/006MCfZmgy1gqbmjf4lw7j30u0bva1l0.jpg",,,2021-05-09,OPPO K3 硬核少年,2,0,0,,
4634778030571976,KeAJB2oNq,分享单曲 落雨时刻 (@网易云音乐) ,,,,,2021-05-09,网易云音乐,2,0,0,,网易云音乐
4634777116738053,KeAI7sgSh,#童可可#白砂糖女孩童可可的新歌落雨时刻 乐山全接触的微博视频 ,,,"https://f.video.weibocdn.com/0049H7zKgx07MvGnxmc001041200utTt0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620547269&ssig=DSx5xtRObD&KID=unistore,video",,2021-05-09,微博视频号,0,0,0,童可可,
4634767150547024,KeAs32iiY,#胡彦斌发文#当年，胡彦斌和薛之谦喜欢上了同一个女孩——章龄之，一次活动结束后，胡彦斌开着炫酷的跑车故意从薛之谦身边经过，轻佻眉毛向他挑衅道：“哟，你在打车啊？”随后便得意的扬长而去。 爱豆被人如此奚落，薛之谦粉丝心疼不已，胡彦斌发文辟谣：“别听风就是雨了，我和你们家谦谦根本不熟，更没有在跑车上跟他招过手。” 对此，薛之谦并没有特意回应过，只不过在某一次访谈节目中自曝：曾经的感情失利，最主要的原因就是因为穷。 当然，薛之谦说的这段感情究竟是不是和章龄之就不得而知了。 有人说，毕竟都在传薛之谦和胡彦斌不和，胡彦斌的辟谣可信度并不高；但是也有人说，胡彦斌这么善良，又怎么会做出这种事呢？ 说到胡彦斌的善良，那就不得不感谢今年的娱乐圈大瓜女王——郑爽了，随着郑爽和张恒事件的瓜起瓜落，郑爽成了一切向钱看的势力女，被追骂了五年的前男友胡彦斌却意外成了“救狗英雄”。 胡彦斌怎么也不会想到，微博的第一次“沦陷”，竟然不是因为他兢兢业业做音乐，而是因为曾经将郑爽要遗弃的小狗送到了医院。 至此，网友才发现，这个长相一般的男人，对音乐从不缺乏执着、对诽谤从未主动辩解，他甚至自嘲的给自己精准定位：“我的粉丝对我，始于才华、陷于才华、忠于才华。” 于是，网友纷纷倒向胡彦斌一方，从最开始“郑爽怎么会看上胡彦斌”的灵魂发问，变成了现在“胡彦斌当初怎么会和郑爽在一起”的史诗级思考。 尽管胡彦斌莫名其妙的蹭成了“流量明星”，但是他在音乐上的造诣和天赋还是不容小觑。 2000年，年仅17岁的胡彦斌，在动漫《我是歌狂》的配唱为公司赚到了7000多万。要知道，那可是20年前，凭一己之力赚到7000多万绝对是“反人类”的操作。 2002年，胡彦斌发布了自己首张专辑《文武双全》，仅仅半年，销量就达到了25万张，比起当年风头正盛的周杰伦，同期专辑销量只少了不到10万张，当时就有音乐界大师预言：胡彦斌潜力无限。 2003年，胡彦斌开始了厚积薄发的一年，大大小小的奖项，直接拿到手软。 2005年，22岁的胡彦斌花费几千万创建了自己的音乐工作室，很多大腕明星都纷纷到场庆贺，可谓风光至极。 2006年，胡彦斌开始了创业生涯，起起落落，跌跌撞撞，曾一度因为不懂管理而懊恼不已，也因为经营不善而亏到倒闭关门。但无论何种境况，胡彦斌始终都没有忘记自己对音乐的热爱，他依然喜欢深夜写歌，在歌词中，与那个遍体鳞伤的自己和解。 好在2014年之后，胡彦斌终于在不断的失败中积累起来了成功的经验，他获得了逐鹿资本的投资，也频繁在音乐比赛节目中亮相，比如《我是歌手》、《音浪合伙人》、《天赐的声音》等等，都在舞台留下了让人惊艳的好声音。 近期，恋爱上许久没有动静的胡彦斌，又参加了《为歌而赞》，并在第五期深情演唱了新歌《半生出走》，直接把评委席唱哭了一片，一举拿下了冠军头衔。 而后的一期节目，同期选手廖昌永突然腰伤复发导致无法登台，女儿廖敏冲替父参赛，由于缺乏舞台经验，恐难挑大梁，包括胡彦斌在内的其他5位歌手，一起协助廖敏冲合唱了一首《明天会更好》，场面十分暖心。 这是《为歌而赞》第一次全部选手同台演唱，这些可爱可敬的音乐人，比起争夺第一，他们更看重的还是传递音乐力量。 就像胡彦斌被赋予的标签那样：“总有黑色的包袱种种，不及埋头创作，才是答案。”,,,,,2021-05-09,OPPO K3 硬核少年,0,0,0,胡彦斌发文,
4634641069510165,KexaGDU1L,第二只未成年金钱豹并未死亡，此前有@天目新闻 称该只被咬死亡，证实为假消息。富阳发布微博此前发布最新消息，称在金苑山庄旁边山林成功麻醉捕获一只逃脱的未成年金钱豹。 ,,https://wx1.sinaimg.cn/large/006MCfZmgy1gqb69yekphj30u01t0jym.jpg,,,2021-05-08,OPPO K3 硬核少年,0,0,0,,天目新闻
4634636267033618,Kex2WtvLs,#内江身边事# 电影地火正在内江威远热烈拍摄中 乐山全接触的微博视频 ,,,"https://f.video.weibocdn.com/s2DvCTsBlx07Mv3WCJ4Q01041200WUTN0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620547271&ssig=JkxAgjUGm4&KID=unistore,video",,2021-05-08,微博视频号,0,1,0,内江身边事,
4634629510792467,KewS33k9J,#上海一男子杀人后劫持人质被击毙#【#上海一男子杀人后劫持人质被击毙# 已成功解救人质】据@青浦警坛 消息，上海市公安局青浦分局发布警情通报称，2021年5月8日10时许，仲某（男，27岁）因矛盾纠纷在华卫路某企业门口持刀杀害修某（男，31岁），随后逃窜至附近一小超市内持刀劫持一名女性店员。民警接报警后迅速到场处置。 乐山全接触的微博视频,,,"https://f.video.weibocdn.com/003uwm6Rgx07Mv25K5UY0104120019HD0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BThihd3VLAY5R&Expires=1620547271&ssig=qFU%2BPcPKuH&KID=unistore,video",,2021-05-08,微博视频号,1,1,0,"上海一男子杀人后劫持人质被击毙,上海一男子杀人后劫持人质被击毙",青浦警坛
4634627886814030,KewPqsADI,#以优异成绩庆祝建党100周年##云岭红色地标巡礼#  云南艺术学院师生唱响《不忘初心》，献礼中国共产党成立100周年。#学党史 庆百年 心向党# （演出和摄制：云南艺术学院音乐学院团委、云南艺术学院电影电视学院团委）@共青团中央 @云南艺术学院  #百校接力唱百年# 乐山全接触的微博视频 ,,,"https://f.video.weibocdn.com/002C2Tzrgx07Mv1EaTY301041200H3ad0E010.mp4?label=mp4_ld&template=636x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620547271&ssig=gbebRB4MXS&KID=unistore,video",,2021-05-08,微博视频号,0,0,0,"以优异成绩庆祝建党100周年,云岭红色地标巡礼,百校接力唱百年","共青团中央,云南艺术学院"
4634614243005157,KewtqcBMh,据中国驻法国使馆网站消息，原计划于当地时间5月12日、19日由巴黎飞往天津的国航CA934航班，已被法国民航局取消。请相关旅客特别是自第三国来法转机的旅客及时调整个人行程，以免滞留或被遣返。请大家通过中国国航APP进行机票变更候补，或联系原购票渠道办理退票。国航咨询电话为+86-10-95583。 ,,,,,2021-05-08,OPPO K3 硬核少年,0,0,0,,
