id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634717653831570,Kezadg4Lw,#李佳航发文呼吁互相理解#沸了，互相理解说得在理，可在#南靖村民未签协议承包地被清# 官架依然，群众的诉说理都不理呀 漳州·福建土楼云水谣旅游区 ,,,,漳州·福建土楼云水谣旅游区,2021-05-08,OPPO K7x,0,0,0,"李佳航发文呼吁互相理解,南靖村民未签协议承包地被清",
4634683284919845,KeygMkDSl,#第二只被麻醉的金钱豹正在恢复#豹动全网，人不如豹，#南靖村民未签协议承包地被清# 群众利益被侵害无人问津处理呀 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"第二只被麻醉的金钱豹正在恢复,南靖村民未签协议承包地被清",
4634675526239931,Key4gqbi3,#宋祖儿给杨幂做手机壳##南靖村民未签协议承包地被清# 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"宋祖儿给杨幂做手机壳,南靖村民未签协议承包地被清",
4634673295130893,Key0FlwMl,#猫科专家解读杭州金钱豹抓捕#有没有媒体专家党纪国法部门解读一下#南靖村民未签协议承包地被清# ，专家都被豹动了，人不如豹呀！ 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"猫科专家解读杭州金钱豹抓捕,南靖村民未签协议承包地被清",
4634670912504539,KexWPavxN,#杭州野生动物世界道歉#豹动全网了，道歉是不是迟了，但还要为你点赞，总比#南靖村民未签协议承包地被清# 违法单位依然不道歉不处理，可恶极了。 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,1,0,"杭州野生动物世界道歉,南靖村民未签协议承包地被清",
4634670391624079,KexVZ6OuP,#杭州野生动物园负责人或被判刑#豹动全网，人不如豹呀，#南靖村民未签协议承包地被清# 依然无人处理，可恶极了 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"杭州野生动物园负责人或被判刑,南靖村民未签协议承包地被清",
4634646111587448,KexiP6EY0,#杭州野生动物世界道歉#豹动全网了，记者媒体、政府官兵、社会民众都被“瀑动”了，可在#南靖村民未签协议承包地被清# 却依然无人处理，国民不如豹呀，什么时候能有调查组来处理呀！@福建政务 @中国政府网 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,1,1,0,"杭州野生动物世界道歉,南靖村民未签协议承包地被清","福建政务,中国政府网"
4634638900789337,Kex7c3jlf,#杭州野生动物世界主要负责人已被控制#说谎是负责法律责任，可是在#南靖村民未签协议承包地被清# 这相关政府却可以随意说谎，不用负责，还可以公然假借公共利益说谎呀。 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"杭州野生动物世界主要负责人已被控制,南靖村民未签协议承包地被清",
4634580671529156,KevBh6pNO,#张艺谋说谋女郎不能是整容脸#为什么#南靖村民未签协议承包地被清# 当地政府就可以违法整群众的…… 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"张艺谋说谋女郎不能是整容脸,南靖村民未签协议承包地被清",
4634574674461470,KevrBiIDc,来我的主页看看我的精选照片吧 厦门 ,,"https://wx4.sinaimg.cn/large/006zE1Zdgy1gqaynrpxnxj30m80m8n07.jpg,https://wx2.sinaimg.cn/large/006zE1Zdgy1gqaynrzw87j30m80m8772.jpg,https://wx1.sinaimg.cn/large/006zE1Zdgy1gqaynsg460j30m80m8ju1.jpg",,厦门,2021-05-08,OPPO K7x,0,0,0,,
4634562732755234,Kev8lbyLg,#中国天眼有了新发现#在#南靖村民未签协议承包地被清# 这我也有新发现，回复点赞关注才能说 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,1,0,0,"中国天眼有了新发现,南靖村民未签协议承包地被清",
4634538548135344,Keuvky8ne,#春暖花开在路上#春已过，花开已射了 #南靖村民未签协议承包地被清# 依然没人管 厦门 ,,,,厦门,2021-05-08,OPPO K7x,0,0,0,"春暖花开在路上,南靖村民未签协议承包地被清",
4634538242476684,KeuuQaoiw,#今天是依萍生日#娱乐一下，#南靖村民未签协议承包地被清# 关注一下 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"今天是依萍生日,南靖村民未签协议承包地被清",
4634537927641571,Keuukw3V9,#难听#瞎了，听不到，瞎说了，只是耳聋才听不到，瞎了，只能看不到，在#南靖村民未签协议承包地被清# 瞎说事太多了，却没人理 漳州·云水谣古镇旅游景区 ,,,,漳州·云水谣古镇旅游景区,2021-05-08,OPPO K7x,0,0,0,"难听,南靖村民未签协议承包地被清",
