id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634224190295841,Kemkj1eXD,#乃万#房子车子并不是女方单独受益，这些东西就算成全的是女方的面子最大受益者其实还是男性和将来的孩子，男性为此努力总是说要给女孩子一个温暖的家一个安全感，这样的努力从来不光是为了女孩，是为了自己以及自己的小孩，不要拿着自己既得利益来说什么都是为了女生，这是在偷换概念，厚颜无耻 ,,,,,2021-05-07,微博搜索,0,1,0,乃万,
4631648027284198,KdhjcuyX4,#江西日晕#美翻了🌈☀️ ,,"https://wx4.sinaimg.cn/large/7f998c16gy1gq1mj9tzpgj22be2bctzd.jpg,https://wx2.sinaimg.cn/large/7f998c16gy1gq1mjakc6zj228c25qqr1.jpg,https://wx2.sinaimg.cn/large/7f998c16gy1gq1mjazg2cj20m80etq33.jpg",,,2021-04-30,nova 5z,0,0,0,江西日晕,
4631634551244640,KdgXt5dMQ,#治理出生人口性别比偏高#户口本上第一页户主一栏写的是谁，为什么不是夫妻共存，这已经从本质上定义了男性为天，女性只是附庸。可以想象，现在政府喊出消除男尊女卑的口号也只是因为男女比例失衡太过严重，最后反噬的必定是男性，最终目的也只是维护男性利益。不过，有总比没有更好，就怕顽疾难消 ,,,,,2021-04-30,微博搜索,0,0,0,治理出生人口性别比偏高,
4629901946653979,KcxSWrV0f,#晋江月逝水#男人一边出轨一边不愿意分手，不是余情未了，也不是多情不知如何抉择，他们只是太清楚再不会有人这么真心真意爱自己，他们也够无耻，会理所应当地拿女人无私的爱作为践踏和伤害她的武器，绝不肯放弃这么好的剥削对象，同时也绝不肯放弃在他人身上寻求新鲜刺激以及所谓满足感的机会。 ,,,,,2021-04-25,微博搜索,0,0,0,晋江月逝水,
4626756030171929,Kbe2T0IJ3,#鲁迅不干了#原本鲁迅先生在教育部抄写魏碑，钱玄同先生请他加入北大和《新青年》，他还带着这乱糟糟的社会没救了趁早毁灭算了的愤慨不愿加入，直到张勋复辟，带了五千辫子军进城拥立小宣统，先生气炸了，不仅要辞职还要公告天下以免人家以为他跟张勋同流合污，于是有了这一幕。迅哥儿真血性 ,,https://wx2.sinaimg.cn/large/7f998c16gy1gpm0kawccdj21fy0u07b8.jpg,,,2021-04-16,nova 5z,2,0,0,鲁迅不干了,
4625662206285219,KaLAEqn4v,#女子5年4次起诉离婚均被驳回#@以后不改昵称: 要离婚居然还要证明感情破裂，那结婚怎么不要求人家真心相爱啊 ,,https://wx3.sinaimg.cn/large/7f998c16gy1gpij2ts14cj20u01kv7qt.jpg,,,2021-04-13,nova 5z,0,0,0,女子5年4次起诉离婚均被驳回,以后不改昵称
4624156722728548,Ka8qsbrOQ,#不该为前置镜头焦虑的原因#原因还能有啥，当然是前置自带美颜了，我只担心后置摄像头，尤其是掌握在别人手中的后置摄像头好吧 ,,,,,2021-04-09,微博搜索,0,0,0,不该为前置镜头焦虑的原因,
4619175295452769,K82PTmSvT,#杨丞琳唱功被低估了#我反复听了几遍，杨钰莹稳得有感情，那种信手拈来的唱功真的太飒了，声线很有感染力非常能引起共鸣，其他几位功力不够胜在感情到位，热搜这位，高音是飙上去了，干吼的，和她的演技一样用力过猛。也就现在内娱音乐圈不景气，放在过去光台湾省都神仙打架，她还真没有被低估。 ,,,,,2021-03-27,nova 5z,1,0,0,杨丞琳唱功被低估了,
4618030393067973,K7z3hcS7r,#姚策生父郭希宽发声#人家许妈可以割肝救儿子，你亲生父亲能吗？装什么装？是谁让他无法安静离世的，对人家许妈一家敲骨吸髓还要把人踩进泥里诬陷别人，还指望别人对你们口下留情？怎么，什么好处都合该是你们一家子的是吧？ ,,,,,2021-03-23,微博搜索,0,0,0,姚策生父郭希宽发声,
4617633486340379,K7oJ6qBqb,#漫画腰作者#他还特意跳出来，看到那些图是真的生理不适，这会儿知道原型是个跳国标舞的小女孩我就更 ,,,,,2021-03-22,微博搜索,0,0,0,漫画腰作者,
