id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626940025110777,KbiPElrxT,美丽校园，我是行动者。我在#绿植领养#活动中解锁了绿植养成新玩法！快戳    全国青少年绿植领养活动  领养绿植种子，兑换真实绿植！春风十里，不如绿植有你，快和我一起行动起来吧~@花非花-937  @  @ ,,,,,2021-04-17,微博校园活动,0,1,0,绿植领养,花非花-937
4591008148628126,JCbxkAczk,我在#微博之夜#活动中，为@X玖少年团肖战DAYTOY 投出了宝贵的5票！#微博KING和QUEEN#花落谁家，由你来定！速戳微博KING和QUEEN投票，助他登上荣誉宝座！还能赢取盛典门票、现金红包及实物大奖哦！#2021料你好运#！ ,,,,,2021-01-08,微博品牌活动,0,0,0,"微博之夜,微博KING和QUEEN,2021料你好运",X玖少年团肖战DAYTOY
4584848398221503,JzBifyuMT,我在#微博之夜#活动中，为@X玖少年团肖战DAYTOY 投出了宝贵的5票！#微博KING和QUEEN#花落谁家，由你来定！速戳微博KING和QUEEN投票，助他登上荣誉宝座！还能赢取盛典门票、现金红包及实物大奖哦！#2021料你好运#！ ,,,,,2020-12-22,微博品牌活动,0,0,0,"微博之夜,微博KING和QUEEN,2021料你好运",X玖少年团肖战DAYTOY
4556354818412023,JnE2RzilN,#粉丝认证号#我刚刚领取了#肖战##粉丝认证号#No.2497193，马上领取粉丝认证号，官方盖章你值得拥有！粉丝认证号：肖战 ,,,,,2020-10-04,微博会员中心,2,2,0,"粉丝认证号,肖战,粉丝认证号",
4549334325270502,JkHpum766,重庆工商大学有没有高人指点一下，怎么找专业群啊？我在qq上直接搜，找不到 ,,,,,2020-09-15,重庆工商大学超话,2,1,0,,
4549180108836054,JkDoKB4F0,重庆工商大学有没有高人指点一下，怎么搜专业群啊？？我在qq里直接搜，找不到，， ,,,,,2020-09-14,重庆工商大学超话,0,0,0,,
4549179479950989,JkDnJFKHP,重庆工商大学有没有高人指点一下，怎么找专业群啊，我在qq上直接搜，找不到，，， ,,,,,2020-09-14,重庆工商大学超话,0,0,0,,
4547622474619728,JjYSrjnNK,重庆工商大学有没有河南的学长学姐啊，寻找老乡ing ,,,,,2020-09-10,重庆工商大学超话,0,2,0,,
4545529558342738,Jj6qLz0ki,问一下，大学的迎新点都在那里呢？那些迎新的学长学姐具体会在那里等多长时间呢？ ,,,,,2020-09-04,重庆工商大学超话,0,2,0,,
4540688634755741,Jh4uPjXbv,20届新生没有入学考试吗？ ,,,,,2020-08-22,重庆工商大学超话,0,7,0,,
