id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634393592987732,KeqJxcxfe,#中国空间站核心舱发射#(⊙o⊙)哇 ,,,,,2021-05-08,nova4自拍极点全面屏,0,0,0,中国空间站核心舱发射,
4632937520169686,KdOR20I8S,#95后00后成红色旅游出游主力#聚似一团火，散作满天星！红色历史，由青年传承！坚持无产阶级专政，坚持毛主席继续革命理论永不动摇！无产阶级万岁万岁万万岁！ ,,,,,2021-05-04,nova4自拍极点全面屏,1,0,0,95后00后成红色旅游出游主力,
4632033736003427,KdrljpbLt,#王进喜曾说要当一辈子老黄牛#大人，时代变了。问问青年，谁还愿意当老黄牛？ ,,,,,2021-05-01,nova4自拍极点全面屏,0,0,0,王进喜曾说要当一辈子老黄牛,
4632005659331732,KdqC1D9BO,#五一小长假如何过# 劳动节歌澎湃今日何日?“五一”劳动节，世界劳工同盟罢工纪念日。劳动最神圣，社会革命时机熟。希望兄弟与姊妹，“劳动”两字永牢记。 ,,,,,2021-05-01,nova4自拍极点全面屏,1,0,0,五一小长假如何过,
4631581241639733,Kdfzu6Szj,#毛选共读俱乐部# 我看中国在逐渐接近历史的三岔路口:①继续革命的社会主义、②帝国主义、③修正社会—官僚主义。只有这三条路走，继续革命的社会主义是唯一行得通的、继承先烈先贤遗愿的路。而我们的青年，坚持第一种路的思想和实践训练的如此稀少，一部分头脑里就是帝国主义和霸权思想，相当部分头脑里是被资本主义熏染的修正社会主义。前者是寄希望于征服和奴役其他国家民族，后者是希望跻身于“官位”或所谓“社会名流”，行买办资本之实。,,https://wx1.sinaimg.cn/large/006e7e3Xly1gq1ev8znnlj30g40b9ab4.jpg,,,2021-04-30,nova4自拍极点全面屏,3,0,0,毛选共读俱乐部,
4631576845486041,Kdfson1ax,#毛选共读俱乐部# 什么叫无产阶级，什么叫专政？什么是阶级斗争？什么才是马克思主义者？我看，一句话，首先有马克思立场的人，才有可能是马克思主义者，承认阶级斗争、承认无产阶级专政只是基本立场，在革命斗争中实践，不脱离人民群众，而这个唯一目的就是带领群众进行革命斗争。如果没有在全世界把 ...全文,,"https://wx3.sinaimg.cn/large/006e7e3Xly1gq1ed0x398j31400u0adi.jpg,https://wx3.sinaimg.cn/large/006e7e3Xly1gq1ed1sn4zj30u01400vb.jpg,https://wx1.sinaimg.cn/large/006e7e3Xly1gq1ed2tb9tj30u0140tcl.jpg,https://wx3.sinaimg.cn/large/006e7e3Xly1gq1ed3oadxj30u014077f.jpg,https://wx2.sinaimg.cn/large/006e7e3Xly1gq1ed4gjlej30u0140mzy.jpg,https://wx2.sinaimg.cn/large/006e7e3Xly1gq1ed58jddj30u01400vl.jpg",,,2021-04-30,nova4自拍极点全面屏,2,0,0,毛选共读俱乐部,
4630336690983323,KcJc947O3,#毛选共读俱乐部# 一句话说马克思主义:①哲学:历史唯物主义和辩证唯物主义②政治经济学:剥削和反剥削③科学社会主义:共产主义必然是最高社会阶段。一句话看透社会主义和资本主义:社会主义是共同富裕，资本主义是一小撮人富裕。 ,,https://wx2.sinaimg.cn/large/006e7e3Xly1gpxfxkyfikj30m80gok91.jpg,,,2021-04-26,nova4自拍极点全面屏,1,0,0,毛选共读俱乐部,
4629601944867196,Kcq54kqba,#毛选共读俱乐部# 69年前的元旦祝词，对现在来说一样是寄语，我们的经济和财政、文化和教育、以及首先对于知识分子的思想改造方面，还有反对贪污浪费和官僚主义，依然任重而道远。引用主席一句诗“俱往矣，数风流人物，还看今朝” ,,https://wx4.sinaimg.cn/large/006e7e3Xly1gpv3jbaipcj30u014044b.jpg,,,2021-04-24,nova4自拍极点全面屏,1,0,0,毛选共读俱乐部,
4381033585209761,Hy03klRip,我免费围观了 @星悦小美女PKU 的回答，问题价值 500.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-06-08,微博 weibo.com,0,0,0,,星悦小美女PKU
4381033031915692,Hy02r82mg,我免费围观了 @星悦小美女PKU 的回答，问题价值 520.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-06-08,微博 weibo.com,0,0,0,,星悦小美女PKU
4381032495152228,Hy01zlCks,我免费围观了 @星悦小美女PKU 的回答，问题价值 520.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-06-08,微博 weibo.com,0,0,0,,星悦小美女PKU
4345357066719444,Hj1Wysc28,我免费围观了 @庚酉先生 的回答，问题价值 8.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-03-02,微博 weibo.com,0,0,0,,庚酉先生
4345356642986334,Hj1VScwSG,我免费围观了 @猪蹄蹄小朋友 的回答，问题价值 99.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-03-02,微博 weibo.com,0,0,0,,猪蹄蹄小朋友
4345355702989323,Hj1UmcxET,我免费围观了 @猪蹄蹄小朋友 的回答，问题价值 99.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-03-02,微博 weibo.com,0,0,0,,猪蹄蹄小朋友
4345354272759638,Hj1S3bzUi,我免费围观了 @Fenng 的回答，问题价值 32.00 元，快来一起免费围观~ 微博问答 ,,,,,2019-03-02,微博 weibo.com,0,0,0,,Fenng
