id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4514683061327397,J69Ym5zjD,毛豆_老洋房里的古早味空间_上海民宿一直宅的新空间上线啦预定公众号：一直宅 #上海民宿# #网红民宿# #上海老洋房# #上海摄影场地# ,,"https://wx2.sinaimg.cn/large/6a573037gy1gfoh9yah4dj22pg1wwe82.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gfoh9zwykjj22pg1ww4qr.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gfoha1mmb2j22pg1wwx6q.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gfoha3c8ucj22pg1wwqv7.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gfoha536nqj22pg1ww4qs.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gfoha69r9hj22pg1wwnpe.jpg,https://wx4.sinaimg.cn/large/6a573037gy1gfoh9wv377j22pg1ww7wj.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gfoha7e6ykj22pg1ww7wi.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gfoha9fu22j22pg1ww1l0.jpg",,,2020-06-11,iPhone 8,5,2,0,"上海民宿,网红民宿,上海老洋房,上海摄影场地",
4616467787811427,K6UoWwM6L,今早发生在“小仙儿”一组极有故事性的照片，另外女主好美哇～photo from @鹿岛视觉 #上海民宿# #网红民宿# #拍摄# #写真# #上海拍摄场地# ,,"https://wx2.sinaimg.cn/large/6a573037ly1gop7250tiwj20u0190tf2.jpg,https://wx3.sinaimg.cn/large/6a573037ly1gop725fqqrj20u019044l.jpg,https://wx4.sinaimg.cn/large/6a573037ly1gop725lzvkj20u019042a.jpg,https://wx1.sinaimg.cn/large/6a573037ly1gop724n941j21ww2pgkjn.jpg,https://wx2.sinaimg.cn/large/6a573037ly1gop726iewvj21ww2pg4qs.jpg,https://wx3.sinaimg.cn/large/6a573037ly1gop727a0azj21ww2pgqv6.jpg,https://wx1.sinaimg.cn/large/6a573037ly1gop72853ebj21ww2pghdw.jpg,https://wx3.sinaimg.cn/large/6a573037ly1gop728zvo1j21ww2pgqv7.jpg,https://wx1.sinaimg.cn/large/6a573037ly1gop729uyvvj21ww2pgnpf.jpg,https://wx2.sinaimg.cn/large/6a573037ly1gop72awb30j21ww2pg4qr.jpg,https://wx3.sinaimg.cn/large/6a573037ly1gop72bx6w9j21ww2pgqv8.jpg,https://wx2.sinaimg.cn/large/6a573037ly1gop72cwn8fj21ww2pgu0z.jpg",,,2021-03-19,iPhone 8,2,2,0,"上海民宿,网红民宿,拍摄,写真,上海拍摄场地",鹿岛视觉
4610959027470838,K4B5Qvlvo,重新开业的“小仙儿”房间，开始接待来客～#网红民宿##上海民宿##拍摄##约拍##摄影基地# ,,"https://wx2.sinaimg.cn/large/6a573037ly1go7mdwntodj22c0340ka0.jpg,https://wx1.sinaimg.cn/large/6a573037ly1go7mdv7rshj22c0340npb.jpg,https://wx1.sinaimg.cn/large/6a573037ly1go7mdy489wj22c03401kx.jpg,https://wx3.sinaimg.cn/large/6a573037ly1go7mdzjde7j22c0340az7.jpg,https://wx1.sinaimg.cn/large/6a573037ly1go7me0ijh6j20s01dsaoc.jpg,https://wx4.sinaimg.cn/large/6a573037ly1go7me1glw8j22c03404qp.jpg",,,2021-03-04,iPhone 8,0,2,0,"网红民宿,上海民宿,拍摄,约拍,摄影基地",
4609651570381251,K43531Bbd,YI-ZI #about housing#厨房无论是电影《call me by your name》，还是英剧《德雷尔一家》，他们都在意大利乡村住宅里，描绘了我理想中的厨房，巨大的厨房，没有先进的厨具，老旧的瓷砖始终被收拾的很干净，令郎满目的厨具以及充满整个空间的阳光手头很多关于欧洲住宅的书籍，这几天花了一些时间去删选收集，随意挑了几张图，无论是颜色还是细节逻辑都是令人快乐的，有机会会在新的项目中尝试去实现类似的空间,,"https://wx1.sinaimg.cn/large/6a573037gy1go3fqjq7bnj21400u0ag5.jpg,https://wx1.sinaimg.cn/large/6a573037gy1go3fqwfynfj20hs09m74o.jpg,https://wx3.sinaimg.cn/large/6a573037gy1go3frdpaffj20c00ez152.jpg,https://wx1.sinaimg.cn/large/6a573037gy1go3frvixkoj21400u0hdv.jpg,https://wx4.sinaimg.cn/large/6a573037gy1go3fs2l37tj20w20ivhdt.jpg,https://wx2.sinaimg.cn/large/6a573037gy1go3fsblvhjj21400u01l0.jpg,https://wx3.sinaimg.cn/large/6a573037gy1go3fsm1wb8j21400miabt.jpg,https://wx4.sinaimg.cn/large/6a573037gy1go3fssko6lj20f00avqdv.jpg,https://wx1.sinaimg.cn/large/6a573037gy1go3ft0o6jtj20c00f34ff.jpg",,,2021-02-28,360安全浏览器,1,0,0,about housing,
4496889737589818,IEExLvQsq,【重组出发】欢迎来访 小仙儿&小软将作为静态拍摄场地，持续营业🆕公众号：一直宅 ,,"https://wx1.sinaimg.cn/large/6a573037gy1ge3prf8pgfj21ww2pge82.jpg,https://wx4.sinaimg.cn/large/6a573037gy1ge3pre0qj3j21ww2pg7wj.jpg",,,2020-04-23,iPhone 8,16,2,1,,
4459990980665603,IpaDE2N9x,一直宅_小软我们的第十一个民宿房间来自@harrylil 的摄影 ,,"https://wx1.sinaimg.cn/large/6a573037gy1gatzywh9mvj21hc0u04qp.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gatzz00pjjj21hc0u04qp.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gatzz14mm9j21hc0u0h3q.jpg,https://wx4.sinaimg.cn/large/6a573037gy1gatzz2hunzj21hc0u04qp.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gatzz63kd4j20zk1hc7wh.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gatzz8g9z2j21hc0u04qp.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gatzzdwge6j20zk1hce1p.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gatzzgbzuej21hc0u04qp.jpg,https://wx1.sinaimg.cn/large/6a573037gy1gatzyv28gvj20zk1hc7wh.jpg",,,2020-01-12,iPhone 8,3,1,1,,harrylil
4453812473409469,ImzUjeiXr,上海民宿_小软地点：瑞金二路住宿：最多2人拍摄：最多3人价格：500左右 ,,"https://wx1.sinaimg.cn/large/6a573037gy1gaaadpj3caj22pg1wwb2b.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gaaads7ra7j22pg1wwhdx.jpg,https://wx4.sinaimg.cn/large/6a573037gy1gaaadtu991j22pg1ww1kz.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gaaadnv1xtj22pg1ww7wl.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gaaadvelysj22pg1wwb2b.jpg,https://wx2.sinaimg.cn/large/6a573037gy1gaaadww6q5j22pg1wwnpe.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gaaadycywfj22pg1ww1kz.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gaaae0b3ioj22pg1ww4qr.jpg,https://wx3.sinaimg.cn/large/6a573037gy1gaaae2cataj22pg1wwe83.jpg",,,2019-12-26,iPhone 8,8,8,0,,
4451715397320625,IlHlVuIqB,我们的“小软”快要来啦～ ,,"https://wx4.sinaimg.cn/large/6a573037gy1ga3ljua88tj23402c0hdu.jpg,https://wx3.sinaimg.cn/large/6a573037gy1ga3ljszujwj23402c0hdu.jpg",,,2019-12-20,iPhone 8,0,2,0,,
4442195886686192,IhHHSs3nO,【不会老的蔬菜水果】“青团”_一直宅地址：上海 乌鲁木齐中路价格：200～300元空间：一个卫生间+一个沙发床的极间空间，仅14平方米。预订：公众号“一直宅”@Airbnb爱彼迎 @榛果摄影民宿推荐 ,,"https://wx2.sinaimg.cn/large/6a573037gy1g9988er9bzj23402c0qv5.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g9985075fkj22c02c0b29.jpg,https://wx3.sinaimg.cn/large/6a573037gy1g998531yhnj22c02c0npd.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g998570wquj22c02c0x6p.jpg",,,2019-11-24,iPhone 8,0,0,1,,"Airbnb爱彼迎,榛果摄影民宿推荐"
4441911412672573,IhAj3bdg1,一直宅_上海民宿我们在法租界有十个空间，提供住宿和拍摄。小仙儿桃子小岛大白儿青团松糕椰子小乐手飞鸟梧桐预订搜公众号：一直宅也可以@Airbnb爱彼迎 @美团榛果民宿@途家 ,,"https://wx2.sinaimg.cn/large/6a573037gy1g98bgnirh1j20ne0gjte7.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g98bgny4jxj20ne0gjwhk.jpg,https://wx4.sinaimg.cn/large/6a573037gy1g98bgobazij20ne0gj0vi.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g98bgoqremj20ne0gjq7p.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g98bgp3t2dj20ne0gjgpg.jpg,https://wx4.sinaimg.cn/large/6a573037gy1g98bgq5b5ij20ne0gjq75.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g98bgqksv3j20ne0gjtbu.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g98bgr4ulgj20ne0gjagr.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g98bgmta8sj20lc0u6dmt.jpg",,,2019-11-23,iPhone 8,31,10,22,,"Airbnb爱彼迎,美团榛果民宿,途家"
4435408018253893,IeR7HyDdj,小仙儿的两只客人 ,,"https://wx1.sinaimg.cn/large/6a573037gy1g8nkok224cj20m80epdgt.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g8nkokolstj22io3swtyp.jpg,https://wx4.sinaimg.cn/large/6a573037gy1g8nkoj7lozj22io3sw4qt.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g8nkolt646j23sw2io7wh.jpg,https://wx4.sinaimg.cn/large/6a573037gy1g8nkonw7vhj23sw2ionph.jpg,https://wx2.sinaimg.cn/large/6a573037gy1g8nkoor2a5j233x2iokgs.jpg",,,2019-11-05,iPhone 8,1,5,1,,
4411533285509220,I4Q24n7co,出了个差 ,,"https://wx1.sinaimg.cn/large/6a573037ly1g6jepeugd5j20u0140guh.jpg,https://wx2.sinaimg.cn/large/6a573037ly1g6jepk63vyj20u01407fb.jpg",,,2019-09-01,iPhone 8,1,0,0,,
4404494974407787,I1SVXiuFl,超美的桌子💚 ,,https://wx3.sinaimg.cn/large/6a573037gy1g5wyc9pkroj23402c0kjl.jpg,,,2019-08-12,iPhone 8,1,1,0,,
4377798791417024,HwDTV5WDe,"上海民宿_一直宅_小仙儿客房：独立卧室，客厅 ,阳台，卫生间，厨房地点：黄浦区 永嘉路住客：宜住2人，可加床，共住3人预定：@Airbnb爱彼迎 @美团榛果民宿 接受商业拍摄 ",,"https://wx2.sinaimg.cn/large/6a573037ly1g3js331xb9j21400u0thk.jpg,https://wx2.sinaimg.cn/large/6a573037ly1g3js3cd8xbj21400u0tni.jpg,https://wx3.sinaimg.cn/large/6a573037ly1g3js44nkb3j21400u0jzv.jpg,https://wx2.sinaimg.cn/large/6a573037ly1g3js2y3yh6j21420u044i.jpg,https://wx2.sinaimg.cn/large/6a573037ly1g3js4bvokvj20u0140ai8.jpg,https://wx3.sinaimg.cn/large/6a573037ly1g3js4ngehtj20u0140qai.jpg,https://wx1.sinaimg.cn/large/6a573037ly1g3js54xsczj20u014010v.jpg,https://wx4.sinaimg.cn/large/6a573037ly1g3js5dprv7j20u0140wlx.jpg,https://wx2.sinaimg.cn/large/6a573037ly1g3jsckt0i4j21400u0dml.jpg",,,2019-05-31,iPhone 8,5,11,0,,"Airbnb爱彼迎,美团榛果民宿"
4359862995901390,Hp7jdoLdI,一直宅_松糕前几天买了【野兽派】的兔子🐰放在“松糕”里面 ，有点喜欢～@野兽派花店 @Airbnb爱彼迎 @美团榛果民宿 #上海民宿精选#最美民宿 ,,"https://wx4.sinaimg.cn/large/6a573037gy1g1ykdnp47mj22yo280x6q.jpg,https://wx1.sinaimg.cn/large/6a573037gy1g1ykdmx2txj21h22144qp.jpg",,,2019-04-11,iPhone 8,0,0,0,上海民宿精选,"野兽派花店,Airbnb爱彼迎,美团榛果民宿"
4351876419622673,HlLxDEnip,神仙搭配啊，最喜欢的昊然和冬哥啊，拍个电影吧#刘昊然##周冬雨# ,,https://wx3.sinaimg.cn/large/6a573037gy1g19355jvsvj20ku0omgsi.jpg,,,2019-03-20,iPhone 8,2,0,0,"刘昊然,周冬雨",
4335946897620967,Hf58RvYyP,开头无法接受画风一度尴尬，但后面打斗场面很燃给好评，许宣神似昊然迪迪小道士是厂花原型嘛哈哈哈@陈坤 @刘昊然turbo 白蛇：缘起 ,,https://wx4.sinaimg.cn/large/6a573037gy1fzu9p0xi8bj20u00cpjsl.jpg,,,2019-02-04,iPhone 8,0,0,0,,"陈坤,刘昊然turbo"
4331760001707246,HdkdO7a8e,一直宅_青团 | 上海民宿 ,,"https://wx3.sinaimg.cn/large/6a573037gy1fzgwthc20zj21jo2c04qq.jpg,https://wx2.sinaimg.cn/large/6a573037gy1fzgwt0w3j3j21fa29bqv5.jpg,https://wx3.sinaimg.cn/large/6a573037gy1fzgwueo2y3j22c02c0b2c.jpg,https://wx1.sinaimg.cn/large/6a573037gy1fzgwv3hf7sj22c02c01l0.jpg,https://wx3.sinaimg.cn/large/6a573037gy1fzgwvj24n1j22c02c0e83.jpg",,,2019-01-23,iPhone 8,1,0,0,,
