id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634721029985134,KezfEFTAy,#眼鼻整形周鹏起# #新星v计划# 有一种感情叫天长地久，有一种陪伴叫陪着你变美。这位姑娘是闺蜜陪着来做鼻子的，给她面诊中！  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/004kaUK1gx07Mvr4W4ac01041200f1iF0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527924&ssig=XHRWWk2kEJ&KID=unistore,video",,2021-05-08,微博视频号,1,0,0,"眼鼻整形周鹏起,新星v计划",
4634719032969120,Kezcrcsp2,鼻整形医生周鹏起案例 这位来自河南的宝妈一上来就说自己喜欢自然的款式，想做一个秀气点的鼻子，她的鼻子鼻头短，鼻基底凹陷和同龄人相比显得成熟。手术方案：生科假体+肋骨+筋膜+鼻尖成型+鼻头延长+鼻小柱抬高延长+肋骨鼻基底术后的鼻子自然，秀气。宝妈看了后一个劲的夸我技术好，夸的都有点不好意思了。#新星v计划#,,https://wx3.sinaimg.cn/large/007dzTwzgy1gqbf8h1w61j30ux0u0kjm.jpg,,,2021-05-08,UC浏览器电脑版,0,0,0,新星v计划,
4634349846663515,KepAYrXu3,鼻整形医生周鹏起案例 刚从手术室出来就过来给这位宝宝面诊，她的问题是山根过高，鼻头过尖，鼻背没弧度，直愣愣的  生硬  假    个人想要一个直挺微翘真实的鼻型手术方案是：生科假体+肋骨+筋膜+鼻尖成型+肋骨鼻基底+驼峰宝宝说术后的鼻子鼻梁挺拔了，鼻头小微翘，山根，鼻头整个线条都很流畅  好像天生鼻子#新星v计划#,,https://wx2.sinaimg.cn/large/007dzTwzgy1gqa8u2td9nj313j0u01ky.jpg,,,2021-05-07,UC浏览器电脑版,0,0,0,新星v计划,
4634349527632691,KepAsw1BV,鼻整形医生周鹏起案例 今天这个宝妈做过做过两次隆鼻，手术后两年左右出现了挛缩现象，鼻尖突出。她说从朋友哪里听说了我做鼻子特别好，特意来找我做鼻子。诉求是想要一个鼻尖圆润饱满的鼻子手术方案是：修复+取骨粉+生科假体+耳软骨取出原有的骨粉，重新塑造鼻尖，鼻梁挺拔弧度流畅。宝妈说以前就不应该用骨粉的，第一次隆鼻的时候用耳软骨，就不会多做两次手术了。#新星v计划#  周院长鼻修复的微博视频,,,"https://f.video.weibocdn.com/ng8JA2CNlx07MtNH0hm0010412002rPI0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BThihd3VLAY5R&Expires=1620527925&ssig=yjUwhqpT8n&KID=unistore,video",,2021-05-07,微博视频号,0,0,0,新星v计划,
4633975462826127,KefR8bRcH,鼻整形医生周鹏起案例 这位宝宝鼻子的问题是鼻孔大，鼻子不秀气，一个女孩子顶着一个大鼻子严重影响颜值     女孩子都比较喜欢小巧秀气的鼻型所以诉求是：自然鼻，直挺微翘鼻型 在原有基础上做精致秀气 手术方案：韩式生科假体+宽骨+鼻头抬高+鼻头缩小+内外切鼻翼+双侧耳软骨术后凸出鼻头和鼻尖   鼻翼精致秀气， 鼻型立体  双侧耳软骨静脉麻醉术后自己确认效果非常满意#新星v计划# #美国放弃新冠疫苗知识产权专利有何影响#,,https://wx2.sinaimg.cn/large/007dzTwzgy1gq91u99uuzj30vw0u0e82.jpg,,,2021-05-06,UC浏览器电脑版,0,0,0,"新星v计划,美国放弃新冠疫苗知识产权专利有何影响",
4633975140388375,KefQC1D27,鼻整形医生周鹏起案例 #鼻整形修复周鹏起# 姑娘是青岛人觉得自己的鼻子不好看，想改善一下自己的鼻子，趁着假期过来做鼻子。姑娘的鼻子立体感欠缺，鼻型较长  小柱下垂 ，双侧鼻基底凹陷明显。诉求：想要术后是一个漂亮的妈生鼻手术方案:生科假体+肋骨+鼻小柱太高+鼻尖成型+肋骨鼻基底术后姑娘的鼻子与术前相比术后的鼻子立体，自然，达到了姑娘想要的样子。#新星v计划# #出道吧新星#  周院长鼻修复的微博视频,,,"https://f.video.weibocdn.com/001jzaRqgx07Ms9wG43l010412002IYn0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BThihd3VLAY5R&Expires=1620527925&ssig=Dkh6BCuT4d&KID=unistore,video",,2021-05-06,微博视频号,0,0,0,"鼻整形修复周鹏起,新星v计划,出道吧新星",
4633621195917292,Ke6DJoPmc,#周鹏起# #双眼皮# #新星v计划# 做完双眼皮手术后下眼睑发黄发青是怎么回事？  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/002iKchVgx07MqAVWpYs010412005gx80E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527924&ssig=KLKOMTy4yx&KID=unistore,video",,2021-05-05,微博视频号,0,0,0,"周鹏起,双眼皮,新星v计划",
4633620158875343,Ke6C3BeSH,#周鹏起# #新星v计划# 做一次眼袋手术是不是管终身呢？其实并不是的，那么是为什么呢？  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/0007wjtCgx07MqAEJLj9010412007Wn20E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527924&ssig=g7QrhTUv9o&KID=unistore,video",,2021-05-05,微博视频号,0,0,0,"周鹏起,新星v计划",
4633225340912256,KdWlg3PjO,鼻整形医生周鹏起案例 #眼袋# 在做手术前一般都会有一些禁忌的事不能做，那么做眼袋手术前，要做哪些准备呢？#新星v计划#  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/GQ1yyrdelx07MoQUFa0o010412008zxV0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527924&ssig=6fDzFHEHFJ&KID=unistore,video",,2021-05-04,微博视频号,0,0,0,"眼袋,新星v计划",
4633222988437286,KdWhszoVg,鼻整形医生周鹏起案例 #肋骨鼻综合# 用肋软骨隆鼻可以不放其它材料，这是为什么呢？#新星v计划#  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/bgpNnhFKlx07MoQhqmSI010412007Kix0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527924&ssig=9tIWbiukyW&KID=unistore,video",,2021-05-04,微博视频号,0,0,0,"肋骨鼻综合,新星v计划",
4633218298419147,KdW9TzkcH,鼻整形医生周鹏起案例 #双眼皮# 刚做了双眼皮手术不久，两侧看起来不一样，可以改吗？看看周院长怎么说#新星v计划# #如何看待比尔盖茨离婚#  周院长鼻修复的微博视频 ,,,"https://f.video.weibocdn.com/qPNcbb2Alx07MoP04GRi0104120036X30E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620527933&ssig=pwXU1tzshs&KID=unistore,video",,2021-05-04,微博视频号,0,0,0,"双眼皮,新星v计划,如何看待比尔盖茨离婚",
