id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4629782271103629,KcuLV4D6t,#如何看待五一调休凑长假#休三天不是挺好的吗？ ,,,,,2021-04-25,nova8 我由我掌镜,0,0,0,如何看待五一调休凑长假,
4629119667277634,Kcdxcuxfc,#汪峰定律#汪峰老师，你的热搜回来了。 ,,,,,2021-04-23,nova8 我由我掌镜,0,0,0,汪峰定律,
4626239447629926,Kb0BGw0Tk,#北京拟对涉毒艺人实施自律惩戒#别北京啊，这个应该全国实施。[加油][加油][加油] ,,,,,2021-04-15,nova8 我由我掌镜,3,0,0,北京拟对涉毒艺人实施自律惩戒,
4626222539085309,Kb0apC7vf, ,,https://wx3.sinaimg.cn/large/5c6d2741gy1gpkbfd6l8lj20u01t0tez.jpg,,,2021-04-15,nova8 我由我掌镜,0,0,0,,
4625127343915935,KaxFYgqIf,#广州地铁# 奇奇怪怪，高峰期的地铁就是挤的，怎么老有人嫌弃有人挤他？ ,,https://wx1.sinaimg.cn/large/5c6d2741gy1gpgtnaqc9rj20t10tpgn0.jpg,,,2021-04-12,nova8 我由我掌镜,0,3,0,广州地铁,
4624713685664823,KamUMnLG7,广东一幼儿园女童帮老师向消防员要微信：叔叔，帮我扫一下二维码 UP主: 漩涡视频#bilibili# 广东一幼儿园女童帮老师向消防员要微信：叔叔，帮我扫一下二维码 (哔哩哔哩客户端下载 网页链接) ,,,,,2021-04-11,哔哩哔哩移动客户端,0,0,0,bilibili,
4624354614181929,KadzDhxUt,#官方通报兄弟祭祖回来发现房屋被拆#心惊。 ,,,,,2021-04-10,nova8 我由我掌镜,0,0,0,官方通报兄弟祭祖回来发现房屋被拆,
4624035726496276,Ka5hirfYE,#奶奶对人生的态度#奶奶真的很棒。 ,,,,,2021-04-09,nova8 我由我掌镜,0,0,0,奶奶对人生的态度,
4623286387869223,K9LMGx18X,#13岁女孩花70万约稿#别写日文行不？对自己没信心？写几个日文就高级点了吗？ ,,,,,2021-04-07,nova8 我由我掌镜,2,0,0,13岁女孩花70万约稿,
4623279983689965,K9LCmftVz,#父母去世姐姐是否必须抚养幼弟#我记得法律规定扶养关系，姐姐养了弟弟，弟弟以后也要赡养姐姐的 ,,,,,2021-04-07,nova8 我由我掌镜,1,2,0,父母去世姐姐是否必须抚养幼弟,
4623267006516201,K9Lhqrla1,#90后立遗嘱把身后事纳入人生规划#没什么好规划的，家庭关系简单，法定就行了。立遗嘱后建议多回忆一下要不要修改，百年归老之后，财产变动，家庭关系变动，拿到遗产的那个人未必是当年的那个人了。 ,,,,,2021-04-07,nova8 我由我掌镜,1,2,0,90后立遗嘱把身后事纳入人生规划,
4623265018416670,K9LedzjyK,#小学生建议英语课本撤掉动物表演#为什么甩锅家长甩锅孩子？有神仙家长就有神仙孩子，孩子提出，家长满足，很符合逻辑啊。 ,,,,,2021-04-07,nova8 我由我掌镜,0,0,0,小学生建议英语课本撤掉动物表演,
4623263713725387,K9Lc7fD8T,#小学生建议英语课本撤掉动物表演#哈哈哈，引导不好吗？干嘛撤掉。 ,,,,,2021-04-07,nova8 我由我掌镜,0,0,0,小学生建议英语课本撤掉动物表演,
4621481164410546,K90P2ivnQ,把共享单车停在桥上是几个意思 ,,https://wx2.sinaimg.cn/large/5c6d2741gy1gp56v4j124j20u0140dnk.jpg,,,2021-04-02,nova8 我由我掌镜,0,0,0,,
