id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4629433246023689,KclGYph2h,#国家一级运动员酒驾狂奔没跑过交警#所以究竟是谁？有多大的能力，至今都不曝光他的名字！ ,,,,,2021-04-24,iPhone客户端,0,0,0,,
4629104374841676,Kcd8xkjxy,#赵丽颖冯绍峰离婚#害，当年结婚的时候我就预言了，五年内必离婚，没想到让我说中了。我是基于明星的高离婚率才做出的预言！娱乐圈里从来没有离过婚的夫妻有哪些？张学友？ ,,,,,2021-04-23,iPhone客户端,0,0,0,赵丽颖冯绍峰离婚,
4615331789934104,K6qQGFGju,#何炅#所以他可能是gay？！ ,,,,,2021-03-16,iPhone客户端,0,0,0,何炅,
4608248530077506,K3sA50ka6,最近很火的蚂蚁牙黑 仙剑奇侠传版 夜未央日葵的微博视频 ,,,"https://f.video.weibocdn.com/000s5cICgx07KCV5HPbF010412002vW60E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620538239&ssig=99PGmiKTu4&KID=unistore,video",,2021-02-24,iPhone客户端,0,0,0,,
4596250584042645,JEnUSgXFX,#华晨宇 我们是有一个孩子#也有可能是知道华天帝不想要，就偷偷的生下去，再来发微博用舆论来道德绑架逼迫华天帝不得不要老婆和孩子！这个时候，华天帝要是敢不承认，直接和zs一样凉凉！ ,,,,,2021-01-22,iPhone客户端,0,0,0,华晨宇 我们是有一个孩子,
4595200036452233,JDWArr4wh,#中央政法委评郑爽代孕弃养#凉了是肯定的了！不然起到一个不好的示范作用！如果不凉，那大家都会效仿她，去dy，弃养，给社会带来严重的影响！如果你是普通人，那你乱丢垃圾，是小事！但如果你是偶像，是公众人物，那就不是小事了！偶像就得有担当！起到正能量的作用！不能教坏别人！ ,,,,,2021-01-19,iPhone客户端,0,0,0,中央政法委评郑爽代孕弃养,
4594765406407153,JDLhqqSNb,#张恒发文#1118万粉丝，过几天再看看是跌了还是涨了！想洗白就说自己身体不好，生育不了，只能dy！并没有不要孩子！zh在胡说八道，zs一直在争取！ ,,https://wx1.sinaimg.cn/large/0060E6Gggy1gmryjw2la4j30n01dsq9s.jpg,,,2021-01-18,iPhone客户端,0,0,0,张恒发文,
4594323691147459,JDzMZ4Ovp,#央行再次重申房住不炒#你发个声明有鬼用啊，除非是铁腕强制性的，回到计划经济 ,,,,,2021-01-17,iPhone客户端,0,0,0,央行再次重申房住不炒,
4592853722334624,JCXy49Nle,#31省区市新增115例确诊#是不是不报道死亡人数了？印象中好像有十个月没看到有人死于新冠的报道了！ ,,,,,2021-01-13,iPhone客户端,0,0,0,31省区市新增115例确诊,
4565688104262411,JryQyhSQz,#中共中央新闻发布制度#什么制度？具体怎么样的？ ,,,,,2020-10-30,iPhone客户端,1,0,0,中共中央新闻发布制度,
4554996319783697,Jn4HJF3bz,#韩红瘦了#应该得了什么病才瘦下来的 ,,,,,2020-09-30,iPhone客户端,0,0,0,韩红瘦了,
4534498785756678,Jettco9zE,#雄安新区建设画面#能问一下那边的一块地多少钱吗？外地人购买有没有限制？我觉得以后肯定能翻很多倍的！我这里是尿不拉屎的小镇，九几年的时候一条水泥路都没有，一块地就六，七千块，现在得六，七十万了！有价无市，家里人都后悔死以前不多买几块！不说一线城市，就说，二三线城市，以前的珠海房价多少？现在多少？都后悔当年没有买，现在买不起！现在不看好雄安的，二三十年后，房价涨到你买不起了！,,,,,2020-08-05,iPhone客户端,0,3,0,雄安新区建设画面,
4533636999676322,Je73dEBfI,#繁花官宣胡歌#文艺片？不好意思，注定票房不好！ ,,,,,2020-08-03,iPhone客户端,0,0,0,繁花官宣胡歌,
4529732646865383,JcttSsNZZ,#浙大犯强奸罪学生#今生不悔入华夏，来世愿做少族人。在中国，少数民族的地位确实比汉族高。 ,,,,,2020-07-23,iPhone客户端,0,0,0,浙大犯强奸罪学生,
4526644226724573,Jbb8ysdmR,#独山县官方回应烧掉400亿#反正钱是公家的，大建工程能养肥了一群官员，建材商，建筑工人，拉动内需，何乐而不为？ ,,,,,2020-07-14,iPhone客户端,0,0,0,独山县官方回应烧掉400亿,
4526297055142663,Jb26BlzQb,#小学生研究结直肠癌获全国奖项#还有很多天才小发明家的，其实很多都是有钱的家长买枪手罢了。 ,,,,,2020-07-13,iPhone客户端,0,0,0,小学生研究结直肠癌获全国奖项,
4526295944431520,Jb24OiAQ8,#小学生研究结直肠癌获全国奖项#有此天才少年，我华夏民族复兴有望了，诺贝尔奖稳了，奥利给！ ,,,,,2020-07-13,iPhone客户端,0,0,0,小学生研究结直肠癌获全国奖项,
4524587830556791,JajDN2kQv,#坠湖公交受伤15人一对一专班救治#嗯？都几天了，故事原因还没公布？那么多生还者，难道当时车上发生了什么事，一个人都不知道？ ,,,,,2020-07-09,iPhone客户端,0,0,0,坠湖公交受伤15人一对一专班救治,
4524083134635342,Ja6vLjrRA,#贵州安顺一载有学生大巴车冲进水库#应该没有人死，或者死亡人数不超过3个，因为能救出这么多人，说明车窗没有打开，车厢里没有进多少水，如果车厢进了很多水，那所有人都得淹死。如果有死亡的也不会是淹死的，应该是踩踏或者碰撞而死的。 ,,,,,2020-07-07,iPhone客户端,0,0,0,贵州安顺一载有学生大巴车冲进水库,
4520413516318191,J8z31qvEj,#张含韵 迪士尼在逃的中国公主#在吹的，我觉得有点尴尬。 ,,,,,2020-06-27,iPhone客户端,0,0,0,张含韵 迪士尼在逃的中国公主,
4517981109290984,J7xLMCZ0A,#方方#很多精日，精韩，精美，以西方价值观，资本至上的渣渣，那些香蕉人，X独，反D的畜生，他们坚信自己的对的，跟他们论证是完全没有用的，就应该打靶。 ,,,,,2020-06-20,iPhone客户端,0,0,0,方方,
4517862578140739,J7uGBy9Mf,#外交部介绍中印冲突来龙去脉#美国：儿啊，你去挑衅中国。印度：爸爸，我不敢啊！美国：你放心，背后有我！印度：为什么要搞事情啊？美国：一来，能转移你国内矛盾，二来，我也希望中国乱。你放心，我卖装备给你，我赚了钱，你升级了武器，何乐不为？印度：好的爸爸！ ,,,,,2020-06-20,iPhone客户端,0,0,0,外交部介绍中印冲突来龙去脉,
4517149509056061,J7c8uBZTv,#城管棍棒打死宠物狗#“一律捕杀”大人真的好大的官威，不知道是谁赋予你的生死权？有法律法规允许你这样的执法权吗？宠物属于公民财产的一部分，你想杀就杀？今天你说狗不牵绳能捕杀，明天看到别人的牛不牵绳，是不是也可以捕杀拿去祭五脏庙？ ,,,,,2020-06-18,iPhone客户端,0,0,0,城管棍棒打死宠物狗,
4511036729966449,J4D7aFOJb,#周杰伦首个中文社交媒体账号#加入快傻，让自己掉档次了有没有？low。 ,,,,,2020-06-01,iPhone客户端,0,0,0,周杰伦首个中文社交媒体账号,
4510367478728790,J4lHJACKW,#美国骚乱已蔓延20城#星星之火，可以燎原。愿自由民主的圣火点燃美利坚各州。 ,,,,,2020-05-30,iPhone客户端,0,0,0,美国骚乱已蔓延20城,
4508995102117850,J3M0e8SWS,#5000亿资产是什么水平#不对啊，查了一下，亚洲首富是印度的，562亿美元，大概3990亿人民币，第二名，马化腾460亿美元，第三名马云，434亿美元，前八里都看不到赌王的名字，这个赌王怎么会有5000亿人民币？营销号编出来引流的？ ,,,,,2020-05-27,iPhone客户端,0,2,0,5000亿资产是什么水平,
4505517928917216,J2jxSBpM4,#借用民政局厕所被工作人员拒绝#如果借厕所的是肖战，你看看他们借不借？说到底还是看不清老百姓而已！ ,,,,,2020-05-17,iPhone客户端,0,0,0,借用民政局厕所被工作人员拒绝,
4505037253144571,J272Bdc2T,#肖战全球后援会公告#以为他糊了，谁想到这逼越炒越红？一个月31天，有20天上热搜的男人，有一半都是公告，声明。。。。。 ,,,,,2020-05-16,iPhone客户端,0,0,0,肖战全球后援会公告,
4504488755824931,J1SLVorkv,#发布腾讯背水一战作者公众号被封#仔细想想好像很有道理，资本每隔一段时间就造一个顶流艺人出来，然后疯狂收购韭菜。每个顶流艺人背后都有各个资本在当推手，如微博，如艺人公司，如腾讯，大家都是一条产业链的，把肖战捧红，拍电视剧，发歌曲，大家都能赚大钱。捧得越红，大家赚得越多。只要跟娱乐有关的产业，大家都能恰饭。想想一首歌在QQ音乐就销售破亿，腾讯赚疯了。,,,,,2020-05-14,iPhone客户端,0,0,0,发布腾讯背水一战作者公众号被封,
4504270332793674,J1N5DbILg,#肖战再发声#这逼几乎天天上热搜，微博就是他家的 ,,,,,2020-05-13,iPhone客户端,0,0,0,肖战再发声,
4503515743101413,J1tsyd0ON,#原油宝事件有法院明确回复不予立案#确实还做不到人人平等，法律是死的，人是活的。当你足够强大，确实能逍遥法外。 ,,,,,2020-05-11,iPhone客户端,0,0,0,原油宝事件有法院明确回复不予立案,
4503513454286983,J1toRhZeT,#组织学生应援肖战老师被停职#不知道战姐怎么回应这事？ ,,,,,2020-05-11,iPhone客户端,0,0,0,组织学生应援肖战老师被停职,
4500111915275301,J02Uvm8lv,#亚马逊二季度利润将全部用于抗疫#也许是文字游戏。只说用于抗疫，却没说是不是公益的，也许是用来购买抗疫产品再卖出去。拿去研发抗疫产品也是抗疫，研发出来再卖出去。拿去给自家员工/公司购买抗疫产品也是抗疫，这叫肥水不流外人田。说是全部用于抗疫，但是没有说要怎么用，用多少。假如利润200亿，从中只拿几亿出来抗疫，剩下的180亿再慢慢留着，明年再拿几亿出来抗疫，哈哈，也许明年疫情就没有了。这些商人都精明着呢，花小钱赚名声，秒啊。,,,,,2020-05-02,iPhone客户端,0,0,0,亚马逊二季度利润将全部用于抗疫,
4499281174208061,IFEKVhEHX,#全美首例宠物狗感染新冠#奇怪，为什么中国的宠物不会感染？难道是不检测就不会感染？还是就是有，也不会公布的？ ,,,,,2020-04-30,iPhone客户端,0,0,0,全美首例宠物狗感染新冠,
4499006996368136,IFxCHqIDS,#迷你世界全网主动下架#所以报道的这个被抓了没有？ ,,,,,2020-04-29,iPhone客户端,0,0,0,迷你世界全网主动下架,
4498125697930279,IFaHfxh1J,#李国庆用当当公章发公告#这种剧情原来不是电视剧才有的，不知道有没有编剧把他们的事改编成电视剧拍下来 ,,,,,2020-04-27,iPhone客户端,0,0,0,李国庆用当当公章发公告,
