id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4629982376106984,KczYFpCHK,触目惊心，造价低廉的间谍毒药不看不知道一看吓一跳心脏并非偶然骤停 ,,https://wx2.sinaimg.cn/large/007sH8bNly1gpwb5l4sndj30u01uo4bm.jpg,,,2021-04-25,nova7SE 5G你在焦点在,0,0,0,,
4613596296253733,K5HHvqeSF,#中国慢性肾病患者人数超1亿# 医院药房应每天及时收回各科室的10毫升装钾水。严格核对数量，因为钾水必造成肾衰竭。危及生命不可遗失！ ,,,,,2021-03-11,nova7SE 5G你在焦点在,3,0,0,中国慢性肾病患者人数超1亿,
4611043047773260,K4DhmwCba,#心衰病人应严防高钾药品# 高钾会造成肾脏不生产尿，而急性肾衰竭，肾科医生已经证实。而心衰病人又必须排尿，否则造成心脏负担加重甚至死亡！钾从何处来？唯有＜钾水10亳升装〉既便宜又易得，和盐水10毫升装一模一样，盐水广泛应用既配药用，扎置留针封管也用，一旦拿错，便肾衰竭甚至死亡。治疗应请肾科医生会诊，,,,,,2021-03-04,nova7SE 5G你在焦点在,1,0,0,心衰病人应严防高钾药品,
4607155728556039,K309uzTOD,珍贵录音文件被莫名删除的后果就是，删除录音软件！因为你不能保护文件，要你何用！不客气不手软！ ,,,,,2021-02-21,nova7SE 5G你在焦点在,2,0,0,,
4603100717390649,K1iF9v0E1,#A股大涨# 个人认为是迎接🐮年的极致表演，🐮气冲天，封涨停，高高兴兴过🐮年 ,,,,,2021-02-10,nova7SE 5G你在焦点在,1,0,0,A股大涨,
4585601031997232,JzUSb8nzq,由于热水器的型号不一样是不可能做固定的笼子的，所以呢现场做的笼子有的合适可以顺利接热水，有的不合适，暖瓶放不进水龙头，容易卡破瓶口造成烫伤。要一个一个量尺寸才行！ ,,"https://wx1.sinaimg.cn/large/007sH8bNly1glypzmdhf4j32o03k0npf.jpg,https://wx1.sinaimg.cn/large/007sH8bNly1glypzobimgj32o03k0npf.jpg",,,2020-12-24,nova7SE 5G你在焦点在,1,1,0,,
4585257859026429,JzLWFBSbz,#设计不一样# 不比不知道，原来是并非统一样式，而是各楼层之间设计不一样有一棵竖棍，二棵竖棍，之别。高度也不一样哈哈哈哈哈 ,,"https://wx1.sinaimg.cn/large/007sH8bNly1glxmlu8sa3j32o03k07wj.jpg,https://wx1.sinaimg.cn/large/007sH8bNly1glxmlvp60ij32o03k04qr.jpg",,,2020-12-23,nova7SE 5G你在焦点在,0,1,0,设计不一样,
4583555240035778,Jz3Ew09j4,暖瓶高度超过水嘴，怎么接水？安全。 ,,"https://wx1.sinaimg.cn/large/007sH8bNly1gls744b2tkj32o03k0npf.jpg,https://wx2.sinaimg.cn/large/007sH8bNly1gls746344yj32o03k04qr.jpg",,,2020-12-18,nova7SE 5G你在焦点在,0,1,0,,
4582835509794676,JyKVEF62E,带提手的小暖瓶，农村人带来一个，城市中无卖。为什么？这个小暖瓻也克水嘴，不小心也会别破。 ,,https://wx3.sinaimg.cn/large/007sH8bNly1glpwf6za5aj32o03k0e83.jpg,,,2020-12-16,nova7SE 5G你在焦点在,0,0,0,,
4582519591406101,JyCI75TN3,#为什么# 1运动鞋厂家不再生产橡胶底运动鞋？而生产化学发泡底运动鞋？2暧瓶厂家生产的小暧瓶没有提手？拿着累吗？ ,,,,,2020-12-15,nova7SE 5G你在焦点在,0,1,0,为什么,
