id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4630889009251220,KcXyYCOFe,姜云升大概这就是钓系rapper ,,"https://wx4.sinaimg.cn/large/0065qjifgy1gpz7chbp0cj30u01leafi.jpg,https://wx3.sinaimg.cn/large/0065qjifgy1gpz7cigj4vj30u01l4dl2.jpg,https://wx3.sinaimg.cn/large/0065qjifgy1gpz7cj4rebj30go103762.jpg",,,2021-04-28,姜云升超话,7,1,0,,
4630373084958811,KcK8QkO0P,姜云升抽烟了？？？ ,,,,,2021-04-26,姜云升超话,2,1,0,,
4621595786871051,K93NUsPtp,《奇奇怪怪的情绪日记》欧耶！！努力和他搭上话了！！ ,,,,,2021-04-02,nova7Pro你在焦点在,0,0,0,,
4620254602856227,K8uUIbZ2b,今天是我的生日03月30日，来祝福我吧~ ,,,,,2021-03-30,生日动态,0,0,0,,
4619079538968764,K80lrBDbu,姜云升刚刚看了《有点心机又如何》才发现姜老师好多技巧哦！岂可修！太心机了！我好喜欢，他好坏，我好爱 ,,https://wx2.sinaimg.cn/large/0065qjifly1goxj1nxiamj31gi262dy0.jpg,,,2021-03-26,姜云升超话,26,11,0,,
4618924550786591,K7Wjt3iCX,《粥粥厚涂第一课》 ,,https://wx2.sinaimg.cn/large/0065qjifly1gox19gabn0j31kw1kwqv5.jpg,,,2021-03-26,nova7Pro你在焦点在,1,0,0,,
4617605656350098,K7o0dqDWW,姜云升“我爱你” ,,https://wx2.sinaimg.cn/large/0065qjifly1gostslx28fj32dc35sqvl.jpg,,,2021-03-22,姜云升超话,77,35,0,,
4617243553956280,K7eAbgBcY,《粥粥抄袭日记》 ,,https://wx1.sinaimg.cn/large/0065qjifly1goro6hxm7tj30j60qc4hh.jpg,,,2021-03-21,iPhone客户端,1,2,0,,
4615688985248554,K6A8Om1o6,姜云升每日一问，姜云升怎么还不发歌我已经把B站用成音乐APP了想听歌听不到和想吃饭吃不到一样烦躁，好烦啊艹你TM发歌啊MDFUCK（对不起，你想啥时候发就啥时候发） ,,https://wx2.sinaimg.cn/large/0065qjifly1gompna4rnqg307405xtpg.gif,,,2021-03-17,姜云升超话,35,6,0,,
4614759490522336,K6bXD2bSM,姜云升今日补直播收获姜哥：大学中庸了解一下 ,,"https://wx2.sinaimg.cn/large/0065qjifly1gojqwf7uv6j30u01t010m.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gojqwfr0phj30u01t0tj5.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gojqwgas0dj30u01t0dvd.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gojqwgp7kxj30u01t0aq4.jpg",,,2021-03-14,姜云升超话,4,1,0,,
4607162212680024,K30jXbfcc,姜云升 嘿嘿嘿摸一个姜弟！完成procreat首画 ,,https://wx1.sinaimg.cn/large/0065qjifly1gnvibzulruj31kw1kwqsz.jpg,,,2021-02-21,姜云升超话,9,0,0,,
4602096852668144,K0Sy1bc6A,姜云升哈哈哈哈哈哈哈哈哈哈哈哈我觉得挺好笑的，但是我看观众不笑我就开始尴尬了嘤嘤嘤 我可喜欢八卦那段和张雨绮泳池那段了可是没人笑 ,,,,,2021-02-07,姜云升超话,25,15,0,,
4598297560617405,JFfas2AC9,姜云升对不起，我也是笨比我合不成西瓜 ,,,,,2021-01-28,姜云升超话,1,0,0,,
4597704296235719,JEZJzqac7,姜云升我想问问，评论姜哥的微博，然后再回复自己的评论艾特姜哥，是为什么呢？我看到好多人都是这么评论的，这么做有什么特殊的能力吗？会变强吗？ ,,https://wx3.sinaimg.cn/large/0065qjifly1gn1c55ngcgg309p0cl1l7.gif,,,2021-01-26,姜云升超话,10,8,0,,
4596517224326785,JEuQWi9AR,姜云升昨天小姜生气了我可高兴了，做了一个mp3内容是“气死我了气死我了气死我了，皮卡皮”我不知道咋分享想要的车车嘤嘤嘤然后我发给你呀 ,,,,,2021-01-23,姜云升超话,352,458,2,,
4596312459184696,JEpwFCxmg,姜云升绿洲们！！姜哥今晚讲的《论皮卡丘的存在与否》我感觉和史铁生的《病隙碎笔》里面的部分有异曲同工之妙！！（疯狂使用成语来显得自己很绿洲） ,,"https://wx1.sinaimg.cn/large/0065qjifly1gmww91zgcjj32o03k0e83.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmww94eks2j32o03k0e83.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmww96fiaaj33k02o0u0y.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gmww9cfnrxj33k02o07wj.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gmww9eqznij32o03k07wj.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gmww9fazy9j308c08cwel.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gmww9fwinog306o05yx04.gif,https://wx4.sinaimg.cn/large/0065qjifly1gmww9geos2j30u00u0q7z.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmww9gtdabj30u00u079e.jpg",,,2021-01-22,姜云升超话,25,15,0,,
4596297984643726,JEp9kju2O,姜云升呜呜呜呜呜姜云升这个麻瓜侮辱我霍格沃茨莘莘学子 ,,,,,2021-01-22,姜云升超话,19,15,0,,
4596291986527235,JEoZEro1Z,姜云升姜哥之前说和女朋友要算清楚，精细到每一只皮卡丘是谁的，姜哥现在说可以把所有皮卡丘都给他孩子总结：我想做姜哥孩子！姜爸爸！！！爸爸！！ ,,"https://wx1.sinaimg.cn/large/0065qjifly1gmwty85uysj30kd0ku75r.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gmwty8gqv2j30d20g2wf6.jpg",,,2021-01-22,姜云升超话,13,3,0,,
4596242666231567,JEnI6q979,姜云升姜哥，和我们要个孩子不？不然开个直播也行，一起吃瓜啊 ,,https://wx2.sinaimg.cn/large/0065qjifly1gmwoagl6cmj30e40pyq55.jpg,,,2021-01-22,姜云升超话,10,5,0,,
4595777831452225,JEbCn65MZ,姜云升震惊！！！知名rapper竟因这种原因连续几天不直播！！刚刚才收的图，热乎乎的，送给你们暖暖手 ,,"https://wx4.sinaimg.cn/large/0065qjifly1gmv6togzmhj30u01t0qo9.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmv6twr2odj34tc37kb2e.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmv6u0g7euj34qn35re86.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gmv6u1b310j30u01hbafp.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmv6u3qeimj335r4qnnpf.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmv6u7961jj337k4tcqv7.jpg",,,2021-01-21,姜云升超话,9,2,0,,
4595601624538366,JE72aj2Ds,姜云升其实什么粉圈哈圈，最重要的是自我约束力。人要有强大的自我管理意识。姜哥说过这是人和动物的区别（姜哥：我没有）你可以有饭圈话的行为：叫哥哥，叫老公，不愿意他谈恋爱（反正你也管不着），买周边，做手幅灯牌（不能挡住他人看演出不然叉出去，这也是自我管理意识的一部分）但是你不可以控评，我们要允许他们发言，允许他人不喜欢姜哥，因为自我管理不是管理别人（点题，真漂亮！）不可以发表恶臭言论（具体是啥咱也不知道，咱也没发表过）不可以到处KY。你也可以是哈圈粉丝，关注作品关注专辑关注巡演，但是你不可以看不起饭圈粉丝（做人少点优越感）自认为高人一等。简单点来说：【管好你自己】谨记人生格言：关你屁事，关我屁事,,"https://wx1.sinaimg.cn/large/0065qjifly1gmumnn8nfdj30u00u0q7s.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gmumnonpocj30u00u0afc.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmumnoy7rtj30u00u043d.jpg",,,2021-01-21,姜云升超话,208,82,2,,
4595557052714211,JE5Shbo5B,姜云升【寻视频启示】某一个小姜的直播录屏走失，走失时间未知，走失地点为姜云升超话，内容大致概括如下姜云升：“我给你们学皮卡丘叫，皮卡皮皮卡皮，学胖丁叫…（学了好多动物叫），然后我再来学你们叫：啊啊啊啊吴亦凡好帅，TT好帅！！啊啊啊”我愿意将这个视频称为《小姜吃醋》（送上新收的图作为交换）,,"https://wx3.sinaimg.cn/large/0065qjifly1gmuhj8a9p0g30g00lc7x3.gif,https://wx2.sinaimg.cn/large/0065qjifly1gmuhjkgmngg30h20h2qvp.gif,https://wx2.sinaimg.cn/large/0065qjifly1gmuhjqi22lg30bb0kq1l5.gif",,,2021-01-20,姜云升超话,22,11,0,,
4594853763881158,JDNzWghFk,姜云升明天考德语，要是考好了就奖励自己一套退堂鼓艺术家提问：我想问一下车车们，你们会有get小姜同款的欲望吗？如果有那种贵贵的同款，会有那种努力攒钱然后等到钱够了，自己又做了一件很棒的事情之后把同款作为奖品送给自己的想法吗？ ,,"https://wx3.sinaimg.cn/large/0065qjifly1gms8rj045pg30a90hzhdv.gif,https://wx4.sinaimg.cn/large/0065qjifly1gms8rjov7uj30u00u0wj9.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gms8rk3x9nj30u00ypn55.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gms8rkd24kj30zk0npq4w.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gms8rkvf1fj30u0177abr.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gms8rl71uwj30u016ujt3.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gms8rlsb3fj30ta0ukwmr.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gms8rmclppj30ak0ijakz.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gms8rpi2tmg30bt0ee7wk.gif",,,2021-01-18,姜云升超话,48,81,0,,
4594500557606882,JDEofvUTE,姜云升我知道那边的不是小姜，可是好像啊，同样能给我力量耶真的没有姜哥的技术支持吗你这只披着虎皮的冰河世纪小松鼠 ,,"https://wx1.sinaimg.cn/large/0065qjifly1gmr45fcxefj30u01t0h69.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gmr470h431j30ak0ijakz.jpg",,,2021-01-17,姜云升超话,3,2,0,,
4594422178384741,JDClPzbfL,姜云升看得我眼泪都掉下来了，说这种话的人真的是粉丝吗？他之前说要报销机酒车费的时候我就心疼得要死，这种话都说得出来的人没有心吧？不是你的宝贝你不心疼的吗？我现在心情真的是难过大于生气的，打字的时候眼泪就一直掉。他都做到要免费办演出的份上了为什么还有人不知足。难受死我了呜呜 ,,https://wx4.sinaimg.cn/large/0065qjifly1gmqv2zmadvj30n01dstdj.jpg,,,2021-01-17,姜云升超话,18,6,0,,
4593717195579596,JDk0Lnpvu,姜云升重庆女孩子表示对“乖乖”两个字没得抵抗力，心动暴击，我要和AI谈恋爱了，别拦我 ,,"https://wx4.sinaimg.cn/large/0065qjifly1gmom7u843sj30u00gvq4e.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gmom7un46dj30mr091jru.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gmom7v0a86j309005r74c.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gmom8sritpg30bt0hhb2d.gif",,,2021-01-15,姜云升超话,7,7,0,,
4593709394172492,JDjObhvsg,姜云升大家有点惨，呼噜呼噜毛插个过时题外话哈哈哈哈哈哈哈哈哈哈哈哈这位就很含蓄，好像什么都没说，但我好像又知道了什么 ,,https://wx3.sinaimg.cn/large/0065qjifly1gmolanl1w1j30u01t04b9.jpg,,,2021-01-15,姜云升超话,28,11,0,,
4587110034575239,JAy83jceb,姜云升我我我我有钱了就买好看的贴纸争取给你搞好看一点点嘤嘤嘤 ,,"https://wx3.sinaimg.cn/large/0065qjifly1gm3je9osl5j32o03k0x6r.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gm3jeaz816j33k02o0hdu.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gm3jecl4o2j32o03k07wj.jpg",,,2020-12-28,姜云升超话,8,12,0,,
4587037485433483,JAwf2mNuP,姜云升和你相遇在冬天 ,,"https://wx1.sinaimg.cn/large/0065qjifly1gm3b3049b0j30u01t04qp.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gm3b331x0cj30u01t0qnj.jpg,https://wx3.sinaimg.cn/large/0065qjifly1gm3b38o64sj33343341kx.jpg",,,2020-12-28,姜云升超话,1,0,0,,
4586761843388371,JAp4sedt9,姜云升今日份手机锁屏我的喜欢就是很浅显，浅显到身边人都知道我喜欢谁。 ,,"https://wx3.sinaimg.cn/large/0065qjifly1gm2feeqybhj30u01t01kx.jpg,https://wx1.sinaimg.cn/large/0065qjifly1gm2fegdaqxj30u01t07wh.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gm2fegwqocj30u01t04qp.jpg,https://wx4.sinaimg.cn/large/0065qjifly1gm2fehcyomj30u01t01kx.jpg,https://wx2.sinaimg.cn/large/0065qjifly1gm2fehzs4lj30u01t0wix.jpg",,,2020-12-27,姜云升超话,15,11,0,,
4586177481146881,JA9RW4Om5,姜云升姜云升今晚直播言论都是本人行为，请勿上升粉丝。 ,,https://wx3.sinaimg.cn/large/0065qjifly1gm0kbhzagqj30tz0twwg8.jpg,,,2020-12-26,姜云升超话,19,8,0,,
4585411777931056,JzPWVxheg,姜云升终于还是到了今天，我们变成了熟悉的陌生人。我选择在今天和姜云升表白，我不想再继续这样默默的喜欢他了。不敢当面和他说，于是我微信联系了他，我告诉他我有多喜欢他，喜欢他的虚弱和拽，喜欢他和我认真讲道理的样子。到最后，我问他“我想和你在一起，可以给我这个机会吗？”他只是沉默，最后还是笑了，一如往常的纵容，但说出的话没一个字是我爱听的“无机会。”好嘛，无机会…阿弥陀佛，无量天尊，道长说得都对，保佑我明天无机会，无机考试该知道的都知道，不知道的也让我知道知道。,,"https://wx4.sinaimg.cn/large/0065qjifly1gly4de7715g30c20d1npf.gif,https://wx4.sinaimg.cn/large/0065qjifly1gly4dhq41pj30u00gfdha.jpg",,,2020-12-23,姜云升超话,6,2,0,,
4584595263071248,JzuHYcSYg,姜云升姜哥恋爱观和我好合适哦，咱俩走一个不 ,,https://wx3.sinaimg.cn/large/0065qjifly1glvil7a9pwj30rc0rcahg.jpg,,,2020-12-21,姜云升超话,6,2,0,,
