id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4542286199004350,JhK3xBMrs,唉，外强中干啊！ ,,,,,2020-08-26,荣耀V10 我AI的快,0,0,0,,
4535164014693875,JeKM9jH5F,呵呵，不是我地域黑，是真的在我们这里犯罪的基本都有贵州人…… 金华·浦江县 ,,https://wx3.sinaimg.cn/large/006BKewkly1ghhtgizb0rj30rc236qar.jpg,,金华·浦江县,2020-08-07,荣耀V10 我AI的快,0,3,0,,
4534362903939622,JepW2gwSi,果然，这很“我” ,,https://wx4.sinaimg.cn/large/006BKewkly1ghf9hhx5i9j30u01b2tav.jpg,,,2020-08-05,荣耀V10 我AI的快,0,0,0,,
4533981808173325,Jeg1myifP,垃圾考研村#考研村#杭州·考研村 ,,,,杭州·考研村,2020-08-03,荣耀V10 我AI的快,1,3,0,考研村,
4516538965835104,J6WfKotYA,手机随拍《无题》～…… 衢州·衢州学院 ,,"https://wx4.sinaimg.cn/large/006BKewkly1gfuefir32gj30u01bw483.jpg,https://wx2.sinaimg.cn/large/006BKewkly1gfuefjzw5kj30wf0u0dp0.jpg",,衢州·衢州学院,2020-06-16,荣耀V10 我AI的快,2,0,0,,
4516221225261116,J6NZgm4EI,就这样吧…… 衢州·衢州学院 守望者4500x的微博视频 ,,,"https://f.video.weibocdn.com/0039hr2agx07E5S6Nwmc010412005qxQ0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=721584770189073627c6ee9d880087b3&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620511693&ssig=o47HMKUUSo&KID=unistore,video",衢州·衢州学院,2020-06-15,荣耀V10 我AI的快,1,1,0,,
4514201513826750,J5XrFg3vM,#新冠肺炎##疫情##钟南山称需警惕第二波疫情暴发#隔离区2：终点站         刚刚看了一部美国电影《隔离区：终点站》。男主（反派）与小男孩的对白似乎让我意识到了什么。像这样的美国电影中，一些语录的思想貌似就是他们未来所可能付诸实践的预知与理论推测（预知未来）。就今年法发生的大事件新冠肺炎疫情来，我也总是怀疑是美国人用来对付中国人（黄种人）的武器，当时有别人就对我提出你这是阴谋论，或许当时想想的确是这么一回事，但是之后的情况来看，美国可能又扮演了和片中“反派”一样的角色，也就是在宣传“灭霸思想；而到了现在呢，事情的真相依旧模糊，充满重重疑点。其实所谓的真相与假相之间有时候就隔了一层纱，真相有时候可能反倒是一滩混浊的水，而假相也有可能是看似导致水混浊实际上根本没有关系，甚至能够在无形中提升水质的物质。于是我想这种病毒就算不是人为而是自然的，大家自己心里也应该也有点清楚，或者说你们应该也能感受到，地球正在悄悄地、慢慢地、想方设法地报复、清除我们。地球大自然就是这样，其实就像人一样，你怎么对待它。你爱护它，那么它也会尊重你；你伤害它，它也会向你展开报复。所以还是建议大家秉持自己的高素质与觉悟，做个文明人，尽自己的最大努力保护好我们赖以生存的环境，因为毫不客气地说，你也不知道不久的将来到底会发生些什么，所以做个好人，做些好事，珍惜自己的生命，珍惜你身边所爱的人，珍惜现在能与他们度过的每一天。         同时也建议胆子太小的人别看这部电影。                                            —Fxx 2020.6.9,,"https://wx4.sinaimg.cn/large/006BKewkly1gfmxxpxqqej31400u00vo.jpg,https://wx3.sinaimg.cn/large/006BKewkly1gfmxxqvfsqj31400u0n06.jpg,https://wx3.sinaimg.cn/large/006BKewkly1gfmxxros2yj31400u0q66.jpg,https://wx4.sinaimg.cn/large/006BKewkly1gfmxxt4qg5j31400u077f.jpg,https://wx2.sinaimg.cn/large/006BKewkly1gfmxxvtonhj31400u0mzt.jpg,https://wx4.sinaimg.cn/large/006BKewkly1gfmxxwoi9gj31400u00vs.jpg,https://wx2.sinaimg.cn/large/006BKewkly1gfmxxxqe6sj31400u0goh.jpg,https://wx2.sinaimg.cn/large/006BKewkly1gfmxxymovtj31400u0tb7.jpg",,,2020-06-10,荣耀V10 我AI的快,0,0,0,"新冠肺炎,疫情,钟南山称需警惕第二波疫情暴发",
4506580115461364,J2Lb5mUKw,#漫威##恶灵骑士##混剪##超级英雄# 守望者4500x的微博视频 ,,,"https://f.video.weibocdn.com/002R6n6Wgx07Dpr3yYPm01041201s8XL0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=721584770189073627c6ee9d880087b3&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620511694&ssig=hg3frgzFu2&KID=unistore,video",,2020-05-20,荣耀V10 我AI的快,0,0,0,"漫威,恶灵骑士,混剪,超级英雄",
4505712711330398,J2oC35A62,#钟南山称需警惕第二波疫情暴发##浙江高校85万大学生聚集开学#  千万别在学校里出现“定时炸弹”，祝你们好运吧！ ,,,,,2020-05-17,荣耀V10 我AI的快,2,2,0,"钟南山称需警惕第二波疫情暴发,浙江高校85万大学生聚集开学",
4504919538703211,J23YJAw6n,#浙江多地遭遇冰雹# 这种情形让我想起了电影《后天》 ,,"https://wx3.sinaimg.cn/large/006BKewkly1getbyjxq2kj30om1hcn47.jpg,https://wx2.sinaimg.cn/large/006BKewkly1getbykfe9oj30m80go0un.jpg,https://wx4.sinaimg.cn/large/006BKewkly1getbykuquyj30u00vydjx.jpg",,,2020-05-15,荣耀V10 我AI的快,0,1,0,浙江多地遭遇冰雹,
