id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634583431121273,KevFJ4HH3,真的很讨厌上来就问你在吗？哈喽！hi！～你说你有事就说事呗！非要等人家回了再说！ 在我看来这就是陷阱，回复了之后不是找你借钱就是找你帮忙要么就是把你当做垃圾桶想你吐槽！这时候你还不得不给他答复！🙃而且认识连一周都不到，跟你又不熟！三天两头找我一次，帮了你忙也不说谢谢，当我是应该的！神烦！,,https://wx1.sinaimg.cn/large/007IYs1Gly1gqazhuhogsj30u01sy7aj.jpg,,,2021-05-08,iPhone客户端,0,1,0,,
4629705104556380,KcsLsj7k0,真的不明白为什么法定双休还要设置补班这回事，平常法定3天假 还要周末给补回来，那算什么法定啊…… 跟没放假有什么区别……剥夺双休的日子真不好受，一想到明天还要上班我又失眠了……真的不适应只休一天 ,,,,,2021-04-25,iPhone客户端,0,0,0,,
4628776840857527,Kc4Cg3B55,加油啊💪小公主！ ,,,,,2021-04-22,iPhone客户端,0,0,0,,
4623728769761551,K9XicEXqn,真的，你需要跟着自己的感觉走，无论是感情还是生活，你的大脑已经在产生排斥反应，就说明中间是有问题存在的，你要对自己足以信任，不要动摇！遇到事情考虑清楚，坚定自己的初心，同时也要相信自己会做到的！给自己打打气！小公主呀！振作起来！ ,,,,,2021-04-08,iPhone客户端,1,0,0,,
4623444580244335,K9PTQ11yT,遇到事情冷静，莫激动 ,,,,,2021-04-07,iPhone客户端,0,0,0,,
4622739749470910,K9xz0DJOC,房塌了我就说嘛，这个人有问题正常来讲当一个人喜欢你，他一旦有空就会联系你！绝不会断断续续的想起来才找你！没过多久，让我看到了真相，虽然也隔了半年多了，但尼玛也太快了…本来印象挺好的，现在感觉房子塌了……幸好当时我带着疑惑没有 ...全文,,,,,2021-04-05,iPhone客户端,0,0,0,,
4618314712090150,K7GrR8LK6,突然感慨脸好贵，挣得钱都贴脸上了 ,,,,,2021-03-24,iPhone客户端,0,0,0,,
4617986684229037,K7xUMhKah,事实证明，人类这个生物是很喜欢犯贱的！你对他越好他越蹬鼻子上脸！无论是友情还是爱情还是还是同事！你表现出的责任心、你的好，对他们来讲就是应该的，他们毫不客气！那双手只会越伸越长！ ,,,,,2021-03-23,iPhone客户端,0,0,0,,
4613153542113072,K5wbo8RHO,这个候选人真烦！ ,,,,,2021-03-10,iPhone客户端,0,0,0,,
4612418774239002,K5d4hhML0,在另一个世界的我还在读初中，我有一个朋友，她是个恋爱脑，被甩了之后整天想着怎么去找对方复合，我劝她不要去想了因为对方真的不怎么样，但她依然坚持，其他朋友也鼓励她去复合，只有我不建议。然后当天快到上晚课的时候我发现她不见了，其他朋友也不见了，只听见远处男生宿舍那有好多人围在一起吆喝，这时候外面还在下雨，我拿起伞过去探究竟，结果到了之后发现，人群中那个焦点就是我的这个朋友，她手举着纸牌，上面写着：我们复合吧！我看她红红的眼睛，泪水跟雨水混在一起，也看到了其他朋友也在现场，虽说是支持但也没有帮她一起吆喝，我看到这里真的好想帮她，但又知道她为什么叫了其他朋友而不叫我的原因，我只能旁边百般无奈，不一会这个男人下来了，第一次遇见他男友的我吓到了，这个男人的身材跟我这个朋友一样，身高将近2米多，人高马大还很壮硕，这个男人来到我朋友面前，上来就是一巴掌，说了句：想以后跟着我必须听我的话，明白？我朋友点了点头，貌似再说：只要你跟我复合，我做什么都愿意… 在人群中这么显眼的两个大高个，被打的还是我朋友，真的感觉好伤自尊，好心疼她的卑微…我看到这里又伤心又觉得她卑微，我就回教室了，我想可能是因为她的身高和粗壮长相特别像个男孩子，而且还留短发，所以找对象很难，况且还是第一次谈恋爱，她很努力、认真！再后来我的这些朋友自然而然跟她站成了一对，我只有自己，后来放寒假我回家了，找了闺蜜玩，闺蜜最近状态很好，跟我聊了很多，这时候我也挺孤单的，我的男朋友没有怎么联系我，我深深的感觉到我们的关系已经平淡到快要分手了，后来寒假结束，我收拾起行李赶往学校，回到教室后，那时候我的朋友就是一些普通朋友，他们还是很拥护我的，有一天体育课，我跟她男友不知道因为什么起了争执，引起了一场男女生大战，说要求比赛玩棒球，然后我找来了十几个女生跟我一组，他那边一帮男生小弟，但让我寒心的事，我那个朋友明知道自己是女同胞，结果还是选择跟她男友一队，剩下的朋友选择中立.可能这一举动也让我的这些朋友寒心了，后来我们初赛落后了，我也有点灰心，毕竟真的搞不过男生组，后来到了中午吃饭的时候，我跑到小卖部买面包，当时有2个面包，我随便拿了一个问了下这个什么时候到期，老板说今天，我说另一个呢？她说还有6天到期，我正准备拿另一个，这时候旁边一个男的听到这个是新鲜日期立马给拿走了，我跟他吵了架把新鲜日期的面包夺回来了，然后来到了教室吃饭，这时候外面来个卖菠萝的妇女，嘴里吆喝着：菠萝节到了，妇女的菠萝节～这个节日里吃这个最好！我知道菠萝节意味着什么，意味着女性的地位卑微，意味着要伺候好男性的使命。我看到这里再想想我的朋友们，心里一直在落泪和哭泣，当然也有人过来安慰我，这时候我那2个好朋友出现了，带着行李过来问我说：姣姣，你跟不跟我们走？我说去哪？她说我们一起转学！去另一个城市读书！她说她们在这里呆不下去了，这个大高个朋友的做法令她们寒心，也感受到了男女不公平待遇，我说什么时候走？她说今天下午，问我要不要一起，不一起她们就走了，，她们一开始说去一个小县城，我很犹豫，但她们改口说要去北京读书，我二话不说立马去收拾行李了然后坐我旁边吃的这个女生问我：那你男朋友呢？你不想想他么？我说：他已经不重要了…我很帅气的回答…,,,,,2021-03-08,iPhone客户端,0,0,0,,
4606285301420039,K2DvA5XpR,当关系确认下来，一个男生对女朋友好是基本的，这个好就是关心你、照顾你，不是一个男朋友应该做的吗？当他做不到，因为鸡毛蒜皮的事跟你斤斤计较，说明这个男生不可以选🙅♂️！他更喜欢追求新鲜感、一段时间的爱情刺激！长久下来他会越来越失去兴趣，就像玩一款游戏，刚开始玩很入迷，玩太多次了 ...全文,,,,,2021-02-19,iPhone客户端,0,0,0,,
4605892089362014,K2thmDhue,不喜欢你的人，你发什么他都觉得是在看笑话，稍微说你点不好，他心里更加记仇，所以，上赶子当舔狗有什么意思呢 ,,"https://wx4.sinaimg.cn/large/007IYs1Gly1gnrghddsmnj30u01szu0x.jpg,https://wx2.sinaimg.cn/large/007IYs1Gly1gnrghfhq5pj30u01sze82.jpg,https://wx1.sinaimg.cn/large/007IYs1Gly1gnrghgjz9vj30u01szb29.jpg,https://wx1.sinaimg.cn/large/007IYs1Gly1gnrghhq79yj30u01szkjl.jpg,https://wx3.sinaimg.cn/large/007IYs1Gly1gnrghorcylj30u01szhe1.jpg,https://wx1.sinaimg.cn/large/007IYs1Gly1gnrghqe96kj30u01sz4qq.jpg,https://wx2.sinaimg.cn/large/007IYs1Gly1gnrghsiog4j30u01sznpd.jpg,https://wx4.sinaimg.cn/large/007IYs1Gly1gnrghbbxjsj30u01sz1ky.jpg",,,2021-02-18,iPhone客户端,0,0,0,,
4605891325987888,K2tg8p7IQ,现在电话里说几句不乐意就烦，就和别人生气，说几句就要挂电话，这怎么处？？他不希望你联系！这种人还是分吧 ,,,,,2021-02-18,iPhone客户端,0,1,0,,
4605682358160547,K2nP5yeVJ,我真的不能再懒下去了，在家什么都不做，长这么大回来应该做点什么了，她也是容易受别人欺负的人，不管真相如何，她活在属于她的世界里，开心就行，年纪这么大了真的不能让她去改变什么了，外面男人气你的，你不能学来气她，多爱她，她才是真正关心你、爱你的人 ,,,,,2021-02-17,iPhone客户端,0,0,0,,
4605681590084927,K2nNR0m5N,有点心疼妈妈，不应该让她当这个坏人，是我反应慢了，后悔… ,,,,,2021-02-17,iPhone客户端,0,1,0,,
4602909976691555,K1dHvs4Mj,#集福牛开福运# 开年惊喜~我收到了 @让红包飞 送我的#平安就牛#福牛卡，离除夕分1亿的小目标又进了一步！集齐6种福牛卡，除夕分1亿，最高能赢2021元！收集新年好福运吧！#让红包飞# 快戳>> 新春集福牛 ,,,,,2021-02-10,红包活动,0,0,0,"集福牛开福运,平安就牛,让红包飞",让红包飞
4601591560155590,K0Fp20Etw,翻转福牛卡，马上有红包！我刚刚获得了 @让红包飞 送出的【0.15元】和理财投资课程VIP体验月卡。#集福牛开福运# 除夕还能瓜分1亿现金！你也快来领取福牛卡，翻转试试手气吧~好运入口>> 新春集福牛 ,,,,,2021-02-06,红包活动,0,0,0,集福牛开福运,让红包飞
4601591555955323,K0Fp1oZfB,#集福牛开福运# 开年惊喜~我收到了 @让红包飞 送我的#强壮如牛#福牛卡，离除夕分1亿的小目标又进了一步！集齐6种福牛卡，除夕分1亿，最高能赢2021元！收集新年好福运吧！#让红包飞# 快戳>> 新春集福牛 ,,,,,2021-02-06,红包活动,0,0,0,"集福牛开福运,强壮如牛,让红包飞",让红包飞
4600859651220293,K0mmx57s9,跟我说什么我在家上班，他在公司都快累死了！你觉得心里不平衡跟我有什么关系？你有能耐的话来我们公司做交付啊！！还不是没能耐！自己没能耐还怪在我头上！ ,,,,,2021-02-04,iPhone客户端,0,0,0,,
4599916464964049,JFVhAkPnj,#集福牛开福运# 开年惊喜~我收到了 @让红包飞 送我的#桃花好牛#福牛卡，离除夕分1亿的小目标又进了一步！集齐6种福牛卡，除夕分1亿，最高能赢2021元！收集新年好福运吧！#让红包飞# 快戳>> 新春集福牛 ,,,,,2021-02-01,红包活动,0,0,0,"集福牛开福运,桃花好牛,让红包飞",让红包飞
