id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4612152227530974,K568mvB9k,我就搞不懂了地铁上、超市里有人为什么要摘口罩打喷嚏？戴口罩就是阻止某个感染病毒的人打出来的喷嚏以及可能含有的病毒传染给他人。有些人甚至更过分，不仅摘口罩打喷嚏，还用手去捂，捂完就在食品、把手等他能摸到的地方摸个遍 成都 ,,,,成都,2021-03-07,荣耀V10 我AI的快,0,0,0,,
4610277038101574,K4jlRxZAy,开动脑筋想一想『你的创意，价值100万赏金！』网页链接 ,,,,,2021-03-02,荣耀V10 我AI的快,0,0,0,,
4603537466864283,K1u1AsNIf,#集福牛开福运# 福运正当头，牛年我最牛！我在福运红包中开出了 @让红包飞 送出的【2.18元】红包，新年好运连连~祝大家福气倍牛，牛气冲天！#让红包飞# 快来赞我，沾沾福气呀>>  网页链接 ,,,,,2021-02-11,红包活动,0,0,0,"集福牛开福运,让红包飞",让红包飞
4598345362047837,JFgpy8AJD,翻转福牛卡，马上有红包！我刚刚获得了 @让红包飞 送出的【0.03元】和每月2个腾讯会员礼包。#集福牛开福运# 除夕还能瓜分1亿现金！你也快来领取福牛卡，翻转试试手气吧~好运入口>> 新春集福牛 ,,,,,2021-01-28,红包活动,0,0,0,集福牛开福运,让红包飞
4580234781270671,JxFgW5kyH,给大家科普一下：疫情当前，戴口罩是为了防止病毒的飞沫传播，然而有些人咳嗽的时候把口罩摘了打喷嚏，这是不对的，依然会把含有病毒的飞沫传染给别人。正确的做法是：戴着口罩打喷嚏，打完喷嚏后到人少的地方把口罩替换掉。这样既能防止把病毒传染给别人，又能体现出自己的素质。 成都·杜甫草堂 ,,,,成都·杜甫草堂,2020-12-09,荣耀V10 我AI的快,0,0,0,,
4580186290389644,JxE0J1DmA,这种极简风格的广告既幽默又显眼的广告太容易吸引眼球了#成都地铁广告# 成都·青羊宫 ,,"https://wx3.sinaimg.cn/large/008cmHTygy1glhg6ktywbj33k02o0npf.jpg,https://wx4.sinaimg.cn/large/008cmHTygy1glhg6u65y4j33k02o0e84.jpg",,成都·青羊宫,2020-12-09,荣耀V10 我AI的快,1,0,0,成都地铁广告,
4565751426451667,JrAuGr4n9,给大家分享一个今天的检测案例吧。这个客户刚装修完才两个月，今天检测完甲醛数值很低，屋内的异味也几乎没有。主要的原因有以下三点：1.家具几乎都为实木；2.家具表面几乎没有刷花里胡哨的油漆；3.没有贴花里胡哨的墙纸、墙布。再小声说一句：新房入住之前最好先检测，甲醛达标再入住！ 成都·大石东路7号院,,"https://wx3.sinaimg.cn/large/008cmHTygy1gk7ecudejzj32o03k04qs.jpg,https://wx4.sinaimg.cn/large/008cmHTygy1gk7ed3hc1fj32o03k0hdw.jpg,https://wx2.sinaimg.cn/large/008cmHTygy1gk7ed919n0j32o03k0u10.jpg,https://wx1.sinaimg.cn/large/008cmHTygy1gk7edd8pyuj32o03k0b2c.jpg,https://wx4.sinaimg.cn/large/008cmHTygy1gk7ede0pzaj31kw23wtd6.jpg",,成都·大石东路7号院,2020-10-30,荣耀V10 我AI的快,1,1,0,,
4563881982959218,JqNRscpPk,住前测一测，安心又安全大周末的辛苦我们的检测师傅了 成都·碧桂园·悦府 ,,"https://wx2.sinaimg.cn/large/008cmHTygy1gk1fotrengj32o03k0u0z.jpg,https://wx4.sinaimg.cn/large/008cmHTygy1gk1foxhbn4j32o03k0e84.jpg,https://wx3.sinaimg.cn/large/008cmHTygy1gk1fp1nvvzj32o03k0hdw.jpg,https://wx3.sinaimg.cn/large/008cmHTygy1gk1fp5ivthj32o03k0u10.jpg,https://wx4.sinaimg.cn/large/008cmHTygy1gk1fp91gt6j32o03k0e84.jpg,https://wx2.sinaimg.cn/large/008cmHTygy1gk1fp9wj2ej31kw23wtd6.jpg",,成都·碧桂园·悦府,2020-10-25,荣耀V10 我AI的快,0,0,0,,
4563574221186805,JqFR44YK1,这种几乎没有家具的检测其实应该尽量避免！虽然检测合格了，但是几乎没有意义，因为甲醛主要存在于木制家具、床垫等使用了胶粘剂的物品中。敲黑板！！！做甲醛检测的几个时间点：装修完家具进场之后做第一次检测（检测家具是否环保）、入住之前一两个月做第二次检测（检测是否适合入住） 成都·红瓦安置小区二期,,"https://wx1.sinaimg.cn/large/008cmHTygy1gk0g5yaxnhj32o03k0b2b.jpg,https://wx2.sinaimg.cn/large/008cmHTygy1gk0g657iiej32o03k01l0.jpg,https://wx1.sinaimg.cn/large/008cmHTygy1gk0g6as69sj32o03k0u0z.jpg,https://wx3.sinaimg.cn/large/008cmHTygy1gk0g6blchyj31kw23wtd6.jpg",,成都·红瓦安置小区二期,2020-10-24,荣耀V10 我AI的快,0,0,0,,
4563515912751125,JqEl1bxGZ,该客户是装修后通风一年才入住的，今天做了检测，完全达标！（小声说一句：最好在入住前检测，检测合格后再搬进去。健康无小事！） 成都·元益花园 ,,"https://wx1.sinaimg.cn/large/008cmHTygy1gk09nywanpj32o03k0e83.jpg,https://wx2.sinaimg.cn/large/008cmHTygy1gk09o3f3obj32o03k0x6q.jpg,https://wx2.sinaimg.cn/large/008cmHTygy1gk09o9ee5fj32o03k0npf.jpg,https://wx3.sinaimg.cn/large/008cmHTygy1gk09oajq86j31kw23wtd6.jpg",,成都·元益花园,2020-10-24,荣耀V10 我AI的快,0,0,0,,
