id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634677178533628,Key6VzNZa,没有刀没有勺子，我只能这样啃了 ,,https://wx2.sinaimg.cn/large/006HOKk8ly1gqbafflc1tj32tc240b2a.jpg,,,2021-05-08,HUAWEI Mate 30,0,0,0,,
4633480259176487,Ke2YpCvdR,师姐北京市考轻松上岸，太牛了，时刻感觉自己是个废物 ,,https://wx4.sinaimg.cn/large/006HOKk8ly1gq7gxo6myxj30u01t0q9p.jpg,,,2021-05-05,HUAWEI Mate 30,0,1,0,,
4632098537997583,Kdt1Pxyxh, 北京·北京地坛公园 ,,"https://wx3.sinaimg.cn/large/006HOKk8ly1gq329g5mtjj30u01407hs.jpg,https://wx3.sinaimg.cn/large/006HOKk8ly1gq329h10zxj31400u0q75.jpg,https://wx1.sinaimg.cn/large/006HOKk8ly1gq329hgdrpj30u014076n.jpg",,北京·北京地坛公园,2021-05-01,HUAWEI Mate 30,0,0,0,,
4631995742685823,Kdqm2bgHJ,楼层大早上停水，然后坑坑堆满，还有一个坑正在加工 ,,,,,2021-05-01,HUAWEI Mate 30,0,0,0,,
4629961215836369,KczqxouiZ,分享一个成功励志人士：本科直系学长，专业第一，国奖获得者，保研北交建筑学，参与过他主持的大创，性格特别好；大一就谈的女朋友，经管院，保研对外经贸，去年就拿到荷兰鹿特丹offer。学长为了跟他女朋友一起，考雅思考了三年，最终才拿到了6.5，而且只报了荷兰的学校，今年三月顺利拿到Tud的offer。 ,,,,,2021-04-25,HUAWEI Mate 30,0,0,0,,
4629684585758928,Kcsemoa9W,E dmund 七七 961019 ,,,,,2021-04-25,HUAWEI Mate 30,0,0,0,,
4629635826714112,KcqXIsaE8,分享图片 北京·五道口 ,,"https://wx1.sinaimg.cn/large/006HOKk8ly1gpv7fisvjmj33k02o0kjm.jpg,https://wx3.sinaimg.cn/large/006HOKk8ly1gpv7fjnfs3j32402tce82.jpg",,北京·五道口,2021-04-24,HUAWEI Mate 30,0,0,0,,
4629090365869301,KccLWoCS9,去春招逛了下，原来北京户口这么好拿，都写着有大量户口，但是好像基本没什么同学要的，买不起房要户口干哈 ,,,,,2021-04-23,HUAWEI Mate 30,0,2,0,,
4628764351269049,Kc4i75k8x,在去食堂的路上，碰到一漂亮小姐姐突然来问我：同学，你是不是去食堂吃饭，食堂在哪啊。我：嗯，小：我跟着你一起去，快到食堂了我：你是学生吗？小：不是，你不要问了，我看着很年轻吗，其实我是老师，我心里想：你是老师，你在这跟我扯食堂在哪 ,,,,,2021-04-22,HUAWEI Mate 30,0,0,0,,
4628469474135060,KbWCvhlIw,第二针戳完 ,,https://wx1.sinaimg.cn/large/006HOKk8ly1gprhh3jmd2j30u0140jwc.jpg,,,2021-04-21,HUAWEI Mate 30,0,0,0,,
4628226234122586,KbQibhitk,我已经快一年没和女生说过话了，课题组没女生，研究生圈子变小了，也没什么比较熟的女性朋友 ,,,,,2021-04-21,HUAWEI Mate 30,0,0,0,,
4628072693238778,KbMixdAym,不想做事也不知道干嘛 ,,,,,2021-04-20,HUAWEI Mate 30,0,0,0,,
4627639241281224,KbB1q5niU,牛从去年开始，今年下半年4500点 ,,,,,2021-04-19,HUAWEI Mate 30,0,0,0,,
4627474984207135,KbwKuhEt1,年龄大了，喜欢有结果的事，比起心动，更喜欢心安，比起喜欢，更喜欢偏爱！ ,,,,,2021-04-18,HUAWEI Mate 30,0,0,0,,
4627390653793817,KbuytfUWB,大学的时候单组引体向上能做十一二个，现在做五个都难受 ,,https://wx1.sinaimg.cn/large/006HOKk8ly1gpo1j317ymj30k00zkqa5.jpg,,,2021-04-18,HUAWEI Mate 30,0,0,0,,
