id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634586019267070,KevJTCSMS,非正式会谈新一季的挪威代表太帅了吧，我可以!我可以! ,,,,,2021-05-08,微博国际版,1,0,0,,
4634406926681261,Ker52s26h,今天是我的生日05月08日，来祝福我吧~ ,,,,,2021-05-08,生日动态,0,0,0,,
4634338371306855,Kepit5tYj,韩国爱宝乐熊猫馆专门做了一期视频，讲了福宝一家的便便，两小时有三千多的播放量 ,,,,,2021-05-07,微博国际版,0,0,0,,
4634232947478469,Kemyqvnut,"刚才无聊在油管上搜索有关China的新闻，过去24个小时各大英美媒体发布的信息都是关于“A China rocket will hit into earth anytime soon""，他们请了各种专家分析美国人要不要担心个人安全，国防部还回应要不要把火箭射下来。我看完真的觉得今天的快乐被充满了 ",,,,,2021-05-07,微博国际版,0,0,0,,
4631329318634263,Kd919Aeaj,最近接触到很多高中生的家长，基本上农村出身的父母对待高考会比较淡定，城市出身的父母非常焦虑，期待教育改革。显然不同立场的人还是站在自己的立场去考虑问题，很少人去以社会责任的角度去看待所处的环境和位置。 ,,,,,2021-04-29,微博 weibo.com,0,0,0,,
4631306186526710,Kd8pQrnTw,最近在看《文明的冲突与世界秩序的重建》，可能这本书真的太古早了，很多观点都不新鲜了。但是对现世预测还是八九不离十。改不了的还是西方凝视的主观立场，对于东方历史和文化浅薄的了解和概括，偶尔会引起不适感。 ,,,,,2021-04-29,微博 weibo.com,0,0,0,,
4629526979809615,Kco89F9VB,低价转谢欣、黎星舞台剧《一撇一捺》的前排票，一楼一排绝佳好位置，4.24日南京保利大剧院。要的私信我 ,,https://wx1.sinaimg.cn/large/9a81453agy1gpuuwq3756j20u01qc7do.jpg,,,2021-04-24,谢欣舞蹈剧场超话,0,0,0,,
4625632116604994,KaKO7rIga,"“We all want to close the door on the darkest things that have happened to us and never open it again. But if you don’t open that door, you could stay locked behind it forever. Or worse, something might break in on it at the worst possible time.” ",,,,,2021-04-13,微博国际版,0,0,0,,
4624849101655447,Kaqrc6WEL,导演跟拍6年，真实记录9名吸毒女的颓靡生活，越看越让人揪心 UP主: 木叶观影 导演跟拍6年，真实记录9名吸毒女的颓靡生活，越看越让人揪心 ,,,,,2021-04-11,微博国际版,0,0,1,,
4624533493385504,Kaie9ecIU,借利路修进行的狂欢，是内心在释放这个拧巴。 UP主: 船长梁晓玲 借利路修进行的狂欢，是内心在释放这个拧巴。 ,,,,,2021-04-10,微博国际版,0,0,0,,
4624095579476728,Ka6PPDLks,新买了个途明voyageur，舒坦多了。。。 ,,,,,2021-04-09,微博国际版,0,0,0,,
4620814223150864,K8JtkddGo,矫情“《休战》事件”与“一星运动”始末 这件事蛮值得一记。大抵是这样的: 3月16日，某校研一学生高晗因为给一本乌拉圭小说《休战》打了两星 | 豆瓣日记 “《休战》事件”与“一星运动”始末 ,,,,,2021-03-31,微博国际版,0,0,0,,
4619828679678457,K8jPJEBO9,熊猫胆小图鉴 UP主: 熊猫观察君 熊猫胆小图鉴 ,,,,,2021-03-28,微博国际版,0,0,0,,
4618807363241230,K7TgsdBbU,如果你今天心情不好 那就来看小熊接雪花吧 UP主: internet-boy 如果你今天心情不好 那就来看小熊接雪花吧 ,,,,,2021-03-26,微博国际版,0,0,0,,
4618703306494771,K7QyCrfAn,这个视频针对于学术体系的反思很好，现在的学术界是以西方价值体系和白人价值体系为中心的。艺术、人类学、历史性、宗教、社会学等等都是west-centered，无法突破这个局限就无法根据我们自己的文化传承建立完整的文化、价值体系。我不敢说自己三观正，对社会主义的向往，是对公平正义的期待【大师计划·吴启讷问答】 UP主: 观视频工作室 我不敢说自己三观正，对社会主义的向往，是对公平正义的期待【大师计划·吴启讷问答】,,,,,2021-03-25,微博国际版,0,0,0,,
4618191387496015,K7DeWvs3t,昨晚的大饭店，优秀的实验性艺术作品 ,,"https://wx1.sinaimg.cn/large/9a81453aly1goup2dif2hj20u0190jv6.jpg,https://wx2.sinaimg.cn/large/9a81453aly1goup2ekod1j21900u0n1w.jpg",,,2021-03-24,微博国际版,0,0,0,,
4617827811592477,K7tMx6Gh7,扫了一眼福克斯电视台的新闻，真是三观炸裂。都1212年了，怎么还有这种烂东西啊。My eyes! My eyes! ,,,,,2021-03-23,微博国际版,0,0,0,,
4616147054625639,K6M3Djpl5,我是第10位申请创建大熊猫枫浜超话的粉丝，助力创建人数越多，开通几率越大！大家快来戳这里→ 网页链接 帮我加快创建速度吧~ ,,,,,2021-03-18,超话,0,0,0,,
4614651046789248,K698Isuc0,有人拍到你在泥坑里玩水的画面啦~还不来看看，小猪猪！ UP主: YouTube精彩视频- 有人拍到你在泥坑里玩水的画面啦~还不来看看，小猪猪！ ,,,,,2021-03-14,微博国际版,0,0,0,,
4614012187181703,K5Swiu8hV,真实年纪大了，我都开始听李宗盛了。。。。 ,,,,,2021-03-12,微博国际版,0,0,0,,
4613719746676388,K5KUCs0PG,人们总是说：回到年轻时，我要好好爱一场。为什么现在就不行呢？说得好像爱情是年轻人专有的东西。 ,,,,,2021-03-12,微博国际版,0,0,0,,
4613644904039095,K5IXUgWKH,如果谈到我们这一代人的不行，大概就是迷失在大量的信息中。哪怕大部分被吸收的知识信息都是有价值的，当自我承载能力尚浅时，那些人们常常鼓吹的好奇心、驱动力会让年轻人走向价值和心灵的毁灭之路。 ,,,,,2021-03-11,微博国际版,1,1,0,,
4613643218716691,K5IVbAzBN,我是一个只适合讨论现实的人，哲学和浪漫与我无关，因为沉溺于虚无主义在我的世界观中本就无意义。 看吧! 多现实。。。。 ,,,,,2021-03-11,微博国际版,0,0,0,,
4613390288552657,K5ClezSW5,我的妈呀！窦靖童是什么神仙声线～ ,,,,,2021-03-11,微博国际版,0,0,0,,
4613230163657483,K5yaYfltF,太可爱了第1次考80分男孩喜极而泣 UP主: 中国日报 第1次考80分男孩喜极而泣 ,,,,,2021-03-10,微博国际版,0,0,0,,
4611936090587890,K50vL2sW6,【眉山论剑】送走美国就业的里根经济学，反而在中国备受欢迎【美国经验二】 UP主: 陈平眉山论剑 【眉山论剑】送走美国就业的里根经济学，反而在中国备受欢迎【美国经验二】 ,,,,,2021-03-07,微博国际版,0,0,0,,
4611447344597720,K4NNsji4M,我们希望，性侵儿童案不只是在热点新闻出现时才被社会大众关注 | 孙雪梅 一席第828位讲者 UP主: 一席精选 我们希望，性侵儿童案不只是在热点新闻出现时才被社会大众关注 | 孙雪梅 一席第828位讲者 ,,,,,2021-03-05,微博国际版,1,0,0,,
4611193915834609,K4HcHotQB,(｡･∀･)ﾉﾞ各种姿势挠痒痒 UP主: ting哟 (｡･∀･)ﾉﾞ各种姿势挠痒痒 ,,,,,2021-03-05,微博国际版,0,0,0,,
4610028013097501,K4cSdcZNH,"I can still feel the hurt deeply when the memories hit me hard. it feels like a gunshot hits on my heart and bullet stays inside forever. Reminiscing the past makes me feel lost, confused and misery. There's no shell protecting me from the outside. My soft body has to undertake all the weights all by itself. God, it's damn terrible and scary. But I don't feel like erasing those things from my life. Progressively, those terrible and dark things become part of my life. They are not seperated from my body or those good things, but becoming something I learn to live upon. There's nothing worse than be traumatized. And there's nothing worse than forgetting or ignoring them to not move on. Life sucks. But struggling also brings lights into my darkest moment.",,,,,2021-03-01,微博国际版,0,0,0,,
4609988323184930,K4bQcdmxQ,阿姨频繁的要给我介绍对象，我直接说自己还想浪十年，不着急结婚生孩子，不能耽误人家好男儿的大好人生。坦率表达自己的需求真的爽![机智] ,,,,,2021-03-01,微博国际版,0,0,0,,
4609913358123744,K49Thy5m8,再次看驴得水，特别是张一曼被众人侮辱的时候，让我比之前格外共情。她的最后的疯癫，像极了我半年前有自杀倾向的那段时间。那种被隔绝和无助，把人活生生地推到崩溃和疯狂的边缘。但我不是张一曼，我的家人有良心有责任感。张一曼的归宿只有自我了断，于她，这是最好的结局。 ,,,,,2021-03-01,微博国际版,0,0,0,,
4609627889601902,K42sQEhTo,Share ,,https://wx4.sinaimg.cn/large/9a81453aly1go3dk8prnwj20k05mi1kx.jpg,,,2021-02-28,微博国际版,0,0,0,,
4606844666905793,K2S3MsYvL,我在看08年奥运会开幕式 ,,,,,2021-02-21,微博国际版,0,0,0,,
4606843034272177,K2S19hVo5,国乐大师将琵琶当电吉他弹 全程高能 UP主: 黑子的sama 国乐大师将琵琶当电吉他弹 全程高能 ,,,,,2021-02-21,微博国际版,0,0,0,,
4605770852733091,K2q7Pbt07,有用Spotify的同学吗？好像显摆一下我新做的歌单哦 抠扣老师年度巨献! ,,,,,2021-02-18,微博国际版,0,0,0,,
