id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634655007441052,KexxavdKY,排队买定期前面有个脑瘫中国人看不懂日语输完银行卡密码在那边等着不知道按*确认，就你妈的一直等着，弱智吗，这智商来日本当服务台还是打黑工啊 ,,,,,2021-05-08,iPhone 12 Pro(金色),3,1,0,,
4634648284761318,KexmkjYDs,我不想死啊，好困好累好饿。。 ,,,,,2021-05-08,iPhone 12 Pro(金色),6,3,0,,
4634318276395252,KeoM3qPHe,什么时候才能看完书 明天就讲题了 ,,,,,2021-05-07,iPhone 12 Pro(金色),8,0,0,,
4634177003588613,Kel6cf3yR,微博低学历弱智真的好多 特别社会问题评论下太多脑瘫了 为什么底层人都在喷国内不好呢 ,,,,,2021-05-07,iPhone 12 Pro(金色),19,25,0,,
4633978859946220,KefWBFJsU,空心菜冬瓜排骨 中国味 ,,https://wx3.sinaimg.cn/large/006op11jgy1gq9282zwc9j30u0140ds8.jpg,https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/000Qta2Lgx07MsaxpChO0f0f010067f80k01.mov,,2021-05-06,iPhone 12 Pro(金色),16,1,0,,
4633893287757234,KedIAwy0G,成人的世界往往只看结果 ,,,,,2021-05-06,iPad客户端,8,1,0,,
4633762015217966,KeaiRlTqK,tm 又差点坐错去池袋 忘了是去学校新宿转车 赶紧从车上下来跑到对面车去 日本·高田馬場 ,,,,日本·高田馬場,2021-05-06,iPhone 12 Pro(金色),11,1,0,,
4633628912912425,Ke6QbcdEB,为什么老献流 ,,https://wx3.sinaimg.cn/large/006op11jgy1gq7y13z3hnj30u0144qd8.jpg,,,2021-05-05,iPhone 12 Pro(金色),52,11,0,,
4633560588224330,Ke53Yyvwu,粉丝群被人讨论zz举报炸群了，过会有解决方法 或者先加备用群593563818 日本·川口市 ,,,,日本·川口市,2021-05-05,iPad客户端,14,5,1,,
4632903529792092,KdNYcF5mY,够味 今天 ,,https://wx2.sinaimg.cn/large/006op11jgy1gq5mqd7kqkj30u014015d.jpg,,,2021-05-03,iPhone 12 Pro(金色),69,16,2,,
4632877146314897,KdNhEquNb,拜几个上课问问题的同学所赐 十点下课不是梦，这就是传说中的8 10 7吗 爱了爱了 ,,,,,2021-05-03,iPhone 12 Pro(金色),7,2,0,,
