id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634040583324338,KehyadWOm,🙃 来了个滞胀？以为自己是从肯德基炸鸡锅跑出来的鸡？这么站街？别人钱包爱买不买还管？原来是买数据偷偷令的小号难道炸鸡锅里的鸡也跑出来买数据洗？ ,,"https://wx3.sinaimg.cn/large/007rFbeWgy1gq999bccv2j30v71f6148.jpg,https://wx1.sinaimg.cn/large/007rFbeWgy1gq999c2obxj30pc1cawk8.jpg",,,2021-05-07,红米Redmi,1,0,0,,
4633528521723630,Ke4eg7eou,有的人说，说个话还要授权的么？那为什么第一时间被人认出来了就把人删评拉黑，害人禁言？完了还要发博说没删是因为不知道。前后言词矛盾，上一次我见这种没品🍵 操作还是🦐 。为啥第一时间下意识把人删评拉黑，是心虚啊！但凡没有一点心虚是不可能这样的。也别和我说手滑，删评再拉黑真不是一俩秒那么方便。,,,,,2021-05-05,红米Redmi,1,0,0,,
4633493747012230,Ke3katqcu,发现一个现象，明明在讨论还没有开始直接冲突，更别说语言上冲突，但就是被莫名其妙拉黑了，那只能说明一件事，戳到痛处了？说好话反驳不了，索性拉黑，一了百了原来我还是聊天终结者 当然，这种情况直接拉黑的，不合则不见，人上人。相反删评拉黑害人禁言的，被戳了就出阴招，人下人啊，丧德这么没品的,,,,,2021-05-05,红米Redmi,0,0,0,,
4633421320291586,Ke1rm1dR0,本来萝卜青菜各有所爱，爬墙很正常。龙哥当初采访也说过，大家以后会喜欢上别的很正常。但是明明知道一直在到处偷，还坦荡，体面？镇魂都tm偷烂了，一直没说偷令，我没看我不评，萝卜青菜翻墙是自由，新剧偷老剧梗歌多的是。好家伙，现在连演员自己的原话都要偷，就差演员的脸是偷不了的。还装模做样的别人珍视的不敢随意践踏？还有啥没偷的？还践踏少了？我看别人放个屁也要偷吧。偷以前的就算了，连还没上架的都要偷，难怪都说🦐 偷2.0。真坦荡，真体面。是怎么好意思说出这些话的，咋不早点爬🦐 ，也是委屈了忍了这么久？,,"https://wx3.sinaimg.cn/large/007rFbeWgy1gq7dvmoglrj30k00ldtcj.jpg,https://wx4.sinaimg.cn/large/007rFbeWgy1gq7dvnps07j30k00zk0w5.jpg,https://wx1.sinaimg.cn/large/007rFbeWgy1gq7dvon15dj30k00zkwk2.jpg,https://wx1.sinaimg.cn/large/007rFbeWgy1gq7a8tvimpj30n01jwqcp.jpg",,,2021-05-05,红米Redmi,0,0,0,,
4633409173586964,Ke17Lf38g,其实麦麸本来没有什么不体面的，毕竟拿了麦麸的钱，还想赚麦麸的好处，那么麦麸就是工作的一部分。再来说说偷，麦麸在偷面前就是体面的，复制粘贴以前的就算了，连人家还没上架的都偷，体面个球 ,,,,,2021-05-05,红米Redmi,0,0,0,,
4633290461677751,KdY2i72sv,#中通快递通报宠物盲盒#那些耸耸肩的人。如果把你也放一个和你身材大小一样的封闭纸盒子，没水没食没厕所运几天，你和其他快递一样该被中间环节大力丢来丢去按砸地。按比例应该是好几米高度砸，还得坐各种交通工具时速晃来晃去的。跨省流程好几天。你这么一套下来没病没伤还能不疯我就服！ ,,,,,2021-05-05,红米Redmi,3,0,0,中通快递通报宠物盲盒,
4632171865970511,KduW6p3cz,#中国女排战胜日本女排#好好珍惜！毕竟若干年后，在什么教育局和学校培养女孩儿温柔后，还能有这局面么？每次中国女性在国际上有什么优胜，同时间的国内什么学校招生社会招聘总在想法设法抹杀女性的机会。。。直让人感叹，谁还敢生女儿，难道有多大的血海深仇让她这辈子来受苦？ ,,,,,2021-05-01,红米Redmi,1,0,0,中国女排战胜日本女排,
4632155043403627,KduuYehrd,#冕宁森林火灾系丢烟头引发#所以防控女性抽烟有个屁用消防课里再加个男性抽烟灭烟头教育吧。我在大街上都见过多少次了。男的抽烟烟头直接丢地上还烧的红红火火的。好家伙我一上去一脚踩熄的。会抽烟连个灭烟屁股都不会，断手断脚了样。 ,,,,,2021-05-01,红米Redmi,36,2,0,冕宁森林火灾系丢烟头引发,
4632027120275518,KdraE19FQ,#朱一龙粉丝的横幅#@朱一龙 看到这个横幅表示很满意，果然还是家乡粉丝最懂他绿色连体墨镜居真的飒。 ,,https://wx2.sinaimg.cn/large/007rFbeWgy1gq2u0f08eqj30gl0bn3zu.jpg,,,2021-05-01,红米Redmi,3,0,0,朱一龙粉丝的横幅,朱一龙
4632025217107434,Kdr7ztOY2,#全面防控青少年女性等重点人群吸烟#报！女性经常被迫抽二手烟，怎么办？？？请好好管管二手烟说了防控要做到，别tm光说不练打脸哈 ,,,,,2021-05-01,红米Redmi,8,0,0,全面防控青少年女性等重点人群吸烟,
