id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634973146186588,KeFOipXpG,黄山景区：今天夜里到明天白天多云转雷阵雨，西南风4到5级，气温14到20℃；明天日出时间5时17分可见概率60%；云海概率35%；森林火险1级。黄山旅游气象台 ,,https://wx2.sinaimg.cn/large/a38886f3ly1gqc8fa0p2aj21400u07bx.jpg,,,2021-05-09,华为Mate40保时捷设计,0,0,1,,
4634901086737208,KeDW4sgEE,没有母亲的母亲节（看哭了）麦兴平 当我们懂得感恩时，才对母亲有了深刻的理解，深刻的爱;当我们知道回报时，母亲老了，母亲成了一种岁月。母亲是一棵大树，一半青绿，为我们遮风挡雨;一半扎根在我们心里，今生今世是我们的依靠。母亲是一盏灯，长大时，提灯相送，给我们光明，难时，累时，孤单时为我留着一盏灯，给我们温暖，当我们老了时，母亲是张火车票，是张没有过期的老船票。母亲是一盘热炕，一碗红烧肉，一双千层底，一个心灵的牧场，一个疗伤的港湾，一个一辈子也走不出的家。母亲，就是我们的一切，悲伤时，她是慰籍； 沮丧时，她是希望； 软弱时，她是力量;开心时，她是微笑，精彩时，她是掌声，成功时，她是信心。这个世界最伟大的不是高山，最宽阔的不是大海。比高山伟大的是母爱，比大海宽阔的还是母爱，母爱就是天，母爱就是地，母爱就是人生中最大的幸福。        茫茫人海，路过的，遇到的，邂逅的，擦肩而过的，柔情似水的，情谊无价的，高山流水的，海誓山盟的，我们会遇到各种各样的情感，但唯有母亲的情，母亲的爱才是永远的，更是永恒的。母亲是我们的年轮，她给了我们生命，她就给了我们一生的牵挂和惦念。母亲是一种岁月，少年时，我们依赖母亲，青年时，不懂母爱。当我们不再年轻，一角尾纹，一缕白发时，我们突然发现母亲额头的皱纹，母亲满头白发竟让我们难以分辨，老了的究竟是我们的母亲，还是我们的年龄。当母亲成了一种回忆，当母亲成了一部老电影，我们才深深感到了一种深沉，这深沉是无泪的双眼;这深沉是孤单时的一声叹息;这深沉是一个游走在别人世界找不到家的灵瑰;这深沉一定有叹息，有后悔，有一种无法弥补的委屈;这深沉就是母爱，一种刻在骨头上，让人难以割舍的母爱。   当母亲成了一种回忆，当母亲成了一种奢望时，没有母亲的母亲节，多少人会背过身抽泣;多少人会站在窗前思念;多少人会捧起一碗饭双眼浸满热泪;多少人孤单时无处可去。      没有母亲的母亲节，那是一种无法言说的伤痛。行走在茫茫人海，你再优秀又如何，你再成功又如何，你房大车好又如何，无人欣赏的风景就不是风景，无人心疼的孩子就是棵大树也是株小草。母亲是谁?母亲是我们优秀时，她真心为我高兴的人;母亲是我们落难时贴在身边不离不弃的人，母亲是我们的恩人，贵人，是我们的天空，大地。母亲是在你走投无路时，伸出双手拉你的人，母亲是全天下所有的人都看不起，唯有母亲能把你捧在天上的人，母亲是上天给予你最大的福份，母亲在，家就在，希望就在，幸福就在。别去等待，别去告诉自己:等我有钱了，等我有时间了，等我荣归故里了再去孝敬我们的父母。时光太瘦，指缝太宽，许多人一转身就是一生，一别一辈子，别等没有母亲的母亲节时，你才懂得什么是母爱，什么才是你一生的牵绊。谁言寸草心，报得三春晖。从现在起多陪陪父母，多疼疼自己的母亲吧!她担负着世间最多的痛苦，背负着世间最多的压力，咽下最多的泪水，但她不离不弃，以爱，以温情，以慈悲，以善良，以微笑，一生都在温暖着我们。为什么我要在没有母亲的母亲节去思念，去悔恨，去纠结，去反思呢!母亲在，天天都是母亲节，母亲不在，一千个，一万个母亲节也枉然。时至母亲节到来之际，以此文，愿全天下的母亲健康，长寿，万事如意。愿全天下母亲的孩子天天都是母亲节。,,https://wx3.sinaimg.cn/large/a38886f3ly1gqc04p1sc3j20hs0e90tk.jpg,,,2021-05-09,华为Mate40保时捷设计,6,1,1,,
4634900618282956,KeDVjyKM4,母亲节，10位名家笔下的母亲，读懂温柔深厚的母爱儒风大家 读文摘精选 今天慈母手中线，游子身上衣。临行密密缝，意恐迟迟归。谁言寸草心，报得三春晖。再多的诗词，再多的歌颂，也说不尽母爱的伟大。母亲是一个家庭的灵魂，是一个家庭最重要的风水。今天是母亲节，让我们一起品读10位作家笔 ...全文,,https://wx3.sinaimg.cn/large/a38886f3ly1gqc01f2lfij20p00got9u.jpg,,,2021-05-09,华为Mate40保时捷设计,1,0,3,,
4634899661720473,KeDTM7dzz,职场寓意小故事，你懂了吗？超级CEO思维 昨天    ￼￼￼在职场生涯的这条路上，每个人都像是在坐一辆公交车。有的人一路顺风顺水到达目的地，有的人却一路磕磕绊绊……相信只要坚持下去，只要努力去寻找，总会在你下车前找到属于你的舒适座位的！1，割草男孩的故事一个替人割草的男孩打电话给 ...全文,,https://wx4.sinaimg.cn/large/a38886f3ly1gqbzwlaglvj20p00cigmt.jpg,,,2021-05-09,华为Mate40保时捷设计,0,0,0,,
4634897946250590,KeDR0qe3Y,#美国通胀率或将大幅上涨#肆意妄为、害人害己，玩弄操作，玩火自焚，恶果终尝。 ,,,,,2021-05-09,华为Mate40保时捷设计,0,0,0,美国通胀率或将大幅上涨,
4634897366387959,KeDQ4qNNB,#母亲节快乐#送祝福，送健康，送祝愿，送孝心，送感恩，衷心祝福、祝愿天下的母亲节日快乐、永远年轻美丽！ ,,,,,2021-05-09,华为Mate40保时捷设计,0,1,0,母亲节快乐,
4634818732622064,KeBNfb07m,#脚踏云层的坚守者#致敬这些坚守者，致敬这些守护神，致敬这些青春者，致敬这些奉献人！ ,,,,,2021-05-09,华为Mate40保时捷设计,0,0,0,脚踏云层的坚守者,
4634817914470583,KeBLViL0b,斯坦福开学演讲：不要在不断的优秀里走向平庸CEO语录    ￼￼￼William Deresiewicz本文是美国著名作家和文学评论家威廉·德莱塞维茨在2010年斯坦福大学开学典礼对新生的演讲。短短几十分钟的演讲，蕴藏着很多真知灼见，值得一读再读。以下，敬请enjoy~￼我们许多人的青春都奉献给了四个字：“ ...全文,,https://wx3.sinaimg.cn/large/a38886f3ly1gqbqknffaoj20q40hbt9j.jpg,,,2021-05-09,华为Mate40保时捷设计,1,0,0,,
4634817403289677,KeBL6dNNj,你越优秀，越能接受别人比你牛博读    ￼￼￼如今，每天占据我们业余时间最多的，无疑是手机，短视频更是抢占我们时间的利器。快手，作为中国发展势头正盛的短视频公司之一，11月5日晚，正式向香港港交所递交了IPO招股书。一时之间，引发网友热议。在抢占短视频第一股的赛道上，快手有望领跑。 ...全文,,https://wx4.sinaimg.cn/large/a38886f3ly1gqbqimf0ctj20u00k0jsv.jpg,,,2021-05-09,华为Mate40保时捷设计,0,0,0,,
4634816396394778,KeBJtqPzA,黄山杜鹃花（10） ,,https://wx2.sinaimg.cn/large/a38886f3ly1gqbqf7c0nlj20u00u0gsd.jpg,,,2021-05-09,华为Mate40保时捷设计,1,0,1,,
4634816277905826,KeBJhxaFk,黄山杜鹃花（9） ,,https://wx4.sinaimg.cn/large/a38886f3ly1gqbqep2c7ej20u01o0avm.jpg,,,2021-05-09,华为Mate40保时捷设计,2,0,0,,
4634816030703965,KeBIT2X8h,黄山杜鹃花（8） ,,https://wx1.sinaimg.cn/large/a38886f3ly1gqbqdoyqa3j20u02i2qe2.jpg,,,2021-05-09,华为Mate40保时捷设计,2,1,2,,
4634815926370472,KeBIIqJfy,黄山杜鹃花（7） ,,https://wx3.sinaimg.cn/large/a38886f3ly1gqbqd9baeuj20u0140gza.jpg,,,2021-05-09,华为Mate40保时捷设计,1,0,1,,
