id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634711609841606,Kez0sFifA,这图让我自己能看到是怎么个意思呢？我们这一直这么被晾着，一晾晾七年，不给恢复水煤气暖气、不给清包括建筑垃圾的垃圾、不给修复厕所排污管道、不能接网线。我们这是市区啊！ ,,https://wx4.sinaimg.cn/large/6cf223d5ly1gqbeatw0f6j20q8cms1l5.jpg,,,2021-05-08,告别不快vivo V3Max,0,0,0,,
4634613060994540,Kewrw4aIY,哈哈哈，证明微博被限流、屏蔽的图也被搞灰了。你有这工夫干点儿利国利民的实事、好事，好不？好好跟百姓谈，别搞官威、别欺负人，百姓都是只想安生过日子的人，你安了好心就一定会有好报。呵呵。有人曾说过，不会让你往网上发成功的，你发了也不会有人看到的。原来这话，是真的。这么对百姓，是服从党领导、尽忠国家的行为吗？ ,,https://wx2.sinaimg.cn/large/6cf223d5ly1gqb2x8sk4mj20tl1edn3v.jpg,,,2021-05-08,告别不快vivo V3Max,2,0,0,,
4634603580560423,Kewce2lN5,看看有关于具体事实的，有几条是能看到的。呵呵。有人曾说过，不会让你往网上发成功的，你发了也不会有人看到的原来这话，是真的。这么对百姓，是服从党领导、尽忠国家的行为吗？ ,,https://wx3.sinaimg.cn/large/6cf223d5ly1gqb1x6v8b0j20q9cmx7wp.jpg,,,2021-05-08,告别不快vivo V3Max,1,0,0,,
4634594333163713,KevXjdh1D,居民家里被断水电煤气暖气、出行道路、网线、有线电视、厕所排污管道，家门口被堆放包括建筑垃圾的垃圾，垃圾堆积如山，这些事已经成为事实七年了！直到今年老百姓才自己找回了电，垃圾山又被堆高约二尺，其他都没恢复。社区工作人员在场时有人立了铁皮墙，把居民和垃圾同围在内。微博又不知道怎么回事，有一些明明发表了，别人却看不到，阅读量要么是6要么是0，呵呵，想请教，这都怎么回事？群众的利益怎么就不能保护呢？,,,,,2021-05-08,告别不快vivo V3Max,1,0,0,,
4634395929215511,KeqNiCFnh,微博不是惟一平台…… ,,"https://wx3.sinaimg.cn/large/6cf223d5ly1gqadzxxjekj21hc0u0x6p.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gqae1p0caxj21hc0u0gyo.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gqae4e5biwj21sy0u0aw9.jpg",,,2021-05-08,告别不快vivo V3Max,2,0,0,,
4633094029839198,KdSVsFhCK,#我就是中国#愿我们的觉醒和清醒不要发生在危难和绝境之中！我们不去欺辱和压迫别人，但也不容他人来欺辱和压迫我们！愿世上真有一日无处不展现“有理走遍天下，无理寸步难行”的盛世！青年，当热血！青年，当担当！青年，当心怀祖国与天下！ 本溪·明东路81号 ,,"https://wx2.sinaimg.cn/large/6cf223d5ly1gq68gwto63j22eo37k4qu.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68h470kgj22eo37k7wl.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gq68h8bryrj237k2eo1l0.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hc643rj237k2eob2b.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hees5tj21hc0u0u0x.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hf9vj8j221s0io7oq.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gq68hka0lzj237k2eo1l1.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hmo54vj23k01n4qv5.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hq6wxqj23k0200kjn.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hrs5vjj21sy0u0kcp.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68hv6e0cj23k01n4npf.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gq68hz1vibj23k01n4qv7.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68i2iaw0j23k01n4u0y.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gq68i6oudoj21n43k0b2a.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gq68i9g3udj22io168x6p.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68ic0tc0j22io1681ky.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68igxz02j237k2eo7wk.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gq68ilql5lj22eo37kx6s.jpg",,本溪·明东路81号,2021-05-04,告别不快vivo V3Max,2,0,0,我就是中国,
4630725675192492,KcTjxlMNS,#中纪委通报盘锦自来水被点燃事件##杨靖宇妻子至死都不知丈夫牺牲#辽宁省本溪市明山区西胜社区居民区的垃圾（包括建筑垃圾）不给清理，堆放七年，成了小山，还流出一条污水溪；水停了七年了，到现在还不给恢复；暖气和煤气给破坏得难以恢复了。路，也被垃圾掩得没有了，全靠居民进出踩出来了一条小毛道，后，居民又自己清了清扎鞋的碎玻璃和污泥秽物。楼门也被砸坏了。居民们遭遇这些都只因为当初没签动迁协议。说说动迁协议，关键内容是这样的，居民们的房子是1994年建成入住的商品房，57.28平方米的房子加上阳台面积后是61平方米左右，动迁协议中写明，针对这个面积的房子的回迁房免费补偿到63平方米。回迁楼是电梯楼，公摊面积大约是25%左右。这样算下来，动迁后居民们的住房面积缩水严重至少少了一室房子。如果嫌回迁后的居住面积小，可以花钱增面积，9平方米为一档，第一档3千5百块左右一平方米，第二档往上为5千5百块左右一平方米（时间久远，记不准了。），家里经济条件可以的，同意了。拿不出增面积的钱的，可以选择货币安置，于是出现了参差不齐的安置金额。我家想被公平对待，并要求一次性结清安置款，但对方并没有同意，所以没签。然后，某一天，动迁办和开发商上午还在和居民签动迁协议，下午就停签了，动迁，就这么被搁置了，这一搁置就搁置到了现在，搁置了九年，并且在七年前，在居民们不知情、未同意的情况下给居民们销了水电煤气的户头，居民们被停了水电煤气暖气，而后不久，挖沟机等车运来了大量的建筑垃圾，刨毁了出入小区的楼梯，接着，剔除了楼房地基处的土，在楼房后挖出了深坑，七年后的今天，这个深坑成了湖，同时浸泡着未签动迁协议的居民们的家和新上楼的回迁户们的回迁楼。杨靖宇这些先辈们为了国家、民族不衰败，为了国人不被奴役而抛头颅洒热血，甘心用自己的性命来筑建新的长城。真不知道若是他们得知自己卫护的人民百姓被这样对待，他们为之牺牲的国家被这样败坏名声，他们忠爱的党被同党的后辈们这样蛀食，该是何等气愤、痛心。国法明禁拆迁中给居民断水电煤气暖气，但这等事有人样样敢做，国家提倡的人民利益至上敢视若无睹、充耳不闻，“协议就是按政策走，不签的你也不用去上|访了，上|访也没人接待你”这话敢说。这样，会不会太让英烈们痛心、太给党和国家抹黑了？我忠于国家，我相信党，尽管我遭遇了这些磨难与不公，我仍跟国家和党一条心，因为我知道，可恨的是那些盗国蛀党的硕鼠蛀虫，国家没有欺负我，党没有忘记初心。毕竟，我家现在恢复了电。我就是不明白为什么这么胆大，为什么这么欺负人，为什么要把人欺负进绝境，为什么不止不维护群众利益反而还损害群众的利益。#村民自来水能点燃两年没解决#,,"https://wx2.sinaimg.cn/large/6cf223d5ly1gpyoh3uvxnj23k0200qv7.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyoh6g9nmj20u01hc7k7.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyohcy6rmj23k0200qv8.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyohzh5yej20u01hcq9q.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyohz096mj20u02ardu0.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyoi09o5mj20u02asqi2.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyohfp09dj21682ioqv5.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyoi2am2kj20pi16onpd.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyoi0nwldj20cs07mdgf.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyohl0ndzj23k01n44qs.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyohoqagpj22io168kjm.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyohplz2rj20qo0g7k4l.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyohrtvdbj21hc0u04qq.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyohtvqv5j22io168hdt.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyohy0l61j20to1kdu0z.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyoi3bfq8j220w0hsnhz.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyoi9tcfgj22eo37kx6s.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyoiduqalj237k2eokjn.jpg",,,2021-04-27,告别不快vivo V3Max,1,2,0,"中纪委通报盘锦自来水被点燃事件,杨靖宇妻子至死都不知丈夫牺牲,村民自来水能点燃两年没解决",
4630649292456474,KcRklaj2y,#杨靖宇妻子至死都不知丈夫牺牲#辽宁省本溪市明山区西胜社区居民区的垃圾（包括建筑垃圾）不给清理，堆放七年，成了小山，还流出一条污水溪；水停了七年了，到现在还不给恢复；暖气和煤气给破坏得难以恢复了。路，也只被垃圾掩得没有了，全靠居民进出踩出来了一条小毛道，后，居民又自己清了清扎鞋的碎玻璃和污泥秽物。楼门也被砸坏了。居民们遭遇这些都只因为当初没签动迁协议。说说动迁协议，关键内容是这样的，居民们的房子是1994年建成入住的商品房，57.28平方米的房子加上阳台面积后是61平方米左右，动迁协议中写明，针对这个面积的房子的回迁房免费补偿到63平方米。回迁楼是电梯楼，公摊面积大约是25%左右。这样算下来，动迁后居民们的住房面积缩水严重至少少了一室房子。如果嫌回迁后的居住面积小，可以花钱增面积，9平方米为一档，第一档3千5左右一平方米，第二档往上为5千多5左右一平方米（时间久远，记不准了。），家里经济条件可以的，同意了。拿不出增面积的钱的，可以选择货币安置，于是出现了参差不齐的安置金额。我家想被公平对待，并要求一次性结清安置款，但对方并没有同意，所以没签。然后，某一天，动迁办和开发商上午还在和居民签动迁协议，下午就停签了，动迁，就这么被搁置了，这一搁置就搁置到了现在，搁置了九年，并且在七年前，在居民们不知情、未同意的情况下给居民们销了水电煤气的户头，居民们被停了水电煤气暖气，而后不久，挖沟机等车运来了大量的建筑垃圾，刨毁了出入小区的楼梯，接着，剔除了楼房地基处的土，在楼房后挖出了深坑，七年后的今天，这个深坑成了湖，同时浸泡着未签动迁协议的居民们的家和新上楼的回迁户们的回迁楼。杨靖宇这些先辈们为了国家、民族不衰败，为了国人不被奴役而抛头颅洒热血，甘心用自己的性命来筑建新的长城。真不知道若是他们得知自己卫护的人民百姓被这样对待，他们为之牺牲的国家被这样败坏名声，他们忠爱的党被同党的后辈们这样蛀食，该是何等气愤、痛心。国法明禁的拆迁中不得给居民断水电煤气暖气等事样样敢做，国家提倡的人民利益至上敢视如无睹、充耳不闻，“协议就是按政策走，不签的你也不用去上|访了，上|访也没人接待你”这话敢说。这样，会不会太让英烈们的痛心、太给党和国家抹黑了？我忠于国家，我相信党，尽管我遭遇了这些磨难与不公，我仍跟国家和党一条心，因为我知道，可恨的是那些盗国蛀党的硕鼠蛀虫，国家没有欺负我，党没有忘记初心。毕竟，我家现在恢复了电。,,"https://wx4.sinaimg.cn/large/6cf223d5ly1gpyf03wyptj22io168hdt.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyfhykalfj20u02asdmh.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyfhz9zc7j20u02artf0.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyfhzz4yrj20u01hcdiw.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyfi0lcvtj20u01hcwmo.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyfi4yldvj23k0200u0z.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyfi93j1nj23k0200qv7.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyfidv2x9j23k02004qt.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyfikgk9dj21n43k0e83.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyfiovvebj21682ioqv5.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyfive1lnj22eo37ke87.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpyfj24u74j22eo37knpi.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyfj3riqgj218g0xcas0.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyfj4k3nmj20u012ydxv.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpyfj56wbvj20qo0fcjxb.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpyfj5x6vnj20si12xk0l.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyfj6anecj20cs072757.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpyfj79avaj20st1jqqtm.jpg",,,2021-04-27,告别不快vivo V3Max,0,7,0,杨靖宇妻子至死都不知丈夫牺牲,
4630212874079194,KcFYrh7bs,#中央巡视组原副组长董宏被决定逮捕#得到了明确的答复，辽宁省本溪市明山区北地供水处：不能恢复供水；辽宁省本溪市城市运行管理中心：不能清除你生活区里的包括建筑垃圾的垃圾，不能为你生活区设立果皮箱收垃圾。煤气，为安全起见没有找。暖气，估计恢复不了，没找。至此，水、电、垃圾，只有电接上了。七年了，生活在辽宁省本溪市明山区西胜社区辖区某楼里的居民们被断水电煤气暖气、阻断出行道路、堆放包括建筑垃圾的垃圾长达七年了！那些敢明知故犯的人，那些敢明着推诿不作为的人，到底是凭的什么敢那么做？图里的勾机不是来清除垃圾和维护楼房的。,,"https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1nr3o6jj23k0200qv7.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpx1nxao3xj23k02004qt.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpx1o4cnnmj23k0200qv8.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpx1o619epj20r01hb0z0.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpx1o8vtshj21682ioqv5.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpx1odlisnj23k01n44qs.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1ohswahj22io168kjm.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpx1op52n7j26rk2cgu13.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1owih0bj22eo37ke87.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1p3g4aij237k2eohdy.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1pc8kuyj237k2eou13.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1pikli8j22eo37knpi.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpx1pk0kwjj20qo0g7k4l.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpx1pkqjyaj20u012ydxv.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpx1pljz83j20si12xk0l.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpx1pmkbpij20st1jqqtm.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpx1pn89jmj20pi15ownz.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpx1pp2ekdj21de1x6qv5.jpg",,,2021-04-26,告别不快vivo V3Max,1,2,0,中央巡视组原副组长董宏被决定逮捕,
4629599272574000,Kcq0LaNC8,#调查曝光陕西洛南脱贫摘帽掺假#辽宁省本溪市明山区西胜社区居民区里，包括建筑垃圾的垃圾已经堆积如山长达七年了。已经找过责任职能部门了，但，不给清理。区政府和社区都不管。 ,,"https://wx2.sinaimg.cn/large/6cf223d5ly1gpv37q0492j21hc0u0x6p.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpv37umr43j23k0200u0z.jpg,https://wx1.sinaimg.cn/large/6cf223d5ly1gpv382na8dj23k02004qt.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpv388p6tej23k0200qv8.jpg,https://wx4.sinaimg.cn/large/6cf223d5ly1gpv38bs1vdj22io168kjm.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpv38fzk2vj23k01n44qs.jpg,https://wx2.sinaimg.cn/large/6cf223d5ly1gpv38od8rnj26rk2cgu13.jpg,https://wx3.sinaimg.cn/large/6cf223d5ly1gpv38satn5j21682ioqv5.jpg",,,2021-04-24,告别不快vivo V3Max,21,1,1,调查曝光陕西洛南脱贫摘帽掺假,
