id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4629256389007345,Kch5IBNdL,【你犯什么事进来的？】“刹车失灵” UP主: 我叫孙火旺#bilibili# 【你犯什么事进来的？】“刹车失灵” (哔哩哔哩客户端下载 网页链接) 哈哈 ,,,,,2021-04-23,哔哩哔哩移动客户端,0,1,0,bilibili,
4618013020524894,K7yBg2cy2,劝 美 国 —— UP主: 新华社快看#bilibili# 劝 美 国 —— (哔哩哔哩客户端下载 网页链接) 赞 ,,,,,2021-03-23,哔哩哔哩移动客户端,0,0,0,bilibili,
4618002579855653,K7ykpFlU9,台网友：希望大陆同胞多结交台湾朋友，但是不要结交年轻人…… UP主: 国防时报TV#bilibili# 台网友：希望大陆同胞多结交台湾朋友，但是不要结交年轻人…… (哔哩哔哩客户端下载 网页链接) 我妈不让我跟傻子玩，哈哈 ,,,,,2021-03-23,哔哩哔哩移动客户端,0,1,0,bilibili,
4616206722531389,K6NBSaCwR,中国大使提醒美国：走夜路唱歌给自己壮胆 其实没什么用 UP主: 小央视频#bilibili# 中国大使提醒美国：走夜路唱歌给自己壮胆 其实没什么用 (哔哩哔哩客户端下载 网页链接) 哈哈 ,,,,,2021-03-18,哔哩哔哩移动客户端,0,1,0,bilibili,
4613717793441427,K5KRtergT,《觉醒年代》第27集 捍卫主权拒签巴黎和约 电视剧觉醒年代的优酷视频 @优酷 小时候不懂鲁迅，感觉他的文章生涩难懂，现在在看都明白了，大爱鲁迅。 ,,,https://api.youku.com/videos/player/file?data=WcEl5oUuRdXhNVGd4TmpNMk1BPT18MHwxfDEwMDUwfDEO0O0O,,2021-03-12,优酷安卓手机客户端,0,0,0,,优酷
4613705227307916,K5KxcuF7C,《觉醒年代》第26集 威尔逊与日本秘密妥协 电视剧觉醒年代的优酷视频 @优酷 强烈推荐这部好剧，看的我热泪盈眶。 ,,,https://api.youku.com/videos/player/file?data=WcEl5oUuRdXhNVGd4TmpNMU5nPT18MHwxfDEwMDUwfDEO0O0O,,2021-03-11,优酷安卓手机客户端,0,0,0,,优酷
4613331158305398,K5ANRyQC2,"李国华委员：建议对996工作制进行监管 UP主: 新华社快看#bilibili# 李国华委员：建议对996工作制进行监管 (哔哩哔哩客户端下载 网页链接) 多到人民中间去看看，就老百姓挣这点钱，O__O""… ",,,,,2021-03-10,哔哩哔哩移动客户端,0,1,0,bilibili,
4611868470022006,K4YKH05IW,《觉醒年代》第23集 柳眉套出丰载背后阴谋 电视剧觉醒年代的优酷视频 @优酷 喜欢鲁迅、喜欢李大钊、喜欢毛爷爷。 ,,,https://api.youku.com/videos/player/file?data=WcEl5oUuRdXdNVFkxTVRRM05nPT18MHwxfDEwMDUwfDEO0O0O,,2021-03-06,优酷安卓手机客户端,0,0,0,,优酷
4611858303031241,K4YuicIyZ,《觉醒年代》第22集 徐世昌训斥孑民及北大 电视剧觉醒年代的优酷视频 @优酷 心情澎湃，泪流满面，这才是真正知识分子。 ,,,https://api.youku.com/videos/player/file?data=WcEl5oUuRdXdNVFkxTVRRNE1BPT18MHwxfDEwMDUwfDEO0O0O,,2021-03-06,优酷安卓手机客户端,0,0,0,,优酷
4603712008364476,K1yz6z5YU,你敢相信这是春晚节目吗 ? 看完之后震惊了 。这还是当年的那个春晚吗 太丑啦! UP主: 哈哈哈哈哈乌拉拉#bilibili# 你敢相信这是春晚节目吗 ? 看完之后震惊了 。这还是当年的那个春晚吗 太丑啦! (哔哩哔哩客户端下载 网页链接) ,,,,,2021-02-12,哔哩哔哩移动客户端,1,1,0,bilibili,
4602622512727206,K16dRbrtc,天天的和精神病似的 ,,,,,2021-02-09,OPPO R9s Plus,0,0,0,,
4601611199188266,K0FUHCyhQ,真是春天来了，今天穿绒衣好热。 ,,,,,2021-02-06,OPPO R9s Plus,0,0,0,,
4601394105689629,K0AgynS8d,是的，国家开始劝退买房了！ UP主: 大米饭的观点#bilibili# 是的，国家开始劝退买房了！ (哔哩哔哩客户端下载 网页链接) 美国印钱割韭菜，房地产泡沫，预防金融危机 ,,,,,2021-02-06,哔哩哔哩移动客户端,0,0,0,bilibili,
4600597217280311,K0fxfuxWn,前方高能！海军版《踏山河》震撼来袭 UP主: 人民海军#bilibili# 前方高能！海军版《踏山河》震撼来袭 (哔哩哔哩客户端下载 网页链接) 这歌还挺好听的 ,,,,,2021-02-03,哔哩哔哩移动客户端,0,0,0,bilibili,
4600596286407130,K0fvKqSMO,江西一财政局门前有人焚香祈福，工作人员老无奈了：拜这有啥用？ UP主: 时间要闻NEWS#bilibili# 江西一财政局门前有人焚香祈福，工作人员老无奈了：拜这有啥用？ (哔哩哔哩客户端下载 网页链接) 我的天哪!脑袋是不是被门夹了 ,,,,,2021-02-03,哔哩哔哩移动客户端,0,0,0,bilibili,
4600596025838742,K0fvkouVg,天下苦傻白甜久矣！愤怒吐槽祖传傻白甜的《风起霓裳》 UP主: 开心嘴炮#bilibili# 天下苦傻白甜久矣！愤怒吐槽祖传傻白甜的《风起霓裳》 (哔哩哔哩客户端下载 网页链接) 哈哈哈 ,,,,,2021-02-03,哔哩哔哩移动客户端,0,1,0,bilibili,
4599066821137798,JFzbc4LZA,#集福牛开福运# 开年惊喜~我收到了 @让红包飞 送我的#桃花好牛#福牛卡，离除夕分1亿的小目标又进了一步！集齐6种福牛卡，除夕分1亿，最高能赢2021元！收集新年好福运吧！#让红包飞# 快戳>> 新春集福牛 ,,,,,2021-01-30,红包活动,0,0,0,"集福牛开福运,桃花好牛,让红包飞",让红包飞
