id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4606458391432011,K2I0L60wX,#山东省博兴第一中学开学#高三了不正常吗？谁不是这么过来的？收费也是，哪有乱收费？这么多年了学费，住宿费不一直都这样吗，还有高三印试卷啥的还不能有文印费了，加起来交的费很正常啊。 ,,,,,2021-02-19,Android,0,0,0,山东省博兴第一中学开学,
4604882796937259,K231tt6Hh,#埃博拉##埃博拉# 疾病定义埃博拉病毒病是由埃博拉病毒感染引起的一种急性传染病。临床表现主要为突起发热、疲劳、肌肉疼痛、头痛、咽痛等非特异性症状，随后出现呕吐、腹泻、皮疹、肝肾功能受损症状以及内出血和外出血（如牙龈渗血、便中带血）等，平均病死率高达50%。该病目前尚无特效治疗方法，需加强预防、隔离处理。埃博拉病毒属于丝状病毒科，病毒呈长丝状体，直径大约为80~100nm，有脂质包膜，包膜上有由糖蛋白组成的突起。丝状病毒科为不分节段的单股负链RNA病毒，主要有三个种属：Cuevavirus属、马尔堡病毒属和埃博拉病毒属。埃博拉病毒属中，目前已有6个属种已得到确认：扎伊尔、本迪布焦、苏丹、塔伊森林、莱斯顿和邦巴里。除莱斯顿型对人不致病外，其余亚型感染后均可导致人发病。埃博拉病毒对热有中度抵抗力，在室温及4℃存放1个月后，感染性无明显变化，60℃灭活病毒需要1小时，100℃状态下5分钟即可灭活。该病毒对紫外线、γ射线、甲醛、次氯酸、酚类等消毒剂和脂溶剂敏感。流行病学流行特征埃博拉病毒病是在1976年同时暴发的两起疫情中首次出现的，一起在现在的南苏丹恩扎拉，另一起在刚果民主共和国扬布库，后者发生在位于埃博拉河附近的一处村庄，该病由此得名。埃博拉病毒疫情在非洲始终存在局部流行或暴发，主要在刚果民主共和国、刚果共和国、乌干达、加蓬、苏丹（南）、几内亚、利比里亚、塞拉利昂、尼日利亚、科特迪瓦、南非等非洲国家流行。2014~2016年在西非出现的疫情是最大且最复杂的埃博拉疫情，疫情首先在几内亚发生，通过陆路边界传到塞拉利昂和利比里亚，并最终传播至欧美国家。2018~2019年在刚果民主共和国东部再次暴发疫情。2020年6月1日，刚果民主共和国卫生部长隆贡多称该国赤道省首府姆班达卡暴发了新一轮埃博拉疫情，这是自1976年以来刚果民主共和国第11次发生埃博拉疫情。传染源埃博拉病毒病的传染源是被病毒感染的猴子、黑猩猩等灵长类动物，发生人际传播后，感染的患者成为主要传染源。传播途径主要传播途径是接触传播，通过密切接触到感染动物的血液、分泌物、器官或其他体液而传播。易感人群人类对埃博拉病毒普遍易感。,,,,,2021-02-15,Android,0,0,0,"埃博拉,埃博拉",
4596597499627953,JEwWpEoFz,北京冬奥会、冬残奥会筹办工作靠的是集中力量办大事 网页链接 ,,https://wx4.sinaimg.cn/large/008bx7OJly1gmxt1id02gj30460463yc.jpg,,,2021-01-23,Android,0,0,0,,
4587224719694822,JAB71EG46,“枫桥经验”助力法治社会建设 “枫桥经验”助力法治社会建设 ,,https://wx1.sinaimg.cn/large/008bx7OJly1gm3wl8b4igj30460463yc.jpg,,,2020-12-28,Android,0,0,0,,
4586877669093877,JAs5gC9Jr,“做尊法学法守法用法的模范”：坚持抓住领导干部这个“关键少数” 网页链接 ,,https://wx2.sinaimg.cn/large/008bx7OJly1gm2sqgbes8j30460463yc.jpg,,,2020-12-27,Android,0,0,0,,
4584981924684701,JzELCjEHH,坚持依法治国、依法执政、依法行政共同推进，法治国家、法治政府、法治社会一体建设 网页链接 ,,https://wx2.sinaimg.cn/large/008bx7OJly1glwr0f6t20j30460463yc.jpg,,,2020-12-22,Android,0,0,0,,
4584323917552073,JznEjvGDD,“推进全面依法治国的总抓手”：坚持建设中国特色社会主义法治体系 网页链接 ,,https://wx4.sinaimg.cn/large/008bx7OJly1glunfvl860j30460463yc.jpg,,,2020-12-20,Android,0,0,0,,
4583383491416110,JyZbv5Wou,我在#微博之夜#活动中，为朱婷投出了宝贵的1票！#年度热点人物#花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！#2021料你好运#！ ,,,,,2020-12-18,微博品牌活动,0,0,0,"微博之夜,年度热点人物,2021料你好运",
4583180773107091,JyTUxd2in,我在#微博之夜#活动中，为马龙投出了宝贵的1票！#年度热点人物#花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！#2021料你好运#！ ,,,,,2020-12-17,微博品牌活动,0,1,0,"微博之夜,年度热点人物,2021料你好运",
4582796586917974,JyJUSt1Ge,“全面推进依法治国，必须走对路”：坚持中国特色社会主义法治道路 网页链接 ,,https://wx1.sinaimg.cn/large/008bx7OJly1glps1106u0j30460463yc.jpg,,,2020-12-16,学习强国客户端,0,0,0,,
4582104162373196,JyrU49Xnm,以扎实工作推动全面依法治国落地生根 网页链接 ,,https://wx1.sinaimg.cn/large/008bx7OJly1glnki6prd0j3046046a9w.jpg,,,2020-12-14,学习强国客户端,0,0,0,,
4582104116239409,JyrTZqb9D,“这一论断抓住了党和法关系的要害”：坚持党对全面依法治国的领导 网页链接 ,,https://wx1.sinaimg.cn/large/008bx7OJly1glnkhxxgnsj30460463yc.jpg,,,2020-12-14,学习强国客户端,0,0,0,,
4580642014630008,JxPRLjqty,不断提升依法行政的水平 不断提升依法行政的水平 ,,https://wx4.sinaimg.cn/large/008bx7OJly1gliwkw54t4j30460463yc.jpg,,,2020-12-10,学习强国客户端,0,0,0,,
4580641968756350,JxPRGAJVs,读懂“人民”二字在法治社会建设中的分量 读懂“人民”二字在法治社会建设中的分量 ,,https://wx2.sinaimg.cn/large/008bx7OJly1gliwkfv1coj30460463yc.jpg,,,2020-12-10,学习强国客户端,0,0,0,,
4579912240076080,JxwSI0jN6,我国发展环境面临深刻复杂变化 网页链接 ,,https://wx4.sinaimg.cn/large/008bx7OJly1glgkrll24kj3046046a9w.jpg,,,2020-12-08,学习强国客户端,0,0,0,,
4579586896300757,JxopXqr77,决胜全面建成小康社会取得决定性成就 决胜全面建成小康社会取得决定性成就 ,,https://wx4.sinaimg.cn/large/008bx7OJly1glfjeg52kxj3046046wec.jpg,,,2020-12-07,学习强国客户端,0,0,0,,
4579173140013076,JxdEC03oU,教育研究 | 教育的初心与使命 网页链接 ,,https://wx3.sinaimg.cn/large/008bx7OJly1gle7vpr7pgj3046046a9w.jpg,,,2020-12-06,学习强国客户端,0,0,0,,
4578867212195923,Jx5Hb9dg7,“十四五”时期经济社会发展主要目标 网页链接 ,,https://wx4.sinaimg.cn/large/008bx7OJly1gld8qvsdwwj3046046a9w.jpg,,,2020-12-05,学习强国客户端,0,0,0,,
4578867178374160,Jx5H7z8v6,中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议 中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议 ,,https://wx4.sinaimg.cn/large/008bx7OJly1gld8qpzlawj30460463yc.jpg,,,2020-12-05,学习强国客户端,0,0,0,,
4578537963533389,JwX88ePc9,“十四五”时期经济社会发展主要目标 网页链接 ,,https://wx3.sinaimg.cn/large/008bx7OJly1glc6xkt65sj3046046a9w.jpg,,,2020-12-04,学习强国客户端,0,0,0,,
4578163742485778,JwNoyaqFc,加快转变政府职能 加快转变政府职能 ,,https://wx1.sinaimg.cn/large/008bx7OJly1glazyd92ygj3046046744.jpg,,,2020-12-03,学习强国客户端,0,0,0,,
4578163708921721,JwNouBqWJ,中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议 中共中央关于制定国民经济和社会发展第十四个五年规划和二〇三五年远景目标的建议 ,,https://wx4.sinaimg.cn/large/008bx7OJly1glazy5r9ugj30460463yc.jpg,,,2020-12-03,学习强国客户端,0,0,0,,
4577812771508943,JwEgt6kxN,二十国集团领导人利雅得峰会宣言 二十国集团领导人利雅得峰会宣言 ,,https://wx1.sinaimg.cn/large/008bx7OJly1gl9vn7razlj3046046744.jpg,,,2020-12-02,学习强国客户端,0,0,0,,
4576357151160843,Jw2oH4RZh,广西壮族自治区宣讲团到区直机关、靖西宣讲 广西壮族自治区宣讲团到区直机关、靖西宣讲 ,,https://wx4.sinaimg.cn/large/008bx7OJly1gl58gxcnusj3046046a9w.jpg,,,2020-11-28,学习强国客户端,0,0,0,,
4576357075917334,Jw2ozoPmS,兵团党委宣讲团在二师、六师、八师、十师、十二师宣讲 兵团党委宣讲团在二师、六师、八师、十师、十二师宣讲 ,,https://wx1.sinaimg.cn/large/008bx7OJly1gl58gkrnpgj3046046a9w.jpg,,,2020-11-28,学习强国客户端,0,0,0,,
4575224505569054,JvyVQnmLs,天津市委宣讲团成员宣讲党的十九届五中全会精神：努力在构建新发展格局中实现更大作为 网页链接 ,,https://wx3.sinaimg.cn/large/008bx7OJly1gl1mdy128oj30460463yc.jpg,,,2020-11-25,学习强国客户端,0,0,0,,
4574125736336212,Jv6lDqAkY,农业农村部发布“十三五”农业科技标志性成果 农业农村部发布“十三五”农业科技标志性成果 ,,https://wx2.sinaimg.cn/large/008bx7OJly1gky471uojoj3046046a9w.jpg,,,2020-11-22,学习强国客户端,0,0,0,,
