id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4632885426655944,KdNv0rVvW,#我是什么样子中国就是什么样子#中国会越来越好，我会越来越好[加油][加油][加油] ,,,,,2021-05-03,荣耀9i 千元潮美旗舰,1,0,0,我是什么样子中国就是什么样子,
4634768911630592,KeAuT6QbS,有人说下辈子做一只宠物猫，但是君不见，外面流浪猫那么多，还有人虐猫，你能保证你的运气好，然后遇到一个把你当家人的铲屎官吗？能确定不会被遗弃吗？相同的，你觉得买房子买车子是男人的事，你只要找个好老公就行了，你无需独立自强，你能保证你能遇到那种给你钱花还尊重你的好男人吗？ ,,,,,2021-05-09,荣耀9i 千元潮美旗舰,0,1,0,,
4634710334247034,KeyYphOQy,是不是现在三十了还没结婚的很多？而且连年呈递增趋势。。。玛德，不小心就走在了前沿，我觉得晚婚挺好的，成熟看待婚姻，看待人生，看待人性，也能做出成熟的选择。 ,,,,,2021-05-08,荣耀9i 千元潮美旗舰,0,0,0,,
4634691028124148,Keytgy5sE,还说我的字不好看，我特么还会写就不错了，写个日记我都遇到好多次字不知道怎么写，错别字都不知道多少，都是手机输入法太便利，让我退化了。 ,,,,,2021-05-08,荣耀9i 千元潮美旗舰,0,0,0,,
4634577920067977,KevwQ0hGp,如果你是对的，不要怕被孤立，历史会站在你这边。 ,,,,,2021-05-08,荣耀9i 千元潮美旗舰,0,0,0,,
4634199984180478,KelHghxx4,看到有人说，疫情让比尔盖茨夫妇离婚，我还比较认同这个原因，去年疫情让很多人都天天呆在家里，于是爆发很多问题，特别是夫妻，天天对着，要么容忍，要么爆发，年纪大了的人更是固执，看到好多父辈吵架都是这样。去年看到有新闻也报道过有不少夫妻因为天天在家而吵架离婚的。 ,,,,,2021-05-07,荣耀9i 千元潮美旗舰,2,0,0,,
4634183517082424,KelgHtIsE,#尼泊尔珠峰大本营17人确诊新冠# 那是不是珠峰也被污染了？病毒可以低温存储数月，上了珠峰的人是不是应该做核酸检测，并隔离，这是不是一个漏洞？ 西藏珠峰大本营海拔也在五千以上了，那里环境并不好，脸都不敢洗，风呼呼作响，晚上睡觉都得盖好多被子，不适合防疫人员驻扎，爬山的人们克制一下，目前别再去了，否则感染了，然后再回到拉萨人多的地方，后果不敢想象,,,,,2021-05-07,荣耀9i 千元潮美旗舰,0,0,0,尼泊尔珠峰大本营17人确诊新冠,
4633994643377828,Kegm4eaJ6,#原来化妆品也有高原反应#何止化妆品有，我们吃的小零食，真空小包装的那种，到了青海就直接鼓起来了，充饱了气 ,,,,,2021-05-06,荣耀9i 千元潮美旗舰,6,1,0,原来化妆品也有高原反应,
4633897016492792,KedOBrf4s,看过去的矫情，成了现在的难为情，但是当时就是这样的感受啊 ,,,,,2021-05-06,荣耀9i 千元潮美旗舰,0,0,0,,
4633671150338400,Ke7Wj1q24,大晚上的，笑得我把外面的感应灯都刷亮了，哈哈哈哈，差点惊醒外面的麻雀or 燕子 ,,,,,2021-05-06,荣耀9i 千元潮美旗舰,0,0,0,,
