id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4631416904615516,KdbiqjmHO,我刚使用会员特权送给了@阿云嘎Musical 1朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！阿云嘎Musical已收到139236朵花 ,,,,,2021-04-29,明星势力榜鲜花,0,0,0,,阿云嘎Musical
4630912886899089,KcYbusWLD,我刚使用会员特权送给了@阿云嘎Musical 1朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！阿云嘎Musical已收到139236朵花 ,,,,,2021-04-28,明星势力榜鲜花,0,0,0,,阿云嘎Musical
4630395725547476,KcKJmnh9q,阿云嘎差点忘了付尾款 @红门雅顿 @阿云嘎Musical ,,"https://wx2.sinaimg.cn/large/007ILPNJly1gpxmoy21e7j30u01t0avv.jpg,https://wx4.sinaimg.cn/large/007ILPNJly1gpxmozchn7j30u01t0e1u.jpg",,,2021-04-27,阿云嘎超话,1,4,0,,"红门雅顿,阿云嘎Musical"
4629948561883815,Kcz687U47,我刚使用会员特权送给了@阿云嘎Musical 1朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！阿云嘎Musical已收到139236朵花 ,,,,,2021-04-25,明星势力榜鲜花,0,0,0,,阿云嘎Musical
4629577240150679,Kcpre0Dcj,我刚使用会员特权送给了@阿云嘎Musical 1朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！阿云嘎Musical已收到139236朵花 ,,,,,2021-04-24,明星势力榜鲜花,0,0,0,,阿云嘎Musical
4628850355209314,Kc6wPlRbc,#伊丽莎白雅顿品牌护肤大使阿云嘎# 雅顿的面霜和精华都很适合我 @阿云嘎Musical @红门雅顿 ,,https://wx3.sinaimg.cn/large/007ILPNJgy1gpsp7tw3tqj30u01t0hdt.jpg,,,2021-04-22,阿云嘎超话,3,8,0,伊丽莎白雅顿品牌护肤大使阿云嘎,"阿云嘎Musical,红门雅顿"
4627842031158732,KbGiv4Rre,我刚使用会员特权送给了@阿云嘎Musical 1朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！阿云嘎Musical已收到139236朵花 ,,,,,2021-04-19,明星势力榜鲜花,0,0,0,,阿云嘎Musical
4623043131609433,K9Fsl6KGB,#sephora collection中国区卸妆代言人阿云嘎# 虽然基本不化妆，不过防晒还是要卸的 @阿云嘎Musical @丝芙兰SEPHORA ,,"https://wx2.sinaimg.cn/large/007ILPNJgy1gpa69s4yq0j30u01t0k8r.jpg,https://wx3.sinaimg.cn/large/007ILPNJgy1gpa69soszsj30ku0rstiz.jpg",,,2021-04-06,阿云嘎超话,4,25,0,sephora collection中国区卸妆代言人阿云嘎,"阿云嘎Musical,丝芙兰SEPHORA"
4608645361568938,K3CU86A9s,#阿云嘎在远方# 这是我看的第一场，文笔不行的我本来不想写repo，想着剧组可能会想看到观众的反馈还是简单说一点。剧情：总体流畅通顺，逻辑合理。无数次把观众逗笑，又数次让人感动得热泪盈眶。节奏：这个可能跟个人喜好有关。虽说一些温情的戏份可以对后面的情感发展作铺垫，但因为剧只有两个小时，有些情节譬如下半场二叔说要跟着姚远去西南感觉可以演得更紧凑一些，现在节奏有点太慢了。歌：真的很好听。比我看的绝大部分音乐剧都要好听。演员：演技唱功舞蹈都在线。舞美：设计得相当不错，对情节展开有很好的辅助作用。其他：服装可以根据演出地点作调整。广州太热了，我们穿短袖，演员们要穿冬装，太难受了。高光时刻：二叔去世之后姚远的唱段，听哭了，情感表达太完美了。阿云嘎yyds！还有一个小细节，姚远被刘云天打倒踢到桌子下面，虽然桌子不是很高但还是担心。我不知道这个情节以前有没有。如果以后的场次都保留这个情节希望嘎嘎能做好防护措施保护好自己。这场虽然没有亲亲，但姚远和晓鸥还是很甜，甜得冒粉红泡泡 @阿云嘎Musical @广州大剧院 @京演集团,,https://wx3.sinaimg.cn/large/007ILPNJgy1go08nuk2uij32tc2404qq.jpg,,,2021-02-26,阿云嘎超话,67,19,4,阿云嘎在远方,"阿云嘎Musical,广州大剧院,京演集团"
4603542390969792,K1u9x44hO,#李佳琦千万红包犇新年#好运来袭~感谢@人民日报 和@李佳琦Austin 联手送我的暖心拜年红包！快来领走属于你的千万现金红包，一起温暖过大年人民日报 的红包 ,,,,,2021-02-11,粉丝红包,0,0,0,李佳琦千万红包犇新年,"人民日报,李佳琦Austin"
4595229279654906,JDXlBEvGi,#阿云嘎粉丝等你开个唱# 为什么黑胶唱片的签名是签在塑胶袋外面的，感觉我手指一摸就蹭掉了 ,,"https://wx4.sinaimg.cn/large/007ILPNJgy1gmtfruuhgrj32kk240e82.jpg,https://wx3.sinaimg.cn/large/007ILPNJgy1gmtfrxqucrj32tc2407wj.jpg,https://wx3.sinaimg.cn/large/007ILPNJgy1gmtfryu0lyj32tc240npe.jpg,https://wx3.sinaimg.cn/large/007ILPNJgy1gmtfrzrntrj32tc240npe.jpg,https://wx1.sinaimg.cn/large/007ILPNJgy1gmtfsu7sutj32tc2407wi.jpg,https://wx4.sinaimg.cn/large/007ILPNJgy1gmtfsuvtghj32tc240e81.jpg",,,2021-01-19,阿云嘎超话,37,27,1,阿云嘎粉丝等你开个唱,
