id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4477436944976431,IwuuikSB1,我最近画的全国驰援湖北抗疫一线致敬小漫画完整版，画的排名不分先后，万众一心，必胜！[加油][加油][加油][加油] ,,"https://wx3.sinaimg.cn/large/6c0497b3ly1gcdnmqrfr9j2128172k8s.jpg,https://wx2.sinaimg.cn/large/6c0497b3ly1gcdnms9t6pj21fg22wnpd.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1gcdnmu0xuyj21fk334npe.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1gcdnmvefffj21981ek1kx.jpg,https://wx2.sinaimg.cn/large/6c0497b3ly1gcdnmw54v3j21mw0mgkgl.jpg,https://wx2.sinaimg.cn/large/6c0497b3ly1gcdnmxigajj22qg17wqv5.jpg,https://wx1.sinaimg.cn/large/6c0497b3ly1gcdnmyjamuj21f41s4e81.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gcdnn22rw2j21fg2j4npd.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1gcdnn3pyfcj22ts1dsx6p.jpg",,,2020-02-29,微博国际版,26275,3764,11047,,
4633805128993588,KebqoBJDS,昨天大家出来速写下。这里漫画其中一幕。 杭州 ,,"https://wx2.sinaimg.cn/large/6c0497b3gy1gq8i8frgnqj21po29gqv5.jpg,https://wx3.sinaimg.cn/large/6c0497b3gy1gq8i8h7ynaj22bc3341kz.jpg,https://wx3.sinaimg.cn/large/6c0497b3gy1gq8i8kmebxj22bc3341l0.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gq8i8luvzsj21jo2gkhdu.jpg,https://wx2.sinaimg.cn/large/6c0497b3gy1gq8ib30tr2j22bc334u11.jpg",,杭州,2021-05-06,vivo Z5全面实力派,18,2,0,,
4632730891194809,KdJtL50P7,不久前到杭州的画外桐坞这景点采风，很喜欢这个门，古朴不失传统美感，按自己感觉画一个。#五一云出游##水彩# 杭州 ,,https://wx3.sinaimg.cn/large/6c0497b3gy1gq52tiqxbfj21bc274e84.jpg,,杭州,2021-05-03,vivo Z5全面实力派,22,9,0,"五一云出游,水彩",
4632111418183635,KdtmBykW7,#西藏冒险王排除他杀#得知官宣，还是很难过，致敬这位冒险亲力亲为带给大家看西藏冰川，并为大家科普冰川知识还有高原稀有植物，感谢！还提倡保护环境保护冰川的勇士，在手账本上小小画了一幅他和他热爱的冰川。#画笔的力量# 手账本为@马蒂尼美术馆 的品牌。 杭州 ,,https://wx1.sinaimg.cn/large/6c0497b3gy1gq35fro5o0j21og2hk4qr.jpg,,杭州,2021-05-01,vivo Z5全面实力派,12,0,1,"西藏冒险王排除他杀,画笔的力量",马蒂尼美术馆
4631452636152753,Kdce3pOBX,#印度疫情#印度最近新冠疫情严重，缺氧严重。4月26日起，我国开始支援印度抗疫制氧机，用漫画记录下。#中国已向印度提供超2万台制氧机# 杭州 ,,https://wx1.sinaimg.cn/large/6c0497b3gy1gq108q5iwpj20u00y1wma.jpg,,杭州,2021-04-29,vivo Z5全面实力派,30,8,2,"印度疫情,中国已向印度提供超2万台制氧机",
4626623263934125,KbaAKgvrD,#杭州人搜索新冠疫苗最积极#，昨天我刚打完新冠疫苗2剂的第一针，经过一天一夜后，感觉挺好，没有啥不良反应（一扫曾经的顾虑，妥妥的，让我很期待接下来的第二针顺利打上)，我觉得大家都可以放心预约打新冠疫苗啦。因此为纪念第一次打新冠疫苗的经历，特用画笔记录下来，做个纪念，感谢国家保护着我们的健康，不知大家预约上了吗？打了吗？#防疫# 杭州,,"https://wx4.sinaimg.cn/large/6c0497b3gy1gpll8ungo9j20u10u0jx1.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gpll8vbt2gj20u00x7wjc.jpg,https://wx3.sinaimg.cn/large/6c0497b3gy1gpll8w50udj20u0130k10.jpg,https://wx1.sinaimg.cn/large/6c0497b3gy1gpll8wnvd5j219c0u0td1.jpg,https://wx2.sinaimg.cn/large/6c0497b3gy1gpll8x8lh0j20u00vdq8r.jpg,https://wx2.sinaimg.cn/large/6c0497b3gy1gpll8ynomhj21650u0gvt.jpg",,杭州,2021-04-16,vivo Z5全面实力派,42,25,4,"杭州人搜索新冠疫苗最积极,防疫",
4623766553102637,K9Yh9d18x,#唱给武汉的英雄赞歌#用自己画来谱写赞歌，致武汉这座英雄之城，庆贺以及纪念武汉解封一周年，涅槃浴火重生的凤凰，未来会更好 杭州 那那手绘的微博视频 ,,,"https://f.video.weibocdn.com/A3usHAO0lx07LJdJPGkw01041200jcWq0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620526488&ssig=MOlYaFhJ5X&KID=unistore,video",杭州,2021-04-08,微博视频号,26,8,1,唱给武汉的英雄赞歌,
4623728690860056,K9Xi53BJS,#武汉解封1周年#今画幅画庆贺并纪念湖北武汉解封一周年，愿这座英雄之城越来越好，人民幸福安康！附上去年这个时候画过的全国庆贺湖北武汉解封图#想对武汉说什么# 杭州 ,,"https://wx3.sinaimg.cn/large/6c0497b3ly1gpccxie3baj23jd2h5b2c.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1gpccxk39h5j21fm23w4qr.jpg",,杭州,2021-04-08,vivo Z5全面实力派,51,21,9,"武汉解封1周年,想对武汉说什么",
4623709778481628,K9WNzzAss,#武汉重启一周年#武汉这个城市在前年军运会之前给我的印象只是一个地名而已，一个很陌生的地方，没有怎么关注它过，而因为军运会开始注意到武汉这座城市，再来就是2020年初那场惊天动地的抗疫，让我深刻的记住它！英雄的城市，当之无愧！愿这座城和人民越来越好，幸福安康！而我想未来能有机会去武汉看看这座我曾深深关注过被其感动的英雄之城，去品尝下当地的特色美食，想到当地说声“武汉，你好！”今画一幅纪念与庆贺武汉重启一周年献上。再附上去年庆贺解封画的那幅庆贺图和当初记录大家一起驰援湖北的集体图 杭州 杭州 杭州 杭州,,"https://wx2.sinaimg.cn/large/6c0497b3gy1gpdo9sowzzj20u0184thp.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gpdo9tq81kj218j0u0wu2.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gpdo9uenzmj21te0ok1ej.jpg",,杭州,2021-04-08,vivo Z5全面实力派,102,49,22,武汉重启一周年,
4622711748038366,K9wPQxJ94,#云南疫情最新通报##瑞丽3地升为高风险# 发个漫画，为云南瑞丽（柚子)加油！众志成城！抗疫必胜！  那那手绘的微博视频 杭州 ,,,"https://f.video.weibocdn.com/YDSXWElplx07LEzTp0JO0104120064lN0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620526489&ssig=v3Qkwl4oby&KID=unistore,video",杭州,2021-04-05,微博视频号,42,2,2,"云南疫情最新通报,瑞丽3地升为高风险",
4622579475944826,K9tovoWwi,#云南新增15例确诊#近日得知柚子有小疫情，得知因抗疫工作有遇到外语沟通问题，从而有不少缅语翻译志愿者加入，为抗疫工作早日胜利出份力，抗疫工作者辛苦啦！今特为柚子画幅抗疫漫画加油！ 杭州 ,,https://wx3.sinaimg.cn/large/6c0497b3gy1gp8ojl7j7kj22bc334qv7.jpg,,杭州,2021-04-05,vivo Z5全面实力派,54,14,1,云南新增15例确诊,
4622270284695313,K9llOjHsR,#清明#用画缅怀先烈们，同时致敬所有坚守和奉献的人们，他们诠释了英雄的真正含义，记住那些闪亮的名字！致敬最可爱的人们🙏#永远记住你# 杭州 ,,"https://wx2.sinaimg.cn/large/6c0497b3ly1gp7pf9bxrpj21h525db2a.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gp7pfcqi6pj21jv27o000.jpg",,杭州,2021-04-04,vivo Z5全面实力派,81,9,9,"清明,永远记住你",
4621989560716904,K9e3230uY,#永远记住你#缅怀在去年我国战疫里牺牲抗疫英雄们，如今我国已经自主研发成功新冠疫苗了，也开始要普及全民打疫苗防疫啦，而我国战疫防疫成果也很好，可以告慰已逝的抗疫英雄们了！今画一幅漫画致敬，缅怀。#画笔的力量# 杭州 ,,"https://wx2.sinaimg.cn/large/6c0497b3ly1gp6t2xb7kxj21w01zvb2b.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1gp6t2yqxtuj21hl24ikjn.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gp7ivab50pj21jv27o000.jpg",,杭州,2021-04-03,vivo Z5全面实力派,74,14,11,"永远记住你,画笔的力量",
4621249835959202,K8UNVp0ga,#王伟牺牲20周年#感谢您深沉的爱，感恩您，用画致敬我们的海空卫士，护国英雄——王伟我们等您回家#永远记住你# #画笔的力量#   那那手绘的微博视频 杭州 ,,,"https://f.video.weibocdn.com/UZ9gGBXalx07Ly8Xqvew01041200euCj0E010.mp4?label=mp4_720p&template=720x1308.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620526489&ssig=0FOeledTMi&KID=unistore,video",杭州,2021-04-01,微博视频号,82,18,13,"王伟牺牲20周年,永远记住你,画笔的力量",
4621158719423280,K8SqXDxqo,#王伟牺牲20周年#原来您还没回家！81192！深沉的爱，护国英雄！感恩您！愿您早日回家！今画一幅画，致敬翱翔在蓝天上的英雄，王伟（得知英雄他生前还希望祖国早点拥有航母的梦想，我也特加画了航母在画中右侧)#81192我们等你回家# #永远记住你# #画笔的力量# 杭州 ,,https://wx2.sinaimg.cn/large/6c0497b3ly1gp488rtsaoj21mv2e7e83.jpg,,杭州,2021-04-01,vivo Z5全面实力派,174,41,26,"王伟牺牲20周年,81192我们等你回家,永远记住你,画笔的力量",
4619004016854966,K7YnDsLhY,#新疆半年拿出近300万吨棉花战疫#支持我国新疆棉花！画个漫画图说新疆棉花的用途和贡献，新疆棉花真的很不错！#我支持新疆棉花##新疆雪白的棉花# 杭州 ,,"https://wx1.sinaimg.cn/large/6c0497b3ly1goxabeq7v4j21fl2hjkjn.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1goxabfwzomj21so21m1kz.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1goxabgu4lgj21oy2dyu0y.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1goxabimdkkj21rj2g3b2b.jpg,https://wx4.sinaimg.cn/large/6c0497b3ly1goxabjxyi3j21k42d7x6q.jpg",,杭州,2021-03-26,vivo Z5全面实力派,68,24,8,"新疆半年拿出近300万吨棉花战疫,我支持新疆棉花,新疆雪白的棉花",
4618744410670939,K7RCV2OxB,#三星堆# #三星堆金器运用有多先进# 我来画个三星堆溯源猜想系列漫画。根据《蜀王本纪》和《华阳国志》来……#三星堆遗址发现绝美黄金面具# 杭州 ,,https://wx4.sinaimg.cn/large/6c0497b3ly1gowghkzxtuj21is269kjm.jpg,,杭州,2021-03-25,vivo Z5全面实力派,35,15,3,"三星堆,三星堆金器运用有多先进,三星堆遗址发现绝美黄金面具",
4616462793183836,K6UgTdmgc,#暴雨致杭州市区多处积水#记录身边事今晨杭城大雨，要送娃去上学时，走到小区的一大门口处发现那有不小的区域积水了，我和孩子尽量挨着路边高处走，但还是逃不过水深地区，我的鞋还能防点水，孩子的运动鞋浅水的地方还可以，但这水深的实在过不了啊，一脚下去怕是都要进水湿透了，又怕时间来不及学校迟到影响，正在我们犯难时，还好被小区一保安看到了，他刚好穿着雨鞋，立马说他可以帮忙抱孩子过这个水洼，然后就很快过来抱起孩子过去，我心里非常感谢[合十]，特画下来记录，感谢这位热心肠的“活雷锋”。凭记忆所画，当时情况太紧急，雨太大，没空掏手机去拍，只能凭借记忆画成小漫啦。@杭州日报 @杭州微博城事 @乐活在杭州 杭州@杭州电视台综合频道 @钱江晚报 杭州,,https://wx4.sinaimg.cn/large/6c0497b3ly1gop6hi02zvj21fy23i1kz.jpg,,杭州,2021-03-19,vivo Z5全面实力派,51,7,2,暴雨致杭州市区多处积水,"杭州日报,杭州微博城事,乐活在杭州,杭州电视台综合频道,钱江晚报"
4614937882135471,K6gBm8Xx5,这两天看新闻湖北武汉的樱花之约圆满🙏，其中几个画面我被感动到了，那种重逢的喜悦，曾经的战友、病患之间那种情感。因此将看到的感动画下来。以下真实照片来自@长江日报 和@封面新闻 和武汉广电的新媒体视频截图。还有个人网图。#樱花之约# 杭州 ,,"https://wx3.sinaimg.cn/large/6c0497b3gy1gokb5kjmj6j20pg0r3x1t.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gokb5msneij21t62iou10.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gokb5nua1aj20mf0xb7wh.jpg,https://wx3.sinaimg.cn/large/6c0497b3gy1gokb5ogsqkj20ja0hd17f.jpg,https://wx1.sinaimg.cn/large/6c0497b3gy1gokb5re4tjj20hq0htdwj.jpg,https://wx4.sinaimg.cn/large/6c0497b3gy1gokb5wkynrj21lg2fq1l1.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gordk6jwr8j20ox12f7qf.jpg,https://wx1.sinaimg.cn/large/6c0497b3ly1gordk8k9jdj227k318b2c.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gordkautb8j225g2ucb2b.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1gordkbjcwzj20l30gmdwm.jpg,https://wx2.sinaimg.cn/large/6c0497b3ly1gordkcqtssj21o91schdv.jpg",,杭州,2021-03-15,vivo Z5全面实力派,44,9,3,樱花之约,"长江日报,封面新闻"
4614771184507644,K6cguiUDW,#援鄂医护武汉重逢后说得最多的一句话#这两天看到援鄂医护们返汉和武汉人们在樱花树下重逢欢喜相拥的新闻，感动而画#抗疫英雄#  那那手绘的微博视频 （里面有个字写错，后在新发的图片版那已修改好） 杭州 ,,,"https://f.video.weibocdn.com/n1aNWDxClx07L5D4pg4001041200vHxI0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620526490&ssig=TN3splkMJV&KID=unistore,video",杭州,2021-03-14,微博视频号,47,12,1,"援鄂医护武汉重逢后说得最多的一句话,抗疫英雄",
4613919836738726,K5Q7lsh38,#赘婿#剧追完了，最遗憾的就是老耿（扮演者王成思） 带着遗憾走了，还没等到他的杨妈妈，还没等到宁毅许诺给他开的饭庄，他还没写完他的小说……宁毅@郭麒麟 也是感到特遗憾，多么希望老耿能复活……#郭麒麟# （我给宁毅手里加个大皮蛋，最近追剧后受影响，连续吃了几天午餐——皮蛋瘦肉粥，有没一样的举个手） 杭州,,https://wx1.sinaimg.cn/large/6c0497b3ly1goh2dqh7r8j20w41bi7wh.jpg,,杭州,2021-03-12,vivo Z5全面实力派,158,36,24,"赘婿,郭麒麟",郭麒麟
4611377802512289,K4LZiaxyN,#宋轶心疼苏檀儿#刚有人看了我发的漫画视频后建议我把三幅原画也发出来，好吧，那就把这三幅最搞笑片段也发出来，漫画里除了有吉吉国王苏家二房的苏文兴@刘冠麟 ，还有他爸，还有宁毅@郭麒麟 和苏檀儿@宋轶xiaoyiyi，你能认出来吗？ 杭州 ,,"https://wx2.sinaimg.cn/large/6c0497b3ly1go8yej1wyqj21zg2qox6r.jpg,https://wx1.sinaimg.cn/large/6c0497b3ly1go8yejybdsj20sg0uonnp.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1go8yelidyej226g2xcx6r.jpg",,杭州,2021-03-05,vivo Z5全面实力派,34,16,3,宋轶心疼苏檀儿,"刘冠麟,郭麒麟,宋轶xiaoyiyi"
4611357695807900,K4LsRomTO,#宋轶心疼苏檀儿#近日看《赘婿》太可乐了，特别是苏家二房少爷（网友称他为吉吉国王)和陆红提之间的故事，里面我把那段情景里出现的宋轶和郭麒麟等人画成漫画放一起了。共三幅，凑完整版。大家能认出哪个是宋轶，哪个是郭麒麟吗#赘婿##被吉吉国王笑死#  那那手绘的微博视频 杭州 ,,,"https://f.video.weibocdn.com/Thj6qZUKlx07KQBxenGo01041200JOPb0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620526490&ssig=YN4zOJ7wce&KID=unistore,video",杭州,2021-03-05,微博视频号,202,34,19,"宋轶心疼苏檀儿,赘婿,被吉吉国王笑死",
4610718224351465,K4uPsig0V,#春天最有生活感的瞬间##三月你好# 画自己插的瓶花 画画 杭州 ,,"https://wx1.sinaimg.cn/large/6c0497b3ly1go6uqc605dj21y0334hdv.jpg,https://wx2.sinaimg.cn/large/6c0497b3ly1go6uqd6el9j23342bchdu.jpg,https://wx1.sinaimg.cn/large/6c0497b3ly1go6uqe72mij23342bcu0y.jpg,https://wx3.sinaimg.cn/large/6c0497b3ly1go6vx0lpt8j22bc3341kz.jpg",,杭州,2021-03-03,vivo Z5全面实力派,18,0,1,"春天最有生活感的瞬间,三月你好",
4609660679626659,K43jJEokH,#人民日报评爱国者达叔永远都是主角#今天做梦梦到达叔了，忘不了他带给我们的曾经的回忆，也不知如何描绘才好，心里致敬他🙏，永远的达叔 杭州 ,,https://wx1.sinaimg.cn/large/6c0497b3ly1go3h9wklbkj229o2q8qv7.jpg,,杭州,2021-02-28,vivo Z5全面实力派,77,9,5,人民日报评爱国者达叔永远都是主角,
