id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4473660368747461,IuUf2AHC5,#雨水# #武汉加油# 经历了这场疫情，看开了很多，余生不想和任何人争辩，哪怕你说1+1＝7，都会一笑而过。这一年才刚开始，好像全世界都在提醒你学会珍惜，我们总以为来日方长，却忘了世事无常！生命短暂！且行且珍惜！一场病毒，人们的认知发生了彻底的改变，发现最大的竞争力不是学历，也不是能力，更不是财力，而是免疫力。[加油][加油]🙏🙏 转——NOTHING  WRONG @QQ音乐 武汉·翠微品墅 武汉·翠微品墅,,"https://wx3.sinaimg.cn/large/3e2f991fly1gc1lv4scfnj21ho1zkqv8.jpg,https://wx2.sinaimg.cn/large/3e2f991fly1gc1lv0xrjpj21ho1zk4qu.jpg,https://wx2.sinaimg.cn/large/3e2f991fly1gc7qmipk9rj21ho1zk4qt.jpg,https://wx4.sinaimg.cn/large/3e2f991fly1gc7qmlog5pj21ho1zkhdx.jpg,https://wx4.sinaimg.cn/large/3e2f991fly1gc7qmmhejij20u00ujaem.jpg,https://wx3.sinaimg.cn/large/3e2f991fly1gc7qmnnzw7j22c0340e83.jpg,https://wx3.sinaimg.cn/large/3e2f991fly1gc7qmp1jtcj22c03401kz.jpg,https://wx1.sinaimg.cn/large/3e2f991fly1gc7qmzqkhaj20u014042x.jpg,https://wx1.sinaimg.cn/large/3e2f991fly1gc7qn05yvej22c0340hdt.jpg",https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/001vssPngx07Bd0mDipp0f0f0100eC9Z0k01.mov;https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/002ZnlhDgx07Bd0mzse40f0f0100bnLC0k01.mov;https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/000CO7uggx07Bd0mKSgU0f0f0100gtWW0k01.mov,武汉·翠微品墅,2020-02-19,自由自在的iPhone X,1410,126,145,"雨水,武汉加油",QQ音乐
4634632563724812,KewWYfCZC,余枫#出场必出彩# 《无缘》，一首清新的R&B情歌，余枫用妹子风来概括，不得不说总结的确实精准到位，温柔却有力量的演唱，犹如夏日里喝的🍊味汽水，酸酸甜甜却有着一丝不服气，又是一首经过他翻唱爱上的歌曲。 郁郁那一片的微博视频 ,,,"https://f.video.weibocdn.com/bqkztMerlx07Mv2WDJfq01041201ctN20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620493550&ssig=IAH0xJvAu1&KID=unistore,video",,2021-05-08,余枫超话,2,1,0,出场必出彩,
4630246269387847,KcGQiDocT,余枫 #收藏爱豆的闪光时刻# 这首周品的《身后》，我唯一想到的一个词，就是“太好听”！我想大家听到这首歌的表情都是这样婶的吧，可以参造连麦的那位学生。反正简单粗暴直击心灵，这样的演唱才是完美的。 郁郁那一片的微博视频 ,,,"https://f.video.weibocdn.com/e6nAoDOClx07MbJYYoU0010412022jgF0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620493550&ssig=3zF0KraZ17&KID=unistore,video",,2021-04-26,余枫超话,17,8,4,收藏爱豆的闪光时刻,
4621086568222273,K8QyAyuZj,我刚使用会员特权送给了@余枫要做活神仙 3朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！余枫要做活神仙已收到53986朵花 ,,,,,2021-04-01,明星势力榜鲜花,0,0,0,,余枫要做活神仙
4616865734987314,K74KNkVqy,余枫#出场必出彩# 这首《别问很可怕》被追求完美的余枫笑说成翻车之作，而我却觉得这是他唱的最好听的一首R&B，在被两位好声音大神级歌手自由，随性的歌曲演绎中，听众也听的无比过瘾，不知不觉让你深陷其中，太爱了！今天#春分# ，向阳而生，自然春暖花开。 郁郁那一片的微博视频,,,"https://f.video.weibocdn.com/uiZvYJtdlx07LeQAVS6k01041200VcBJ0E010.mp4?label=mp4_720p&template=720x1556.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BThihd3VLAY5R&Expires=1620493598&ssig=7szyi0CAGy&KID=unistore,video",,2021-03-20,余枫超话,10,2,2,"出场必出彩,春分",
4616796110326208,K72Wv1mRq,2021年3月19日，分享一首歌。 UP主: 共青团中央#bilibili# 2021年3月19日，分享一首歌。 (哔哩哔哩客户端下载 网页链接) ,,,,,2021-03-20,自由自在的iPhone 12(绿色),0,1,0,bilibili,
4616495970387526,K6V8p1COq,赵立坚 赵哥年轻时的颜值也太可了吧。 ,,https://wx1.sinaimg.cn/large/3e2f991fgy1gopacm3ty6j20wi1yc7wn.jpg,,,2021-03-19,赵立坚超话,6,0,0,,
4615733000275518,K6BhO19FQ,余枫#出场必出彩# 一起合作对方的比赛成名曲，这首《昨夜小楼又东风》，余枫等了三天我们也有耳福了。 郁郁那一片的微博视频 ,,,"https://f.video.weibocdn.com/nsjypzA8lx07L9Ru7iHm01041201d6wD0E010.mp4?label=mp4_720p&template=720x1556.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620493597&ssig=ie3lRKZLFj&KID=unistore,video",,2021-03-17,余枫超话,18,12,11,出场必出彩,
4615380393792955,K6s75fUIH,余枫 #出场必出彩# 做为7年前因为余枫一首《Back at one》入坑的老粉，审美疲劳是不存在的，因为咱们枫宝每次唱都会改啊，315这一天他又真实的跟江源东玩了一把，反正我觉得这是史上最温柔的一版了吧。 郁郁那一片的微博视频 ,,,"https://f.video.weibocdn.com/aWTb1YwVlx07L8jh5LHy01041201evwF0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620493598&ssig=vG87hM7WLo&KID=unistore,video",,2021-03-16,余枫超话,18,8,8,出场必出彩,
4614916445307188,K6g2MmgDO,我刚使用会员特权送给了@余枫要做活神仙 2朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！余枫要做活神仙已收到53986朵花 ,,,,,2021-03-15,明星势力榜鲜花,0,0,0,,余枫要做活神仙
