id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634270934765053,KenxHjZBH,福建省考求求笔试第二名，国考上岸吧🙏🙏🙏🙏🙏我是真的怕被逆袭。 ,,,,,2021-05-07,福建省考超话,0,0,0,,
4619497221392724,K8bd85Qji,福建省考求早点出成绩，让我死心。 ,,,,,2021-03-27,福建省考超话,1,1,0,,
4619329558287806,K86QHyM2i,福建省考今年还是最菜的那只 ,,,,,2021-03-27,福建省考超话,0,0,0,,
4619069221766224,K804O7ptu,福建省考希望今年我不是最菜的那只。 ,,,,,2021-03-26,福建省考超话,0,0,0,,
4610949057348296,K4APLuPCU,#捷克总统请求中国提供新冠病毒疫苗#我觉得可以提供，给个12折的优惠价。 ,,,,,2021-03-04,小米MIX2S 全面屏,1,0,0,捷克总统请求中国提供新冠病毒疫苗,
4597262687406882,JEOfiv4RQ,#八小时工作制#为自己和家人努力工作赚钱，叫做奋斗。为老板免费加班叫傻逼 ,,,,,2021-01-25,小米MIX2S 全面屏,0,0,0,八小时工作制,
4592306608676961,JCJjCApgZ,#罗聪说自己比许嵩红#啥时候，抖音火就代表一个歌手红呢？ 许嵩的歌要是都是在短视频诞生的，就没你罗聪啥事了 ,,,,,2021-01-11,小米MIX2S 全面屏,0,0,0,罗聪说自己比许嵩红,
4579913250380961,JxwUl1B6x,中国邮政弱弱的问一下，国企面试不去，会记入诚信档案吗？ ,,,,,2020-12-08,中国邮政超话,0,4,0,,
4575578134937997,JvI8dkIB7,中国邮政福建面试通知发了，在犹豫要不要去，有谁能告诉我福建邮政的待遇吗？ ,,,,,2020-11-26,中国邮政超话,5,15,0,,
4574130530158613,Jv6tn0Fgh,福建事业单位考试请问，啥时候能知道成绩。让我早点死心。 ,,,,,2020-11-22,福建事业单位考试超话,2,8,0,,
4573247968643184,JuJvSAguc,中国邮政12号福建邮政的考试，有人收到面试通知吗？ ,,,,,2020-11-20,中国邮政超话,0,2,0,,
4553493660832099,JmrC63usX,上天啊，弟子诚心祈祷🙏🙏🙏保佑弟子福建省漳州市2020年9月5号事业单位招聘考试成绩能够成为岗位第一名。弟子恳求上天给我一次上岸的机会吧 ,,"https://wx3.sinaimg.cn/large/007SRTv4gy1gj4amqrrl6j30u01o0jsz.jpg,https://wx2.sinaimg.cn/large/007SRTv4gy1gj4amrgddbj30c80lrmyy.jpg,https://wx3.sinaimg.cn/large/007SRTv4gy1gj4amrsyhsj30jg0elmxd.jpg,https://wx2.sinaimg.cn/large/007SRTv4gy1gj4amsbfm6j30iw0juq3j.jpg,https://wx4.sinaimg.cn/large/007SRTv4gy1gj4amsvjqlj30u01hc4e6.jpg,https://wx4.sinaimg.cn/large/007SRTv4gy1gj4amtutlfj30qo0migmi.jpg,https://wx1.sinaimg.cn/large/007SRTv4gy1gj4amu7c7nj30qo0p7q4g.jpg,https://wx4.sinaimg.cn/large/007SRTv4gy1gj4amujfg1j30qo0stwfb.jpg,https://wx4.sinaimg.cn/large/007SRTv4gy1gj4amv9zzgg305p044kjl.gif",,,2020-09-26,小米MIX2S 全面屏,0,0,0,,
