id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4622560715081214,K9sUfljR4,分享图片 ,,https://wx1.sinaimg.cn/large/006BeBcbgy1gp8mvkitn4j30es0yqwjw.jpg,,,2021-04-05,Redmi K30 全速热爱,1,0,0,,
4606438109095850,K2Hu2Cafg,我围观了@许超医生 的回答，围观仅1元，快来一起围观~ 微博问答 ,,,,,2021-02-19,微博问答,0,0,0,,许超医生
4605790709350543,K2qDQDevd,把自家的祖宗哄睡着真是一件让人开心的事哈哈哈，晚安，宝贝。 ,,https://wx1.sinaimg.cn/large/006BeBcbly1gnr4t9grzjj30u01uo45a.jpg,,,2021-02-18,Redmi K30 全速热爱,0,0,0,,
4605565651127700,K2kMR4JmI,梦里，大三去瑞幸咖啡兼职当了一名咖啡师，晚上回学校前想着自己亲手做一杯咖啡给他喝，想象着她接到咖啡后开心的样子。拿着做完的咖啡走在回学校的路上，猛然发现，      原来，她早就不在学校了。那种难受，就算是在梦里，也是那么的真实，醒了之后，也难过了好久。 ,,,,,2021-02-17,Redmi K30 全速热爱,0,0,0,,
4597653167938817,JEYp6xjfr,太累了靠着看了会儿抖音，看着看着就睡着了..... 今天绝b是我干活以来最累的一天，下次再也不这么迟才睡了 ,,https://wx4.sinaimg.cn/large/006BeBcbly1gn1681x99gj339c4cgx6r.jpg,,,2021-01-26,nova4e 3200W立体美颜,0,0,0,,
4587683140337814,JAN2q1pSC,好tm烦啊 艹 ,,,,,2020-12-30,nova4e 3200W立体美颜,0,0,0,,
4587094934554037,JAxJHj6Id,其实有那么多的小情绪都是我抱有的期待真的挺大的，期待值小的的话也就会开心点了吧 ,,,,,2020-12-28,nova4e 3200W立体美颜,0,0,0,,
4583273207179147,JyWjCu7CH,没有回应的消息也真的是没有意思 ,,,,,2020-12-18,nova4e 3200W立体美颜,0,0,0,,
4574952986772778,JvrRUspUm,我想我永远可以做一个更好的恋人 ,,,,,2020-11-25,nova4e 3200W立体美颜,0,0,0,,
4564794017848322,JrbAtwVHQ,一般发微博的时候就是心情不好的时候 ,,,,,2020-10-28,nova4e 3200W立体美颜,0,0,0,,
4560117528526927,JpdVKzMf5,睡不着觉，竟然想起了工作.... ,,,,,2020-10-15,nova4e 3200W立体美颜,0,0,0,,
4559932814534243,Jp97Pj1yX,十点起床到现在，一直在肝工作，早饭来不及吃，午饭也来不及吃。现在才有点时间吃饭... 不过很开心，能离target越来越近。 ,,,,,2020-10-14,nova4e 3200W立体美颜,0,0,0,,
4559341653594201,JoTKlf50Z,悄咪咪的 ,,https://wx2.sinaimg.cn/large/006BeBcbly1gjmy9fdibxj31hc1zuhdt.jpg,,,2020-10-12,nova4e 3200W立体美颜,0,0,0,,
4558774814379834,JoF05inou,工作带来的忙碌和一丝丝开心真的没办法再让我一直沉浸在难过里 ,,,,,2020-10-11,nova4e 3200W立体美颜,0,0,0,,
4558643934791414,JoBAZk6sS,之前问过自己一个问题，大致意思就是你会不会找一个很像自己的人做对象，那时候的回答是坚决不会，现在回过头来再看这个问题，答案变成了肯定，至少我知道付出的真心一定会得到回报。 ,,,,,2020-10-11,nova4e 3200W立体美颜,0,0,0,,
4558249145663490,JorkenLkC,长这么大以来第一次肾痛了一下。。。。想想最近我是过得挺累的 ,,,,,2020-10-09,nova4e 3200W立体美颜,0,0,0,,
4557816632976511,Jog4Dcukf,跑步和阅读是为数不多的在这枯燥乏味的大学生活里能给予我快乐和希望的东西。 ,,"https://wx2.sinaimg.cn/large/006BeBcbly1gji323cesrj30u01ergox.jpg,https://wx1.sinaimg.cn/large/006BeBcbly1gji3241vltj30u00rzagw.jpg,https://wx3.sinaimg.cn/large/006BeBcbly1gji348c8r6j34cg39c4qr.jpg",,,2020-10-08,nova4e 3200W立体美颜,0,0,0,,
4555722581606637,JnnB86JXv,想快点毕业，快点去北京，快点当一个没有感情的工作机器 ,,,,,2020-10-02,nova4e 3200W立体美颜,0,0,0,,
4534188009588044,JelnWEehS,在去往景区的公交车上，上来三个穿着脏衣服，身上散发着下水道的气味的人，其中一个就靠着我旁边的杆子上，时不时飘来一股让我难闻的味道。让我感到欣慰的是，我没有那种厌恶的情绪出来，换作之前，早就开始抱怨为什么会上来这种人了。其实，像在公交车这种承载着公共性的场所，我们每个人都应该接受形形色色的人的存在，如果自己接受不了他们的存在，那走的也应该是自己而不是他们。,,,,,2020-08-04,nova4e 3200W立体美颜,0,0,0,,
4526345978216902,Jb3nvytAG,真的烦那些用事后诸葛亮的思维不带善意地评价一本书 的人 ,,,,,2020-07-13,nova4e 3200W立体美颜,1,0,0,,
4524200906007223,Ja9zIpcKH,所有想做某事的决定，都会在早上刚醒来半死不活厌世的状态下再掂量一下，如果那时候真的想做，那这个“想做”可能真没假是真的想而不是一时的兴起 ,,,,,2020-07-07,nova4e 3200W立体美颜,0,0,0,,
4523502403642271,J9Rp6fhwj,一直觉得能跟一年前蠢到头皮发麻的我相契合的地方就只有感情方面的认知了，但仔细想想好像也真不是那么回事儿。我还清楚得记得有个女孩儿说喜欢我的时候我那副因为害羞而拒绝了她的怂样，mlgb的好怂啊woc，如果再让我回到那时候，我一定会说“好啊，那...咱们就试试？”而不是因为不了解而畏畏缩缩不答 ,,,,,2020-07-06,nova4e 3200W立体美颜,1,0,0,,
4523493456302233,J9RaFqruV,分享图片 ,,https://wx1.sinaimg.cn/large/006BeBcbly1gggl3o9vihj30u00tetjk.jpg,,,2020-07-06,nova4e 3200W立体美颜,0,0,0,,
4522164319185698,J9iATCxCq,分享图片 ,,https://wx1.sinaimg.cn/large/006BeBcbly1ggccid8fx2j30u017iqe4.jpg,,,2020-07-02,nova4e 3200W立体美颜,0,0,0,,
4521960647723952,J9diowplS,太感动了 虽然我向爸妈要的钱很少，但别人有的你也要有 ,,"https://wx3.sinaimg.cn/large/006BeBcbly1ggbp2hbq4wj30u01s8n63.jpg,https://wx4.sinaimg.cn/large/006BeBcbly1ggbp2it8m5j30u01s846z.jpg",,,2020-07-01,nova4e 3200W立体美颜,0,0,0,,
