id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634735471235979,KezCX5bx9,#妈妈的身上是香的#喜欢妈妈的怀抱 喜欢贴着妈妈睡 真的特别踏实又很安心 味道也好好闻 是妈妈爱的味道 可以说是妈宝女本人了 ,,https://wx3.sinaimg.cn/large/005E87YMly1godtf27s2sg308c08cdg8.gif,,,2021-05-09,华为手机 畅享玩不停,0,0,0,妈妈的身上是香的,
4634732903533043,KezyOeP6z,#男孩深夜离家去坟地看妈妈#看不得别人受苦 心里有点烦人觉得弟弟可怜 想妈妈了 这么小就没有妈妈的陪伴也没有妈妈的关怀和爱了不敢想象 如果没有妈妈了会是什么样的 ,,https://wx4.sinaimg.cn/large/006WCbmDly1godomb23mgg306n06nt8u.gif,,,2021-05-09,华为手机 畅享玩不停,0,0,0,男孩深夜离家去坟地看妈妈,
4634694438619376,KeyyLAaic,#第二只被麻醉的金钱豹正在恢复##救援队讲述搜救第二只豹子过程##救援队称豹子咬伤多只狗# 第一次因为这新闻真的好生气 气的我想骂人他们动物园的人也太坏了吧 瞒报撒谎 没看住豹子出逃 豹子被咬 不知道是真的死了还是假死了 最后 又让狗狗背锅 他们人还没事 气到了  ,,https://wx3.sinaimg.cn/large/7f92f678ly1godotbpoagg202s02smwz.gif,,,2021-05-08,华为手机 畅享玩不停,0,0,0,"第二只被麻醉的金钱豹正在恢复,救援队讲述搜救第二只豹子过程,救援队称豹子咬伤多只狗",
4634593388396660,KevVMzem0,#杭州野生动物园三只出逃金钱豹追回一只#惊呆了 以为出逃了一只 咋还多了两只 ,,https://wx4.sinaimg.cn/large/0067BBRxly1godq711thog308c08cjue.gif,,,2021-05-08,华为手机 畅享玩不停,0,0,0,杭州野生动物园三只出逃金钱豹追回一只,
4634411330700444,Kerc92Wdu,#乃万#别的不说 就挂素人信息被网暴这一件事 也是够恶心了 ,,https://wx4.sinaimg.cn/large/0082r225ly1godovgj0n8g306y06yn6p.gif,,,2021-05-08,华为手机 畅享玩不停,0,1,0,乃万,
4634364304692257,KepYijGFz,#当代年轻人恐婚的源头#我恐婚是因为怕找不到我爸这样的好人怕找到身边有几个认识的男性这样的人 自以为自己很牛 要求女生这样要求那样 满嘴侮辱性开玩笑 不尊重人… ,,,,,2021-05-07,华为手机 畅享玩不停,0,0,0,当代年轻人恐婚的源头,
4633980882130183,KefZS8W9N,#你不喜欢夏天的原因#不喜欢夏天是因为蚊子 太招人恨了被蚊子叮一下 就会过敏一大片 肿疼痒三天还好不了 天天擦药 还不止痒 ,,https://wx1.sinaimg.cn/large/006lT7vOly1godoquduf9g307i07inkx.gif,,,2021-05-06,华为手机 畅享玩不停,0,0,0,你不喜欢夏天的原因,
4633975966664861,KefRWrXPL,#云南蝴蝶大爆发#现场看的话应该觉得好美啊看到满天蝴蝶 想到了含香跳舞招来蝴蝶 ,,,,,2021-05-06,华为手机 畅享玩不停,0,0,0,云南蝴蝶大爆发,
4633286179558827,KdXVnE6GD,#恋爱应该听父母的意见吗#恋爱可以不听 结婚一定要听 ,,,,,2021-05-05,华为手机 畅享玩不停,0,0,0,恋爱应该听父母的意见吗,
4633261047546346,KdXgQvF9g,#电梯按钮失效13岁男孩自救失败坠亡#这13岁小朋友已经很冷静了 知道自救 知道拍打按铃求救  钻出去是因为他很想出去 虽然自救没到位 ！那也不是你们阴阳怪气的理由我13岁那会不知道有按铃求救 啥都不懂 不会自救 只知道哭！如果发生这种事的是我 那些人是不是都要骂我啥都不懂 白痴不知道自救！一堆成年人站在成年人的道德制高点去抨击小孩子 不觉得太过分了吧！ 真以为13岁什么都知道啊  那些抨击小朋友的人你们很牛吗 你们13岁会自救？？？抨击的对象不应该是那些监管维护不到位的工作人员吗？？？？？,,https://wx3.sinaimg.cn/large/007MloEcly1godoqw7w8ag306o0503yh.gif,,,2021-05-04,华为手机 畅享玩不停,0,0,0,电梯按钮失效13岁男孩自救失败坠亡,
4633258056221731,KdXc1q6yv,#丁太昇道歉#道歉无效 鳄鱼的眼泪 不是真心的封杀吧 不爱国的叛徒！ ,,,,,2021-05-04,华为手机 畅享玩不停,0,0,0,丁太昇道歉,
4633128805076758,KdTPyliHc,#宠物盲盒#请卖家做个人吧  丧良心 一点都不尊重生命！要是遇到买家家不喜欢的呢 还不是随随便便地给扔了！这世上有那么流浪猫流浪狗 百分之八十还不都是人为造成的  ,,https://wx4.sinaimg.cn/large/b10c1bc2ly1gq1onoub4sj207y07yq2x.jpg,,,2021-05-04,华为手机 畅享玩不停,0,0,0,宠物盲盒,
4633124384544336,KdTIqj4bK,#买榴莲就像在赌石#正在催熟中 还不知道呢 ,,https://wx1.sinaimg.cn/large/005NKIzmly1gq6c37t310j30qo0qotd0.jpg,,,2021-05-04,华为手机 畅享玩不停,0,0,0,买榴莲就像在赌石,
4632526515081562,KdEa7ljWG,#白瘦幼审美是一种pua吗#自己喜欢并追求白瘦幼当然不是puapua应该是强迫别人去喜欢白瘦幼审美 要求别人必须是白瘦幼 这才是pua其实 我审美挺多元化的 我喜欢白瘦幼喜欢大腿粗大屁股有线条也喜欢野性美黑 各种审美风格我都喜欢 不管是苗条 丰腴 微胖 还是可爱 温柔 性感等等我觉得都挺好看的… 每个身材都有每个身材的美丽喜欢哪种风格就去追求 没必要为了大众审美去追求 不值得！,,,,,2021-05-02,华为手机 畅享玩不停,0,0,0,白瘦幼审美是一种pua吗,
4632467954731932,KdCDFjQZu,#会嫁给自己爸爸那样的人吗#会吧！我爸爸对我挺好的 对老婆也不错！上得厅堂下得厨房 修东西什么都会修 什么都会干 做饭也很好吃 几乎人人夸 主动包揽家务活 会赚钱 会尊重人 脾气好还大方 不骂人！ 可以说 我爸是个不错的男人！我爸唯一的缺点就是爱喝酒 太贪杯了 一到饭局喝酒就拦不住 每次都要喝醉醉的 就会很烦我爸 会凶我爸！,,,,,2021-05-02,华为手机 畅享玩不停,0,0,0,会嫁给自己爸爸那样的人吗,
4632153034589695,KdurJjfZl,#西湖断桥五一假期变人桥#貌似去年看过这样的视频 没啥差不多呀我就在家刷微博看你们人山人海挤来挤去 ,,,,,2021-05-01,华为手机 畅享玩不停,0,0,0,西湖断桥五一假期变人桥,
4632116912720320,KdtvtbpG8,经常看见评论区下艾特我的印象笔记 不懂就搜 看半天了看明白了 我也下了个也艾特了 才发现内存只能存60m 除非升级啊 有点坑啊 ,,,,,2021-05-01,华为手机 畅享玩不停,0,0,0,,
4632084716720381,KdsFxschf,#五一原来是七天假#记得小时候那会放假是三天呀 难道是我记岔了吗 ,,,,,2021-05-01,华为手机 畅享玩不停,0,0,0,五一原来是七天假,
4631801534093845,KdliNhaZL,#只有女生才能去的健身房#这个不错啊！如果有 我也去办个卡我喜欢在女人周围 觉得放心 安全感满满如果有个女性酒吧 女性游泳馆等等就好了 ,,,,,2021-04-30,华为手机 畅享玩不停,0,0,0,只有女生才能去的健身房,
