id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4581418371396249,Jya3X5Re9,华佗，他的一生堪称奇迹，为中医事业做出了无私的奉献。华佗为中医奉献一生，在临死前，给他徒弟留下来的五禽戏，让后人从中深受其益！ ,,"https://wx4.sinaimg.cn/large/005T3IqZgy1glldjuju6qj30hs093t8t.jpg,https://wx3.sinaimg.cn/large/005T3IqZgy1glldjl1rh9g309q05hqv5.gif,https://wx4.sinaimg.cn/large/005T3IqZgy1glldjo4pq2g309q05hnpd.gif,https://wx4.sinaimg.cn/large/005T3IqZgy1glldjqcf3ng30b4069u0x.gif,https://wx3.sinaimg.cn/large/005T3IqZgy1glldjstvx8g30ak05yx6p.gif,https://wx4.sinaimg.cn/large/005T3IqZgy1glldju2d3zg30dw07tx25.gif",,,2020-12-12,,54,78,77,,
4634633771158445,KewYV4RmB,#腾讯新闻# 中国军舰关键时刻赶到，印尼高呼救兵来了，澳大利亚军舰黯然撤离！中国军舰关键时刻赶到，印尼高呼救兵来了，澳大利亚军舰黯然撤离 中国军舰关键时刻赶到，印尼高呼救兵来了，澳大利亚军舰黯然撤离 来自@腾讯新闻 ,,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=z3244gm2tm9,,2021-05-08,腾讯新闻客户端,0,0,0,腾讯新闻,腾讯新闻
4634078505074772,Keixkliba,欧洲议会议员米克•华莱士在推特上发布了一段自己的发言视频，所说的话确实是句句在理！～总算有个明白的欧洲人，给你点个赞！👍 鹤发童颜一老翁的微博视频 ,,,"https://f.video.weibocdn.com/001DNh8Hgx07MsBIpK5101041200gQ3y0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620514726&ssig=xnyr3jdFdu&KID=unistore,video",,2021-05-07,微博视频号,3,2,4,,
4633904646460269,Kee0Ur6BT,#腾讯新闻# 美国首都打砸抢烧！唐人街爆发大规模乱斗，美国警察骑马赶到现场！网页链接 美国首都打砸抢烧！唐人街爆发大规模乱斗，美国警察骑马赶到现场 来自@腾讯新闻 ,,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=h324345eetl,,2021-05-06,腾讯新闻客户端,0,2,2,腾讯新闻,腾讯新闻
4633608923646886,Ke6jWfiIK,这功夫，常练是真的有用的！ 鹤发童颜一老翁的微博视频 ,,,"https://f.video.weibocdn.com/003XatJqgx07MqxB9xZC01041200se8T0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620514728&ssig=b7w4KAuaQ7&KID=unistore,video",,2021-05-05,微博视频号,3,1,6,,
4633608503690079,Ke6jgftXp,青龙山真的是有龙哦！🐉 鹤发童颜一老翁的微博视频 ,,,"https://f.video.weibocdn.com/003nSgmXgx07Mqxti0DR010412003RnY0E010.mp4?label=mp4_ld&template=360x632.24.0&trans_finger=81b11b8c5ffb62d33ceb3244bdd17e7b&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620514728&ssig=aCJWxU4nC5&KID=unistore,video",,2021-05-05,微博视频号,3,1,7,,
4633155857811619,KdUxbwM9R,#腾讯新闻# 山东舰赴南海展开演训：中美航母或将首次“碰面”！山东舰赴南海展开演训：中美航母或将首次“碰面” 山东舰赴南海展开演训：中美航母或将首次“碰面” 来自@腾讯新闻 ,,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=s3243qffkgq,,2021-05-04,腾讯新闻客户端,4,2,8,腾讯新闻,腾讯新闻
4633111705685145,KdTnYnQXT,#比尔盖茨离婚#当地时间3日，比尔·盖茨与梅琳达通过联合声明，宣布结束双方27年的婚姻，声明中称，两人认为继续保持婚姻关系已经无法让彼此继续提升。 鹤发童颜一老翁的微博视频 ,,,"https://f.video.weibocdn.com/00329Myfgx07MolUjl7O010412006NL80E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620514728&ssig=EoehFUcPZH&KID=unistore,video",,2021-05-04,微博视频号,2,0,9,比尔盖茨离婚,
4632732052753797,KdJvDbyo5,#腾讯新闻# 多国军舰涌入南海！英航母将行动，英防相：向世界证明英国没倒退！网页链接 多国军舰涌入南海！英航母将行动，英防相：向世界证明英国没倒退 来自@腾讯新闻 ,,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=d32432edcnj,,2021-05-03,腾讯新闻客户端,2,2,10,腾讯新闻,腾讯新闻
4632326782845812,KdyXYbWkc,#腾讯新闻# “求中国救救我们吧！”印度求援十万火急，中方回应获世界称赞！“求中国救救我们吧！”印度求援十万火急，中方回应获世界称赞 “求中国救救我们吧！”印度求援十万火急，中方回应获世界称赞 来自@腾讯新闻 ,,,https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=l324219ihwm,,2021-05-02,微博视频号,2,0,13,腾讯新闻,腾讯新闻
4632120096194702,KdtABpZwy,刘德华又有电影杀青了，真是越来越龙马精神啊！#刘德华#  鹤发童颜一老翁的微博视频 ,,,"https://f.video.weibocdn.com/002G7ytZgx07MjZjL3Qr010412007xaR0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620514729&ssig=UpF7XeqfHm&KID=unistore,video",,2021-05-01,微博视频号,8,3,6,刘德华,
