id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634423380935356,KervA3Vko,又磕了一遍张老师说的“俊俊把我从跑调的边缘拉回来”，我得承认，龚俊比我更爱更懂得张哲瀚，甚至在张老师绝望焦虑时接住了他。一生要强的老婆呀，那一瞬间肉眼可见的放松以及释怀的笑，还有被俊俊可爱到侧头捂眼，仿佛历历在目。那时候你一定一定也很爱他吧 ,,,,,2021-05-08,iPhone 11,1,0,0,,
4634780162064517,KeAN28F4F,大家早点睡哇，我是撑不住了，家大业大不急着这一刻全嗑完，小命要紧。分享今天见到的来自天上的光～ ,,"https://wx3.sinaimg.cn/large/007Eyc1Egy1gqbm8skookj33402c04qq.jpg,https://wx4.sinaimg.cn/large/007Eyc1Egy1gqbm8vz67oj33402c0kjn.jpg,https://wx4.sinaimg.cn/large/007Eyc1Egy1gqbm900f26j33402c0hdv.jpg",https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/001BOd5ogx07MvHbFiBW0f0f0100pQG30k01.mov;https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/002aBSNlgx07MvHchgYD0f0f0100CXWu0k01.mov;https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/001FTEPagx07MvHcAnLa0f0f0100ybqs0k01.mov,,2021-05-09,iPhone 11,1,0,0,,
4634762964108586,KeAlihePw,浪浪钉 警铃大起，俊哲快跑，我们要来抓你们了不过还是要说一声浪浪钉不给逆cp的哈！俊俊要面子的 ,,,,,2021-05-09,浪浪钉超话,2,2,0,,
4634580785039250,KevBsl8We,我为龚俊贡献10影响力，超话目前在明星超话No.13！还差8.2万影响力超越上一名！戳这里→网页链接 跟我一起助TA荣登超话封面吧~ ,,,,,2021-05-08,超话,0,0,0,,
4634580684637805,KevBijsvj,我为张哲瀚贡献10影响力，超话目前在明星超话No.16！还差43.9万影响力超越上一名！戳这里→网页链接 跟我一起助TA荣登超话封面吧~ ,,,,,2021-05-08,超话,0,0,0,,
4634572177804244,KevnzwKeU,浪浪钉 第一次很感慨开👖的年会很值得，两位老师的新作品都即将在上面播出，咦不会还有姐妹不知道可以预约了吧 ,,"https://wx3.sinaimg.cn/large/007Eyc1Egy1gqayd9b7zbj30ku0odtbg.jpg,https://wx3.sinaimg.cn/large/007Eyc1Egy1gqayd8eccrj30kl0nmwhi.jpg",,,2021-05-08,浪浪钉超话,0,0,0,,
4634451533103958,KeseZd1tQ,更关键是老婆有那时间更应该找个地方打高尔夫吧，至于逛街喝奶茶…我不懂，但为之震撼，希望有人能来破这个未解之谜，不然我对奶茶ptsd ,,,,,2021-05-08,iPhone 11,0,0,0,,
4634450602754130,Kesdubyts,实在不行就把老婆喊出来@张哲瀚疯子 她们说那张照片里的人是你啊，你还能忍吗老婆，原相机拍得老丑了，还不给你精修！ ,,,,,2021-05-08,iPhone 11,0,0,0,,张哲瀚疯子
4634447280341410,Kes881qOC,五点了……还没睡，在db发现雨夜组的姐姐们在分析关于5月6日老婆是否人在上海喝奶茶的路人图。话说海蜇姐姐真的可以为爱做到p这种图的程度？还是知道了什么必须要掩盖的真相毕竟图里的人我一眼就觉得不会是老婆……怎么说呢就是感觉图里的人比较白净然后富态了点，不能说衣服裤子一样就是老婆吧，那我白爱他两个月了。以上我自己的观点，上个厕所睡觉了,,,,,2021-05-08,iPhone 11,0,0,0,,
4634393735333443,KeqJLmnth,不是，这越听越上头越好听是怎么回事…张老师@张哲瀚疯子 可以向您求一个清唱版本嘛带上俊俊来感谢您 ,,"https://wx3.sinaimg.cn/large/007Eyc1Egy1gqadvd6ft9j30ku1947vu.jpg,https://wx3.sinaimg.cn/large/007Eyc1Egy1gqadveac4oj30tv0ul4qp.jpg,https://wx2.sinaimg.cn/large/007Eyc1Egy1gqadvc4ug2j30sq0r2439.jpg",,,2021-05-08,iPhone 11,0,0,0,,张哲瀚疯子
4634390346859274,KeqEisMps,老婆，五月是你我共同的浪漫，这一刻先让俊俊离开一下我录下来了，清唱其实更有特点呢，如果我是你现实的朋友，必定缠着你天天晚上给我唱歌。可惜……希望平行时空的我能有能力认识你这个好朋友，这辈子我就先当你的粉丝啦 黑化的二号组员的微博视频 ,,,"https://f.video.weibocdn.com/0043gyz1gx07MtYPGKE001041200dYht0E010.mp4?label=mp4_720p&template=720x1556.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620541481&ssig=7US2oUVAAT&KID=unistore,video",,2021-05-08,微博视频号,0,0,0,,
4634385405970394,Keqwkp3aG,戴着耳机听老婆的新歌，躺在床上终于有了一点自己空间的感觉。回想今天下午被攻击，到睡醒一觉突然就释然了。从昨晚心疼老婆到现在心疼俊俊，本不应该随意去揣测，但想到俊俊ins分享歌词又秒删，最近这段时间很多人对他的恶意，他心情一定也很不好吧。在屏幕上总是笑嘻嘻营业的他不是没心没肺，而是懂得去尊重每一次的活动与对方。这是一篇完整的我对龚俊的看法。我对他的心路历程其实挺复杂的，不是因为他入坑的山河令，是14号那天在热搜看到了他和张老师的直播互动，发现诶这俩氛围真好，遂上了山，到现在三四刷山河令甚至自学剪辑。和周子舒共情后那难以释怀的阴间饭局，让我很不喜欢俊俊演的温客行，这本该怪小初nada和👖的剪辑，还有限定花期的加持，让我还是对俊俊本人有了偏见。三月份和少茹说我觉得他好狠心，少茹则说喜欢他的颜值他积极向上的态度。因为他太警惕，过于懂得营业，我们对龚俊的了解，本该止于此。但有了张哲瀚的存在，每次出现必cue俊俊的优点，让我无法忽视。在经历了观看双人综艺，双人采访，双人直播，甚至俊俊单人综艺之后，我看他越来越有娘家人看女婿的感觉。他很真诚，很可爱，穿搭方面的品味我很欣赏，每次不管是剧照是私服还是活动照，见到总能看上好久，表情包也安排上了，逢人就夸他好帅好真诚好可爱。我是金牛座，能想到老婆应该也是像我这样看俊俊的。有时候因为老婆已经夸了很多，所以我就忘了俊俊也是需要大家去鼓励的。更关键的是，他懂得去尊重感激每一位他人生的贵人。所以我也开始能和他共情，懂得去理解他未开口的话，此处应该谢谢他的表情管理…是那种有天他不再开心营业，变成了普通人中的一份子，我仍然会喜欢他，包容他，爱护他，甚至我可以说就算老婆不喜欢他了，我也能做到继续喜欢。这也是我从剧粉到cp粉到双担粉的过程吧，我不会踏入粉圈，但有需要我的地方我会不惧任何出现在他们身后。我爱龚俊，也爱张哲瀚，他们是我无聊人生的调味剂，是我愿意活着的信仰。我不会忘记张老师给cpf的体面，也不会忽视俊俊那从没开过口的感动。人生还很长，谁也不是完整的。那就一起一步一脚印，去创造属于我们的世界吧～,,,,,2021-05-08,iPhone 11,1,2,0,,
4634370999062456,Keq95C1yE,浪浪钉 一气呵成之后发现自己好像没有加入公会…不过不重要。差点没卡在前一分钟购买，网易云这次操作其实挺让人迷惑的，但老婆发微博还是很香香不知道俊俊这时候有没有买511张，按照这个数量去找他🎺就对了。端水端水 ,,"https://wx4.sinaimg.cn/large/007Eyc1Egy1gqab8rqj6bj30ku194kj8.jpg,https://wx2.sinaimg.cn/large/007Eyc1Egy1gqab9b2dylj30u01400yw.jpg",,,2021-05-08,浪浪钉超话,1,0,0,,
4634358097645404,KepOhw4UY,莫生气，人生就像一场戏，因为有缘才相聚。相扶到老不容易，是否更该去珍惜。为了小事发脾气，回头想想又何必。别人生气我不气，气出病来无人替。我若生气谁如意，况且伤神又费力。邻居亲朋不要比，儿孙琐事由他去。吃苦享乐在一起，神仙羡慕好伴侣。 ,,,,,2021-05-07,微博 weibo.com,0,0,0,,
4634267781172164,KensC4UVS,浪浪钉 我心态好，也感谢微博可以编辑，评论我也不删，留着给你们吵吧不是，你们都不用上班的吗？一点进来的风气真的是，没得说你们说我们山人不做数据不出力甚至说我们wpg，抱歉就我而言真的不懂粉圈那一套。我爱老婆，我能和他共情，不过俊俊的代言我买得会更多一点，我和老婆一样爱他，他俩打投助力我没落下过。但我的钱包是有限的，我会去衡量当下自己更需要什么。是他俩的感情支撑着我爱他们甚至去行动，而不是那些所谓的大粉，爱带节奏的任何一个人。要客客气气找我做数据，ok教我我一定会去做，不分是老婆还是俊俊，而且我两次掉gct都是因为做了俊俊的rs…我在乎是态度而不是跑进来就甩些引人不适的截图。对粉圈真的ptsd，希望能净化空气。还有反黑组我觉得她们很不容易很棒，不要再跟风说她们了，山人们应该团结起来一致对外。,,"https://wx3.sinaimg.cn/large/007Eyc1Egy1gq9zaxlq9fj30ku15sndp.jpg,https://wx3.sinaimg.cn/large/007Eyc1Egy1gq9zawuuhnj30kt12lndj.jpg,https://wx1.sinaimg.cn/large/007Eyc1Ely1gqa0ziq5h3j30ku1947he.jpg,https://wx2.sinaimg.cn/large/007Eyc1Ely1gqa0zj8g35j30ku2i8dtf.jpg,https://wx1.sinaimg.cn/large/007Eyc1Ely1gqa0zgr1fvj33402c07wh.jpg",https://video.weibo.com/media/play?livephoto=//us.sinaimg.cn/0013BWligx07Mtv7L4F20f0f0100ziE50k01.mov,,2021-05-07,浪浪钉超话,319,123,3,,
4634259124130397,KeneEhkvj,我为张哲瀚贡献10影响力，超话目前在明星超话No.16！还差22.5万影响力超越上一名！戳这里→网页链接 跟我一起助TA荣登超话封面吧~ ,,,,,2021-05-07,超话,0,0,0,,
4634259060425140,Keney1MB6,我为龚俊贡献10影响力，超话目前在明星超话No.13！还差8.3万影响力超越上一名！戳这里→网页链接 跟我一起助TA荣登超话封面吧~ ,,,,,2021-05-07,超话,0,0,0,,
4634258436522558,KendxrmOy,最后你发现，生活终究还是要回归平淡的，那些被你忽略的烦恼困惑仍然会在白天黑夜向你涌来，无法控制的消极情绪时刻都在蔓延着 ,,,,,2021-05-07,iPhone客户端,0,0,0,,
4634169202442677,KekTCafs1,要命，差点没把我困死，再也不调闹钟折磨自己了 ,,,,,2021-05-07,iPhone客户端,0,0,0,,
4633989198905378,KegdhBmH8,洗个澡冷静过来了，与其跟着吵，还不如老老实实养我的信用，等我积分到770我就可以去老婆微博下面表白他了当然我不会忘了带俊俊的 ,,,,,2021-05-06,iPhone客户端,2,4,0,,
4633942969289496,Kef0ICYCA,我和老婆一样，是真诚地希望俊俊能完成自己愿望，努力够到自己的那道光。然后我再跟着俊俊一起，离老婆再再再再近一点。 ,,,,,2021-05-06,微博 weibo.com,1,0,0,,
4633941007139710,KeeXytXmC,浪浪钉 和小姐妹唠嗑无意间点进了老婆的博客，一开始还没发现，等反应过来我现在都还是震惊的状态。（是得有多八卦才能发现这是老婆很久没进博客，所以才一直这么挂着的状态吧。不过有一说一那时候的老婆好可爱哈哈哈端水端水 ,,"https://wx2.sinaimg.cn/large/007Eyc1Egy1gq8xsyk5hij30kt0z9aqn.jpg,https://wx2.sinaimg.cn/large/007Eyc1Egy1gq8xszcfjtj30ku0z8h3i.jpg,https://wx3.sinaimg.cn/large/007Eyc1Egy1gq8xsxthnxj30rt0huafh.jpg,https://wx2.sinaimg.cn/large/007Eyc1Egy1gq8xut9rp2j30u01hcti6.jpg",,,2021-05-06,浪浪钉超话,0,0,0,,
