id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4634733549455211,KezzQDFJp,晚上收拾柜子看到压箱底的一盒花王蒸汽眼罩，是2019年底双十一或双十二买的，准备2020年出国旅行时在长途飞机上用…… ,,,,,2021-05-09,HUAWEI P30,2,0,0,,
4634534588713852,KeuoWAyS0,#浣碧为什么想不开#  说的好有道理，情敌s了，从没爱过自己的丈夫也s了，白捡俩孩子，独占郡王府，后台强硬，花不完的钱，浣碧明明可以做全大清最快乐的小寡妇，幸福指数超过全剧99.99%的女性，为什么要想不开自杀啊 ,,https://wx3.sinaimg.cn/large/a5e2054fly1gqatuv8r53j20ku1120vs.jpg,,,2021-05-08,HUAWEI P30,13,1,3,浣碧为什么想不开,
4634488456610888,KetcxrJNe,玄凤鹦鹉 玄凤小胖鸡是全世界第一的小可爱 龙猫自在的微博视频 ,,,"https://f.video.weibocdn.com/BGwSLOLQlx07MupBjww8010412004VWt0E010.mp4?label=mp4_720p&template=540x960.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1CwnkDw1GXwCQx&Expires=1620494039&ssig=uKnADECGte&KID=unistore,video",,2021-05-08,玄凤鹦鹉超话,19,0,0,,
4634280742094474,KenNw8MRQ,圣马力诺补血肝精这个玩意怎么跟浓缩酱油一样，掺在罐头里猫连罐头都不吃了，直接喂嘴里猫一阵干呕直接给我吐出个毛球来算了算了不吃了，明天拿出去给流浪猫补补 ,,,,,2021-05-07,HUAWEI P30,5,2,0,,
4634130240767934,KejSM3dM2,帮亲戚问一下联想小新air15和Pro16哪个性价比高，Pro16更好大家都知道，但亲戚的意思是买个性价比高的给孩子用(我感觉他们想买便宜的……但……我想顺便了解一下机器) ,,,,,2021-05-07,HUAWEI P30,2,10,0,,
4633993762314384,KegkE9I4M,#你不喜欢夏天的原因#  恨夏党要吐槽了，真的特别讨厌夏天，像我们这种冬天很冷的地方，夏天居然还要桑拿天，我的龙猫怕热，我的布偶猫怕热，我的多肉植物怕热，我的鹦鹉也怕热，家里有人没人都要24小时空调，同样是调节温度的，空调它就是没有暖气舒服啊！还有蚊子，不管已经多困了，一听到蚊子叫立刻清醒，别人的猫能帮铲屎工打蚊子，我这布偶笨啊，反正就是不喜欢夏天！,,,,,2021-05-06,HUAWEI P30,10,7,1,你不喜欢夏天的原因,
4633873814131749,KeddbhkR7,你那里天气怎么样 我这边又闹猪八戒了 ,,https://wx2.sinaimg.cn/large/a5e2054fly1gq8q5nemyoj20j60or0us.jpg,,,2021-05-06,HUAWEI P30,8,0,0,,
4633623586411020,Ke6HAqTNy,牡丹鹦鹉  这么治愈系的小屁股居然是用来拉屎的…… ,,https://wx2.sinaimg.cn/large/a5e2054fly1gq7xfhljqmj20u010v428.jpg,,,2021-05-05,牡丹鹦鹉超话,9,3,1,,
4633506531250349,Ke3EN5fgV,#3名回国人员疑从印度感染变异病毒#  病毒已经变异出暗杀技能了吗？三名患者多次核酸检测阴性，体温正常，无论自我感觉还是在别人肉眼可见都是健康没感染的，但是CT显示他们的肺已经病变了。躲过检测，跳过免疫系统，悄无声息，不痛不痒，直接入肺，伺机夺人性命，病毒已经宛如刺客。之前的报道中说印度病毒致死极快，可能就是人早感染了但是检测不出来也没什么症状，但是病毒已经在破坏人的肺了，等有症状时已经回天乏术。,,,,,2021-05-05,HUAWEI P30,8,4,2,3名回国人员疑从印度感染变异病毒,
4633430442641796,Ke1G4b5fC,#宠物盲盒#   我说真的，如果你认识的人里有买宠物盲盒的，不建议交朋友，不建议合作，这种人根本不把生命当命，还特别愚蠢，满脑子卤汁没法沟通，还毫无责任感。如果你认识的人里有卖宠物盲盒的，立刻绝交吧，为了给自己尽快挣够丧葬费连人都不做了，不绝交等着它卖你吗？ ,,,,,2021-05-05,HUAWEI P30,34,4,1,宠物盲盒,
4633387848958731,Ke0zmBAzF,#丁真获理塘永久赛马王子奖#  哈哈哈哈哈哈小马永远跑第一的梦想就这么实现啦？ ,,,,,2021-05-05,HUAWEI P30,49,2,0,丁真获理塘永久赛马王子奖,
4633106273273424,KdTfddJza,#宠物盲盒#   借话题想说说买宠物的事。不管你是买二三十一只小猫小狗还是二三万一只，不要买三个月以下的！不要买三个月以下的！不要买三个月以下的！三个月已经是底线了，我的建议是买四个月以上的！因为小猫小狗按部就班的打完疫苗，它就将近四个月了！我们可以一起来算算，小猫小狗最初的免疫力来自妈妈的初乳，初乳的力量可以维持将近60天，之后就要靠疫苗带来免疫力。医院都建议小猫60天注射第一针疫苗，21天后来注射第二针，再过21天，打第三针疫苗以及狂犬疫苗。有些无良猫舍或者代理，贩子，会告诉你他的猫50天就打了第一针，14天后第二针，这个打法很容易免疫失败！小猫50天的时候，很可能妈妈初乳的免疫还在，疫苗的效果会大受影响，再加上急功近利恨不得立刻把小猫踢出门的间隔14天打第二针，小猫很可能不能产生足够的抗体，不具备防病能力。疫苗是小猫小狗保命关键，打疫苗的事容不得马虎。三个月的猫狗正常打完第二针，它已经有抵抗力了，这时候接回家比一针疫苗甚至没打疫苗的已经稳了很多。注意刚打完疫苗要在原来家中养一周在去新家，有些小猫胆小容易应激，刚打疫苗后的几天本来就是它比较脆弱的时候，不要在这个时候去新家。,,,,,2021-05-04,HUAWEI P30,47,5,4,宠物盲盒,
4633096831895645,KdSZZ7X8V,#宠物盲盒#  宠物盲盒这种损阴德折阳寿的买卖，卖的是坏比，买的傻比。卖的人藐视生命不顾小动物死活，只要把自己的医药费火葬费挣到手就乐此不疲。买的人无知愚蠢贪便宜，养小动物前连基本功课都不做。我就不明白了，领养不香吗？那么多救助人把小猫小狗打理得干净健康求收养你不要，真以为自己九块九包邮的盲盒里能开出柴犬布偶猫？2021年了，还有那么多人活得又坏又蠢！,,,,,2021-05-04,HUAWEI P30,34,5,6,宠物盲盒,
